PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FUT10_1Mwindow.wgt.RDat	FUT10	8	32728342	33830664	0.0361	rs4739382	  4.80	rs1440530	-0.000978	 3.85	-3.4558	254	254	blup	0.0058	0.012	-4.137	3.53e-05
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ENPP2_1Mwindow.wgt.RDat	ENPP2	8	120069326	121185630	0.0469	rs10283100	-10.57	rs6986364	-0.000983	 4.64	 2.0684	494	  1	lasso	-0.00073	0.56	 2.068	3.86e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FAM167A_1Mwindow.wgt.RDat	FAM167A	8	10778985	11824262	0.0814	rs12546366	  3.83	rs17152978	-0.000888	 4.33	-1.4153	637	  1	lasso	-0.00038	0.42	-1.415	1.57e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GRINA_1Mwindow.wgt.RDat	GRINA	8	144564224	145567583	0.0286	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.012	0.00059	    NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SLC25A37_1Mwindow.wgt.RDat	SLC25A37	8	22886469	23932976	0.0437	rs4439140	 -7.80	rs7829005	-0.000657	 4.33	 2.6151	573	573	blup	0.0096	0.0017	 5.645	1.65e-08
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.MAF1_1Mwindow.wgt.RDat	MAF1	8	144659364	145662514	0.0328	rs6558408	  7.15	rs6420182	-0.000713	-3.75	-0.7099	222	222	blup	0.014	0.00021	 0.767	4.43e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NBN_1Mwindow.wgt.RDat	NBN	8	90445559	91496895	0.0167	rs6981616	  3.49	rs978953	 0.002435	-3.87	 0.5500	383	383	blup	0.0039	0.032	 0.569	5.70e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.CSGALNACT1_1Mwindow.wgt.RDat	CSGALNACT1	8	18761672	20115419	0.0350	rs7003470	 -4.85	rs4486225	-0.000925	-3.60	 0.0135	919	919	blup	0.0039	0.032	 0.833	4.05e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PVT1_1Mwindow.wgt.RDat	PVT1	8	128306779	129613499	0.0802	rs10106296	  6.74	rs4354269	 0.005312	 4.58	-1.5487	754	754	blup	0.022	3.9e-06	-0.143	8.86e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.MYOM2_1Mwindow.wgt.RDat	MYOM2	8	1493161	2593380	0.1789	rs7464795	 -4.05	rs11987927	 0.134456	12.17	-1.4187	697	  7	enet	0.14	6.6e-31	-0.607	5.44e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PLEC_1Mwindow.wgt.RDat	PLEC	8	144489321	145550913	0.0178	rs6558408	  7.15	rs6993938	-0.000438	 3.80	-6.5713	253	253	blup	0.0054	0.015	-7.243	4.39e-13
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PTP4A3_1Mwindow.wgt.RDat	PTP4A3	8	141902121	142942554	0.0322	rs11782215	  5.17	rs6990481	 0.025854	 5.18	 1.9963	464	  1	top1	0.026	6e-07	 1.996	4.59e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ERLIN2_1Mwindow.wgt.RDat	ERLIN2	8	37094152	38115940	0.0510	rs2898674	 -6.46	rs6468442	-0.001095	 3.38	 0.5692	212	212	blup	0.019	2.1e-05	-0.801	4.23e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.KIF13B_1Mwindow.wgt.RDat	KIF13B	8	28424795	29620587	0.0550	rs4732873	 -5.25	rs1108386	-0.000977	 3.73	 1.1936	499	499	blup	0.0031	0.05	-1.508	1.31e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ADAM9_1Mwindow.wgt.RDat	ADAM9	8	38354492	39462780	0.0252	rs7831735	 -3.33	rs10093975	-0.000810	-4.54	-3.1560	326	326	blup	0.0043	0.026	 3.011	2.61e-03
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.HMBOX1_1Mwindow.wgt.RDat	HMBOX1	8	28247912	29410787	0.0290	rs4732873	 -5.25	rs907133	 0.002417	-4.30	 0.7782	451	451	blup	0.008	0.004	-1.217	2.23e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPL8_1Mwindow.wgt.RDat	RPL8	8	145515154	146517775	0.0818	rs12546042	 -5.83	rs2730059	 0.081325	 8.97	 0.8767	190	  1	top1	0.081	8.4e-19	 0.877	3.81e-01
