PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PRPF38B_1Mwindow.wgt.RDat	PRPF38B	1	108734932	109745550	0.0316	rs1277207	  2.834	rs11577502	 0.000166	-3.36	-0.305	323	323	blup	0.0073	0.0052	-0.570	5.69e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ARHGEF11_1Mwindow.wgt.RDat	ARHGEF11	1	156404632	157516695	0.0338	rs7534075	  4.497	rs11810027	-0.000977	 5.27	 2.308	503	503	blup	0.00011	0.29	-0.509	6.11e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.XCL1_1Mwindow.wgt.RDat	XCL1	1	168045843	169051307	0.0395	rs2235180	  5.229	rs1323533	 0.022945	 5.42	-2.144	529	1	top1	0.023	2e-06	-2.144	3.20e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MDM4_1Mwindow.wgt.RDat	MDM4	1	203985534	205027248	0.0497	rs10900597	 -6.780	rs16854023	-0.000439	-3.20	 0.824	608	608	blup	0.015	0.00012	-3.023	2.50e-03
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TMEM269_1Mwindow.wgt.RDat	TMEM269	1	42750662	43766498	0.0413	rs4660631	  5.130	rs7543061	-0.001072	 6.48	-1.036	417	1	lasso	0.1	2.5e-24	-1.036	3.00e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.OR2T8_1Mwindow.wgt.RDat	OR2T8	1	247583554	248586454	0.0537		     NA		       NA	   NA	    NA	0	0	enet	0.016	5.8e-05	    NA	      NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MGST3_1Mwindow.wgt.RDat	MGST3	1	165100471	166125373	0.0352	rs12026896	  2.948	rs100537	 0.008306	 3.60	 1.793	610	1	top1	0.0083	0.0031	 1.793	7.30e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.0193	rs11805172	 -7.309	rs6564	 0.021109	-5.32	-3.695	224	1	top1	0.021	5.1e-06	 3.695	2.20e-04
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.DYRK3_1Mwindow.wgt.RDat	DYRK3	1	206308881	207328503	0.0431	rs12142086	  7.028	rs11799614	-0.000588	 3.50	-0.088	362	362	blup	0.00044	0.24	 2.294	2.18e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CDC42_1Mwindow.wgt.RDat	CDC42	1	21879202	22927853	0.0447	rs209729	  4.915	rs4654783	 0.002443	 3.69	-1.793	508	1	lasso	0.0058	0.011	 0.050	9.60e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ANGEL2_1Mwindow.wgt.RDat	ANGEL2	1	212665524	213689209	0.0241	rs12124669	 -5.731	rs7533306	 0.000977	-3.82	 2.212	419	419	blup	0.0033	0.043	-0.326	7.45e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MEX3A_1Mwindow.wgt.RDat	MEX3A	1	155541804	156552256	0.035		     NA		       NA	   NA	    NA	0	0	lasso	0.096	2.7e-22	    NA	      NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PGD_1Mwindow.wgt.RDat	PGD	1	9959121	10980568	0.0213	rs11121583	 -4.956	rs2781230	-0.000853	-3.67	 1.665	352	352	blup	0.0037	0.036	-2.319	2.04e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.UTS2_1Mwindow.wgt.RDat	UTS2	1	7407672	8413551	0.1849	rs10399665	 -7.977	rs161827	 0.193678	12.73	-1.598	441	1	top1	0.19	1.3e-45	-1.598	1.10e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MPC2_1Mwindow.wgt.RDat	MPC2	1	167385913	168406310	0.0387	rs1214598	 -9.008	rs6698995	 0.025029	 4.78	 0.228	503	1	top1	0.025	7.3e-07	 0.228	8.20e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PPIAL4G_1Mwindow.wgt.RDat	PPIAL4G	1	147454635	148455394	0.2117	rs2999617	 -0.496	rs507003	-0.001073	 1.08	-0.228	22	22	blup	-0.001	0.83	 0.154	8.78e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.IGSF9_1Mwindow.wgt.RDat	IGSF9	1	159396831	160415403	0.1376	rs17371986	 -5.309	rs2494485	-0.000982	 6.44	-0.292	472	1	top1	-0.00098	0.77	-0.292	7.70e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PFKFB2_1Mwindow.wgt.RDat	PFKFB2	1	206726620	207754372	0.0469	rs12145973	 -6.171	rs6660274	 0.000034	 4.27	-2.075	397	397	blup	0.0023	0.075	 0.588	5.56e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CHI3L1_1Mwindow.wgt.RDat	CHI3L1	1	202648059	203655832	0.0441	rs17511192	  3.719	rs12048231	-0.001076	 5.55	-2.120	479	1	lasso	0.12	5.500000000000001e-28	 0.319	7.50e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CRYZ_1Mwindow.wgt.RDat	CRYZ	1	74671170	75698734	0.0601	rs7520936	  2.870	rs405445	 0.015320	 4.62	 0.305	369	369	blup	0.018	3e-05	 0.108	9.14e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CCDC163_1Mwindow.wgt.RDat	CCDC163	1	45459538	46465745	0.034		     NA		       NA	   NA	    NA	0	0	lasso	0.021	6.7e-06	    NA	      NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.C1orf21_1Mwindow.wgt.RDat	C1orf21	1	183856163	185098153	0.0447	rs12128517	 -3.402	rs751411	 0.000148	 3.34	-0.063	565	565	blup	0.0042	0.026	-0.569	5.70e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.0333	rs7354900	 -3.450	rs11573562	 0.013960	-4.83	-0.100	328	328	blup	0.016	5.1e-05	 0.333	7.39e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.KIAA0040_1Mwindow.wgt.RDat	KIAA0040	1	174626122	175662123	0.0343	rs10912985	 -3.826	rs2269650	 0.012284	 4.78	-1.405	486	1	top1	0.012	0.00041	-1.405	1.60e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.LINC00115_1Mwindow.wgt.RDat	LINC00115	1	261586	1262902	0.0609	rs4970364	  3.695	rs11466681	-0.000420	 2.80	 2.814	100	100	blup	3.9e-05	0.31	 3.032	2.43e-03
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.EPHX1_1Mwindow.wgt.RDat	EPHX1	1	225497826	226533264	0.0344	rs2927340	 -3.023	rs17569049	 0.025771	 5.92	-1.440	403	1	top1	0.026	5.1e-07	-1.440	1.50e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.NCMAP-DT_1Mwindow.wgt.RDat	NCMAP-DT	1	24365764	25382515	0.0345	rs742230	 -6.686	rs196433	-0.000675	 4.27	 0.772	496	496	blup	0.0077	0.0042	 4.168	3.07e-05
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.GSTM3_1Mwindow.wgt.RDat	GSTM3	1	109776559	110783660	0.0436	rs1149168	  3.652	rs1332018	 0.034533	-5.98	-0.038	416	1	top1	0.035	6.7e-09	 0.038	9.70e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0471	rs1149168	  3.652	rs12745189	 0.042550	-6.10	-0.164	431	1	top1	0.043	1.3e-10	 0.164	8.70e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ARPC5_1Mwindow.wgt.RDat	ARPC5	1	183089981	184104918	0.0175	rs3814328	  4.314	rs1926836	 0.004913	 4.13	-2.241	518	1	lasso	0.0055	0.013	-2.241	2.50e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CHIT1_1Mwindow.wgt.RDat	CHIT1	1	202685207	203698801	0.1684	rs17511192	  3.719	rs16850577	 0.017370	11.39	-1.805	480	1	top1	0.017	3.2e-05	-1.805	7.11e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PHTF1_1Mwindow.wgt.RDat	PHTF1	1	113739453	114802510	0.0186	rs773615	  2.978	rs17013288	 0.006807	-4.38	-0.994	518	4	enet	0.011	0.00069	 0.798	4.25e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BLACAT1_1Mwindow.wgt.RDat	BLACAT1	1	204904014	205925173	0.0541		     NA		       NA	   NA	    NA	0	0	lasso	0.17	7.4e-39	    NA	      NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.AHCTF1_1Mwindow.wgt.RDat	AHCTF1	1	246502400	247595250	0.0239	rs6426220	 -3.378	rs6679952	-0.000704	 3.62	 1.200	469	469	blup	0.0051	0.017	 0.795	4.27e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SLC35F3_1Mwindow.wgt.RDat	SLC35F3	1	233540422	234960257	0.0394	rs6672987	  5.700	rs611676	 0.000410	 5.01	-2.366	841	841	blup	0.01	0.0012	-0.809	4.19e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CCDC18-AS1_1Mwindow.wgt.RDat	CCDC18-AS1	1	93275666	94311368	0.0187	rs10782959	-10.095	rs1323626	 0.005124	-4.18	-9.079	310	310	blup	0.0082	0.0033	 7.974	1.53e-15
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.DYSF_1Mwindow.wgt.RDat	DYSF	2	71180691	72413893	0.045	rs7580273	 -6.59	rs6712030	-5.08e-04	 4.52	-0.100	552	1	top1	-0.00051	0.47	-0.100	0.92034
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CPSF3_1Mwindow.wgt.RDat	CPSF3	2	9063783	10113230	0.0402	rs16866958	  3.83	rs6432025	 2.12e-04	 3.36	 0.292	433	433	blup	0.0084	0.003	 0.431	0.66637
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ZC3H8_1Mwindow.wgt.RDat	ZC3H8	2	112469106	113512619	0.0232	rs6742309	  4.26	rs11691239	 2.10e-03	 3.86	-0.063	347	1	top1	0.0021	0.086	-0.063	0.94977
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SH3YL1_1Mwindow.wgt.RDat	SH3YL1	2	0	764824	0.0608		    NA		       NA	   NA	    NA	0	0	lasso	0.064	3.3e-15	    NA	     NA
