PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.INPP5K_1Mwindow.wgt.RDat	INPP5K	17	897871	1919906	0.0300	rs8077492	 2.90	rs16946807	-1.02e-03	-3.97	 0.5344	394	394	blup	0.0081	0.0029	 0.9191	0.358068
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NUFIP2_1Mwindow.wgt.RDat	NUFIP2	17	27082857	28121166	0.0251	rs601364	-3.04	rs4795480	 1.15e-03	-3.34	 2.1094	333	  3	enet	0.0046	0.02	-1.7729	0.076239
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.P2RX5_1Mwindow.wgt.RDat	P2RX5	17	3076521	4099449	0.0248	rs11868916	 2.85	rs224503	 5.07e-04	 4.04	-0.7846	469	469	blup	0.0031	0.047	-0.6172	0.537101
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ITGB3_1Mwindow.wgt.RDat	ITGB3	17	44831193	45891109	0.0317	rs11652772	-3.34	rs10775405	-6.36e-04	 3.56	 1.0166	359	  1	lasso	0.0018	0.1	 1.0166	0.309344
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SCRN2_1Mwindow.wgt.RDat	SCRN2	17	45415058	46418639	0.0393	rs3805364	-2.69	rs2074185	 3.11e-02	-5.77	-0.5343	387	  1	top1	0.031	2.1e-08	 0.5343	0.593134
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NME2_1Mwindow.wgt.RDat	NME2	17	48742897	49749105	0.0403	rs11652601	 2.24	rs12946936	 1.66e-02	 4.55	-0.2851	420	420	blup	0.019	9e-06	 0.4851	0.627639
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ELP5_1Mwindow.wgt.RDat	ELP5	17	6655043	7663259	0.0552	rs11867551	-3.62	rs222835	 4.03e-02	 6.40	-2.0067	447	  1	top1	0.04	1.9e-10	-2.0067	0.044782
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MARCHF10-DT_1Mwindow.wgt.RDat	MARCHF10-DT	17	60385863	61413732	0.0134	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.044	3e-11	     NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ZBTB4_1Mwindow.wgt.RDat	ZBTB4	17	6862697	7887568	0.0409	rs11867551	-3.62	rs1565816	 4.49e-03	 3.51	 1.1372	454	  1	lasso	0.006	0.009	 1.1372	0.255455
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EIF5A_1Mwindow.wgt.RDat	EIF5A	17	6710318	7715782	0.1750	rs11867551	-3.62	rs4796398	 1.63e-01	12.56	 0.6895	427	  1	top1	0.16	2.3e-39	 0.6895	0.490509
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ORMDL3_1Mwindow.wgt.RDat	ORMDL3	17	37577294	38583854	0.0397	rs11078927	-2.09	rs9303281	 3.16e-02	 6.76	 1.5038	261	  1	top1	0.032	1.7e-08	 1.5038	0.132633
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RDM1_1Mwindow.wgt.RDat	RDM1	17	33745084	34757777	0.0580	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.032	1.3e-08	     NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SP2-DT_1Mwindow.wgt.RDat	SP2-DT	17	45468595	46473182	0.0288	rs3805364	-2.69	rs882163	 8.29e-03	-4.20	 0.1188	382	382	blup	0.012	0.00034	-0.3004	0.763853
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ARL17B_1Mwindow.wgt.RDat	ARL17B	17	43851550	44939153	0.0602	rs110402	-2.04	rs169201	 6.78e-03	 4.50	 0.8179	 81	 81	blup	0.016	5e-05	 1.3782	0.168131
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EVI2A_1Mwindow.wgt.RDat	EVI2A	17	29143428	30148640	0.0361	rs9915139	-2.69	rs2525563	 1.45e-02	-5.44	-0.5078	325	325	blup	0.026	3.7e-07	 0.4255	0.670470
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NME1_1Mwindow.wgt.RDat	NME1	17	48730920	49739529	0.0206	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0034	0.039	     NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.KANSL1-AS1_1Mwindow.wgt.RDat	KANSL1-AS1	17	43770939	44774089	0.0420	rs110402	-2.04	rs17689471	 2.04e-02	 4.14	 1.0695	 28	  1	top1	0.02	5e-06	 1.0695	0.284844
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NTN1_1Mwindow.wgt.RDat	NTN1	17	8424827	9647317	0.0523	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0069	0.0056	     NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LGALS9_1Mwindow.wgt.RDat	LGALS9	17	25458214	26476586	0.0182	rs11655873	 2.60	rs4239242	 5.71e-03	-4.31	 2.1065	299	  4	enet	0.006	0.0094	-2.2836	0.022395
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TACO1_1Mwindow.wgt.RDat	TACO1	17	61178254	62185725	0.0184	rs9905945	 3.00	rs2854218	 2.01e-03	 3.54	 2.0690	255	255	blup	0.0091	0.0018	 2.3619	0.018183
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.C17orf97_1Mwindow.wgt.RDat	C17orf97	17	0	764457	0.0371	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.017	3.6e-05	     NA	      NA
