PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CXCL1_1Mwindow.wgt.RDat	CXCL1	4	74235110	75237025	0.0257	rs1350666	 2.40	rs16849972	-0.000838	  3.50	-1.922	294	  1	lasso	0.0015	0.12	 0.9080	0.36388
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AFAP1_1Mwindow.wgt.RDat	AFAP1	4	7260440	8441588	0.1187	rs9990943	-2.96	rs11930623	 0.123139	 10.72	 0.746	824	  1	top1	0.12	1.2e-29	 0.7460	0.45567
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ABCG2_1Mwindow.wgt.RDat	ABCG2	4	88511416	89652778	0.0487	rs2622628	-2.73	rs36111742	 0.035265	  6.32	 0.899	493	  1	top1	0.035	2.3e-09	 0.8990	0.36865
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HSD17B11_1Mwindow.wgt.RDat	HSD17B11	4	87757667	88812340	0.0778	rs4693803	 3.16	rs6531983	 0.009063	 -4.54	 0.313	458	458	blup	0.028	1e-07	 1.4058	0.15980
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02562_1Mwindow.wgt.RDat	LINC02562	4	75507135	76509918	0.0624	rs6532431	-2.31	rs6853754	 0.049746	  7.72	-1.124	404	  1	top1	0.05	1.3e-12	-1.1240	0.26101
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01179_1Mwindow.wgt.RDat	LINC01179	4	166105791	167183930	0.0537	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.19	1.7e-46	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.G3BP2_1Mwindow.wgt.RDat	G3BP2	4	76067970	77149621	0.0309	rs17234715	 2.64	rs35199342	 0.025537	 -5.47	 1.288	484	  1	top1	0.026	3.5e-07	-1.2880	0.19775
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SEPSECS-AS1_1Mwindow.wgt.RDat	SEPSECS-AS1	4	24662294	25700128	0.0890	rs6830846	 2.79	rs16876882	 0.050911	 -7.82	-0.131	524	  2	lasso	0.052	3.9e-13	 0.1115	0.91122
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAM241A_1Mwindow.wgt.RDat	FAM241A	4	112566610	113616412	0.0403	rs11736683	-2.75	rs7661969	 0.047418	 -7.19	-0.649	376	  1	enet	0.053	2e-13	 1.2490	0.21167
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAM184B_1Mwindow.wgt.RDat	FAM184B	4	17130929	18283244	0.2554	rs7661303	 3.38	rs1006722	 0.464525	 21.42	-0.725	469	  2	lasso	0.47	5.5e-134	-0.7250	0.46845
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANKRD50_1Mwindow.wgt.RDat	ANKRD50	4	125085203	126133887	0.0337	rs13146437	-3.21	rs312495	-0.001013	  4.61	-1.621	393	393	blup	0.0039	0.029	-1.1698	0.24206
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NAAA_1Mwindow.wgt.RDat	NAAA	4	76331808	77362166	0.0220	rs10023335	 2.89	rs4859572	-0.001006	 -3.52	-0.584	462	462	blup	0.0033	0.04	-0.1173	0.90663
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATP8A1_1Mwindow.wgt.RDat	ATP8A1	4	41910390	43159122	0.0286	rs1561147	 2.87	rs2100766	-0.000104	  4.11	-0.105	581	581	blup	0.0035	0.036	-0.9432	0.34559
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LCORL_1Mwindow.wgt.RDat	LCORL	4	17342810	18523498	0.0317	rs7661303	 3.38	rs4140904	 0.005235	 -3.89	 0.262	413	413	blup	0.0062	0.0083	 2.9835	0.00285
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GYPE_1Mwindow.wgt.RDat	GYPE	4	144292017	145326712	0.0201	rs11100851	 2.42	rs9308176	-0.000982	  4.39	 0.557	260	260	blup	0.014	0.00017	-0.1471	0.88309
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PIGY-DT_1Mwindow.wgt.RDat	PIGY-DT	4	88944961	89946142	0.0254	rs2622628	-2.73	rs1795734	 0.006903	  3.63	-0.110	384	384	blup	0.01	0.00084	 1.8479	0.06462
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SPINK2_1Mwindow.wgt.RDat	SPINK2	4	57176026	58188035	0.1000	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.06	6.3e-15	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NSG1_1Mwindow.wgt.RDat	NSG1	4	3888259	4920785	0.2390	rs12501827	 3.09	rs13147893	 0.197109	 13.33	 0.099	423	  1	lasso	0.21	1.9e-50	-0.2110	0.83289
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CYP4V2_1Mwindow.wgt.RDat	CYP4V2	4	186612721	187634617	0.0449	rs830841	-2.30	rs7687961	 0.040699	  6.38	-0.689	584	  1	top1	0.041	1.4e-10	-0.6890	0.49082
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAM13A_1Mwindow.wgt.RDat	FAM13A	4	89147111	90478336	0.0926	rs10021465	-2.23	rs2609260	 0.082625	  9.12	 1.016	530	  7	enet	0.093	2.2e-22	 1.7325	0.08318
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HPGDS_1Mwindow.wgt.RDat	HPGDS	4	94719686	95763987	0.0823	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	-9e-04	0.72	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02513_1Mwindow.wgt.RDat	LINC02513	4	37868535	38887380	0.0332	rs13139983	 2.94	rs13139166	 0.032287	  5.61	-0.527	591	  1	top1	0.032	1.1e-08	-0.5270	0.59819
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02482_1Mwindow.wgt.RDat	LINC02482	4	6172455	7175608	0.0851	rs7661864	-3.57	rs2285864	 0.046691	 -7.10	-0.624	503	  1	top1	0.047	6.5e-12	 0.6240	0.53263
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MCUB_1Mwindow.wgt.RDat	MCUB	4	109981402	111109875	0.0518	rs11569109	-2.52	rs7699969	 0.027664	 -6.19	-0.029	400	  2	enet	0.029	5.4e-08	-0.0137	0.98903
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.UBA6_1Mwindow.wgt.RDat	UBA6	4	67978370	69066873	0.0269	rs13145997	-2.91	rs1548119	 0.016727	  5.58	 0.967	428	  1	top1	0.017	3.2e-05	 0.9670	0.33354
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CNOT6L_1Mwindow.wgt.RDat	CNOT6L	4	78134541	79241423	0.0550	rs1354101	 2.12	rs10005741	 0.013241	  5.40	 0.874	524	524	blup	0.015	6.6e-05	 0.6852	0.49324
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPAT_1Mwindow.wgt.RDat	PPAT	4	56759528	57801781	0.0372	rs6823178	 2.48	rs6826795	 0.021631	 -5.42	 1.561	445	  1	top1	0.022	2.6e-06	-1.5610	0.11852
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GYPB_1Mwindow.wgt.RDat	GYPB	4	144417257	145440533	1.0000	rs11100851	 2.42	rs4487295	-0.000975	  3.29	-0.648	256	  1	top1	-0.00097	0.81	-0.6480	0.51698
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.INPP4B_1Mwindow.wgt.RDat	INPP4B	4	142444313	144267688	0.0274	rs11100780	 3.01	rs1373036	 0.034969	 -5.96	 0.390	602	  1	top1	0.035	2.7e-09	-0.3900	0.69654
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STAP1_1Mwindow.wgt.RDat	STAP1	4	67924445	68973055	0.0352	rs13145997	-2.91	rs6826522	 0.006735	 -4.70	 0.498	414	414	blup	0.014	0.00012	-0.3706	0.71096
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM156_1Mwindow.wgt.RDat	TMEM156	4	38468365	39534029	0.1429	rs12500509	-3.37	rs1036039	 0.081761	 -9.32	 2.883	501	  4	enet	0.11	4.5e-27	-2.8748	0.00404
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNX25_1Mwindow.wgt.RDat	SNX25	4	185625391	186785120	0.0453	rs2310324	 2.48	rs3806823	 0.050771	  7.09	 1.450	610	  1	top1	0.051	7.9e-13	 1.4500	0.14706
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.BDH2_1Mwindow.wgt.RDat	BDH2	4	103498749	104520991	0.0268	rs10489114	 3.02	rs2711898	 0.033326	  6.15	 1.501	315	  1	top1	0.033	6.4e-09	 1.5010	0.13336
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CENPU_1Mwindow.wgt.RDat	CENPU	4	185115239	186155250	0.0230	rs10000319	 3.01	rs12501768	 0.010334	 -4.66	 0.957	533	  1	enet	0.012	0.00045	-0.9570	0.33857
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CASP6_1Mwindow.wgt.RDat	CASP6	4	110109784	111124601	0.0305	rs11569109	-2.52	rs13103167	-0.000148	  3.76	-1.362	376	376	blup	0.012	0.00031	-2.3083	0.02098
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FABP2_1Mwindow.wgt.RDat	FABP2	4	119738405	120743293	0.0292	rs17263022	 2.63	rs12644283	 0.014116	  5.38	 0.490	442	442	blup	0.017	2.6e-05	 1.7343	0.08287
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NEK1_1Mwindow.wgt.RDat	NEK1	4	169813960	171033734	0.0177	rs6844099	 2.56	rs10520157	 0.019240	  4.62	-0.134	422	  1	top1	0.019	8.8e-06	-0.1340	0.89340
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNHG8_1Mwindow.wgt.RDat	SNHG8	4	118699917	119700978	0.2796	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.26	4e-64	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTBP1-DT_1Mwindow.wgt.RDat	CTBP1-DT	4	743228	1746795	0.0492	rs764324	 3.50	rs2878539	 0.024820	  6.17	 1.286	400	  1	top1	0.025	5e-07	 1.2860	0.19844
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AGA_1Mwindow.wgt.RDat	AGA	4	177851928	178863591	0.0373	rs4299533	-3.42	rs4690522	 0.031058	 -6.08	-0.186	427	  1	top1	0.031	2e-08	 0.1860	0.85244
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SRD5A3_1Mwindow.wgt.RDat	SRD5A3	4	55712409	56739267	0.0542	rs7677667	 2.43	rs2412648	 0.010890	  5.28	-0.988	398	398	blup	0.034	4.8e-09	-0.0804	0.93591
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KLF3-AS1_1Mwindow.wgt.RDat	KLF3-AS1	4	38100714	39166514	0.0749	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.042	6e-11	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MRPS18C_1Mwindow.wgt.RDat	MRPS18C	4	83877211	84883451	0.0209	rs12650866	 2.55	rs1980271	 0.003893	  4.43	 1.899	352	352	blup	0.0063	0.0078	 1.0728	0.28335
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02273_1Mwindow.wgt.RDat	LINC02273	4	152521905	153525872	0.1498	rs6856441	-2.09	rs13140099	 0.126824	-11.16	 0.684	351	  4	lasso	0.14	1.4e-32	-0.7101	0.47763
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CFAP97_1Mwindow.wgt.RDat	CFAP97	4	185580819	186625154	0.0356	rs2310324	 2.48	rs3108292	 0.000548	  3.97	-0.666	518	518	blup	0.0082	0.0029	 0.1340	0.89340
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RNF175_1Mwindow.wgt.RDat	RNF175	4	154131312	155181176	0.0745	rs11728644	-2.59	rs4426759	 0.033901	  7.31	-0.148	420	420	blup	0.059	1.1e-14	-0.0673	0.94636
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RGS12_1Mwindow.wgt.RDat	RGS12	4	2787618	3941640	0.0313	rs16843511	 2.68	rs2749782	 0.010096	  4.07	 1.489	393	  1	top1	0.01	0.001	 1.4890	0.13649
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANXA5_1Mwindow.wgt.RDat	ANXA5	4	122089101	123118135	0.0691	rs4240264	 3.26	rs6534309	 0.047458	  7.06	-1.540	455	  1	top1	0.047	4.4e-12	-1.5400	0.12356
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.USP53_1Mwindow.wgt.RDat	USP53	4	119633868	120716673	0.1541	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.14	5.3e-33	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS3A_1Mwindow.wgt.RDat	RPS3A	4	151520780	152525794	0.1811	rs12646254	-3.03	rs6839157	 0.275257	-16.70	-0.750	256	  1	enet	0.28	1.4e-70	 0.7500	0.45325
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LSM6_1Mwindow.wgt.RDat	LSM6	4	146596870	147612687	0.0224	rs11930848	 1.92	rs1991979	 0.005164	 -3.92	 0.315	354	354	blup	0.012	0.00035	-0.6214	0.53436
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MANBA_1Mwindow.wgt.RDat	MANBA	4	103051927	104182125	0.0566	rs13107325	-5.02	rs223508	 0.046298	 -7.06	-0.203	382	  8	enet	0.051	8e-13	 1.7324	0.08320
