PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TRAPPC2L_1Mwindow.wgt.RDat	TRAPPC2L	16	88422628	89429086	0.1008	rs3743975	 2.64	rs3826061	 0.096784	-10.52	 8.37e-01	393	  2	enet	0.11	2.3e-27	-0.5042	0.61409
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPATA33_1Mwindow.wgt.RDat	SPATA33	16	89224184	90236866	0.0327	rs3803683	-3.90	rs154657	 0.005442	  4.58	 1.37e+00	412	412	blup	0.011	6e-04	 1.2756	0.20210
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MT1X_1Mwindow.wgt.RDat	MT1X	16	56216382	57218108	0.1878	rs154043	 2.46	rs1599933	 0.165643	 12.75	 5.83e-01	527	  2	lasso	0.18	6.1e-43	 0.4642	0.64251
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.APOBR_1Mwindow.wgt.RDat	APOBR	16	28005964	29010285	0.0268	rs205414	 3.08	rs11401	 0.000240	 -3.64	 1.26e+00	196	196	blup	0.01	0.0011	-2.0220	0.04317
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CMTM2_1Mwindow.wgt.RDat	CMTM2	16	66113366	67122178	0.0357	NA	   NA	NA	       NA	    NA	       NA	396	  0	top1	0.02	4.7e-06	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PGAP6_1Mwindow.wgt.RDat	PGAP6	16	0	931978	0.1693	rs2541594	-2.55	rs11248931	 0.212799	 12.31	-8.78e-02	327	  1	lasso	0.22	1.5e-54	 0.2214	0.82479
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPNS1_1Mwindow.wgt.RDat	SPNS1	16	28486099	29495864	0.0242	rs8061877	 1.72	rs9929088	 0.024009	  6.20	 3.24e-01	166	  1	top1	0.024	7.5e-07	 0.3239	0.74598
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TGFB1I1_1Mwindow.wgt.RDat	TGFB1I1	16	30983473	31989281	0.0579	rs1052352	-2.31	rs13337037	 0.017467	  5.77	-1.08e+00	247	  5	enet	0.035	2.6e-09	-0.3903	0.69630
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ENKD1_1Mwindow.wgt.RDat	ENKD1	16	67196848	68200653	0.0153	NA	   NA	NA	       NA	    NA	       NA	201	  0	blup	0.0059	0.0097	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MT2A_1Mwindow.wgt.RDat	MT2A	16	56142496	57143409	0.3336	rs154043	 2.46	rs11642055	 0.270307	-12.28	 6.60e-01	516	  7	enet	0.3	8.8e-78	 0.1564	0.87568
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DNAJA3_1Mwindow.wgt.RDat	DNAJA3	16	3975869	5006776	0.1484	NA	   NA	NA	       NA	    NA	       NA	  0	  0	lasso	0.11	1.9e-27	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NME3_1Mwindow.wgt.RDat	NME3	16	1320321	2321544	0.0349	rs34973300	-2.89	rs12149777	 0.016732	  5.18	-5.24e-01	429	  1	top1	0.017	3.2e-05	-0.5241	0.60023
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EXOSC6_1Mwindow.wgt.RDat	EXOSC6	16	69780681	70785843	0.0141	rs9922223	 2.13	rs936994	 0.000345	  4.17	-6.80e-01	182	182	blup	0.0053	0.013	 0.0989	0.92121
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CEP20_1Mwindow.wgt.RDat	CEP20	16	15459576	16482460	0.0215	rs216163	 3.06	rs3743517	 0.022331	  4.82	-7.45e-01	433	  1	top1	0.022	1.8e-06	-0.7455	0.45599
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HEATR3_1Mwindow.wgt.RDat	HEATR3	16	49599881	50641183	0.0314	NA	   NA	NA	       NA	    NA	       NA	  0	  0	enet	0.027	1.8e-07	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SLX4_1Mwindow.wgt.RDat	SLX4	16	3131182	4161607	0.0511	rs432166	-2.84	rs2238400	-0.000147	 -3.40	 5.78e-01	354	354	blup	0.0053	0.013	-1.0001	0.31726
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CMTM1_1Mwindow.wgt.RDat	CMTM1	16	66100342	67113038	0.0191	rs4628974	-2.49	rs4783598	 0.017805	  4.94	-4.10e-01	402	  1	top1	0.018	1.8e-05	-0.4097	0.68202
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IL32_1Mwindow.wgt.RDat	IL32	16	2615404	3619531	0.4089	rs6500757	-3.04	rs4786377	 0.182168	 10.68	-3.47e-01	330	  1	lasso	0.27	9.9e-68	 0.0155	0.98759
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SGF29_1Mwindow.wgt.RDat	SGF29	16	28065241	29103111	0.0538	rs205414	 3.08	rs480400	 0.082994	 -9.47	-6.29e-01	181	  1	lasso	0.09	9.3e-22	 1.0707	0.28429
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYH11_1Mwindow.wgt.RDat	MYH11	16	15296992	16450885	0.1300	rs216163	 3.06	rs16967494	 0.125797	 11.71	-1.71e+00	434	  2	lasso	0.14	3.2e-33	-1.7139	0.08655
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ATP2C2_1Mwindow.wgt.RDat	ATP2C2	16	83902144	84997793	0.0794	rs4782969	-2.93	rs416330	 0.043777	  6.94	 2.55e+00	889	  1	top1	0.044	2.9e-11	 2.5465	0.01088
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ADAT1_1Mwindow.wgt.RDat	ADAT1	16	75130766	76157179	0.0293	NA	   NA	NA	       NA	    NA	       NA	  0	  0	lasso	0.013	0.00019	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NLRC5_1Mwindow.wgt.RDat	NLRC5	16	56523469	57617432	0.0672	rs12934339	 2.73	rs7192652	 0.018680	 -5.67	 7.91e-01	572	  3	lasso	0.021	2.8e-06	-0.3940	0.69356
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CARHSP1_1Mwindow.wgt.RDat	CARHSP1	16	8446799	9462863	0.0446	rs17791503	 3.13	rs2437704	 0.036561	  6.45	 8.21e-01	483	  1	top1	0.037	1.2e-09	 0.8214	0.41141
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PGP_1Mwindow.wgt.RDat	PGP	16	1761594	2764841	0.0381	rs34973300	-2.89	rs26849	 0.004797	  4.30	-7.30e-01	296	  1	top1	0.0048	0.017	-0.7301	0.46534
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NAA60_1Mwindow.wgt.RDat	NAA60	16	2993611	4036963	0.0554	rs6500757	-3.04	rs40223	 0.029072	  5.15	-1.80e+00	350	  1	top1	0.029	5.6e-08	-1.7967	0.07238
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CDK10_1Mwindow.wgt.RDat	CDK10	16	89253097	90262762	0.2268	NA	   NA	NA	       NA	    NA	       NA	  0	  0	lasso	0.066	3.5e-16	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SNAI3_1Mwindow.wgt.RDat	SNAI3	16	88244096	89252915	0.0434	NA	   NA	NA	       NA	    NA	       NA	  0	  0	enet	0.014	0.00015	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MRPS34_1Mwindow.wgt.RDat	MRPS34	16	1321896	2323135	0.0646	NA	   NA	NA	       NA	    NA	       NA	  0	  0	lasso	0.02	5e-06	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KAT8_1Mwindow.wgt.RDat	KAT8	16	30628985	31642714	0.0152	rs1052352	-2.31	rs7200879	 0.005435	  3.47	-1.63e+00	244	244	blup	0.014	0.00011	-1.7981	0.07216
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HAGH_1Mwindow.wgt.RDat	HAGH	16	1357630	2377195	0.1805	rs34973300	-2.89	rs2437744	 0.213008	 13.93	-1.33e+00	432	  3	lasso	0.23	3.2e-57	-1.1606	0.24578
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BOLA2_1Mwindow.wgt.RDat	BOLA2	16	28964909	29966285	0.0612	rs13332660	 2.24	rs8052502	 0.033497	  6.55	-6.34e-01	148	  1	top1	0.033	5.7e-09	-0.6343	0.52588
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ZDHHC7_1Mwindow.wgt.RDat	ZDHHC7	16	84507781	85545141	0.0809	rs4782977	 2.84	rs8044678	 0.003631	  4.25	 1.69e+00	641	641	blup	0.017	3.2e-05	 1.5315	0.12564
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SLC22A31_1Mwindow.wgt.RDat	SLC22A31	16	88762169	89768086	0.0618	NA	   NA	NA	       NA	    NA	       NA	  0	  0	lasso	0.048	3.9e-12	     NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BCAR1_1Mwindow.wgt.RDat	BCAR1	16	74762079	75801905	0.0625	rs1477401	 2.40	rs13337397	 0.055390	  7.65	-1.39e-01	391	  1	top1	0.055	7e-14	-0.1394	0.88916
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CLEC18A_1Mwindow.wgt.RDat	CLEC18A	16	69484420	70497889	0.0318	rs9922223	 2.13	rs4985377	 0.029912	  5.13	-4.91e-01	188	  1	top1	0.03	3.6e-08	-0.4908	0.62356
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RPS2_1Mwindow.wgt.RDat	RPS2	16	1512059	2514827	0.2209	rs34973300	-2.89	rs17602	 0.172896	 12.81	-8.04e-01	391	  1	lasso	0.18	5.7e-44	-0.6175	0.53691
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPIRE2_1Mwindow.wgt.RDat	SPIRE2	16	89394883	90437727	0.0347	rs3803683	-3.94	rs7195066	 0.002950	  4.15	 6.46e-02	341	341	blup	0.012	0.00034	-0.5716	0.56760
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RMI2_1Mwindow.wgt.RDat	RMI2	16	10939316	11945617	0.0420	rs12599165	 2.61	rs7191700	 0.027730	  5.57	-3.61e-02	481	  1	top1	0.028	1.1e-07	-0.0361	0.97117
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RPL13_1Mwindow.wgt.RDat	RPL13	16	89127065	90133237	0.0917	rs3803683	-3.84	rs12919314	 0.047776	 -8.31	 3.72e-01	437	  5	enet	0.096	4e-23	 0.3349	0.73773
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GLG1_1Mwindow.wgt.RDat	GLG1	16	73981338	75141012	0.0270	rs11866601	-2.44	rs10871295	 0.018087	 -4.94	 4.25e-01	422	  1	top1	0.018	1.6e-05	-0.4249	0.67089
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KLHDC4_1Mwindow.wgt.RDat	KLHDC4	16	87241418	88299592	0.0357	rs7204722	 3.66	rs7199037	-0.000711	 -3.84	 1.58e-01	472	472	blup	0.012	0.00048	 0.8338	0.40438
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GINS2_1Mwindow.wgt.RDat	GINS2	16	85209804	86222560	0.0566	rs12598434	-2.89	rs3815795	 0.033915	  6.30	-3.22e-01	564	  1	top1	0.034	4.6e-09	-0.3215	0.74782
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FANCA_1Mwindow.wgt.RDat	FANCA	16	89303957	90383055	0.0492	rs3803683	-3.90	rs7204478	 0.016669	 -4.98	-1.35e+00	380	380	blup	0.027	1.4e-07	 0.5318	0.59485
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SETD6_1Mwindow.wgt.RDat	SETD6	16	58049383	59057746	0.1249	rs1531581	-3.97	rs246195	 0.119209	 11.24	-1.23e+00	452	 13	enet	0.15	5.4e-37	-1.0677	0.28567
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SULT1A2_1Mwindow.wgt.RDat	SULT1A2	16	28103264	29108371	0.0711	rs11647191	 2.01	rs8053800	 0.015431	  3.03	-4.23e-02	169	  1	top1	0.015	6.2e-05	-0.0423	0.96628
