PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LIPN_1Mwindow.wgt.RDat	LIPN	10	90019777	91039383	0.0288	rs2765456	-3.40	rs407433	-0.000749	 3.96	 0.260	535	535	blup	0.007	0.007	 0.2732	7.85e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TBC1D12_1Mwindow.wgt.RDat	TBC1D12	10	95662298	96796089	0.0259	rs11187883	 3.54	rs11187968	 0.000675	-3.70	 0.607	378	378	blup	0.01	0.0013	-1.8658	6.21e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NKX6-2_1Mwindow.wgt.RDat	NKX6-2	10	134096685	135099651	0.0973	rs4554798	 3.33	rs11146559	-0.001102	 5.82	 2.401	409	  1	top1	-0.0011	0.93	 2.4010	1.64e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ADIRF_1Mwindow.wgt.RDat	ADIRF	10	88228239	89230672	0.0507	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	-0.00087	0.64	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.KNDC1_1Mwindow.wgt.RDat	KNDC1	10	134473723	135539916	0.0526	rs10870341	-2.62	rs2998144	 0.041129	 5.13	-1.645	420	  1	top1	0.041	4.7e-10	-1.6450	1.00e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ECHDC3_1Mwindow.wgt.RDat	ECHDC3	10	11284381	12306069	0.0480	rs7098278	 2.70	rs3814627	-0.000738	-4.31	-1.018	434	434	blup	0.015	0.00013	 1.2173	2.23e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.UTF1_1Mwindow.wgt.RDat	UTF1	10	134543721	135545062	0.0856	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.062	1.8e-14	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DNA2_1Mwindow.wgt.RDat	DNA2	10	69673821	70731878	0.0260	rs12764361	-3.39	rs11596653	 0.002129	 4.90	 1.145	402	402	blup	0.0039	0.033	-2.0480	4.06e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DLG5-AS1_1Mwindow.wgt.RDat	DLG5-AS1	10	79186570	80189583	0.3632	rs719871	 2.92	rs1863831	-0.001037	10.71	-0.073	466	  1	lasso	-0.001	0.78	-0.0730	9.42e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NEBL_1Mwindow.wgt.RDat	NEBL	10	20568902	22081979	0.1461	rs7097882	 3.33	rs7906397	 0.077513	 9.67	-0.882	664	  1	enet	0.089	3.2e-20	-0.8820	3.78e-01
