PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.UBE2J1_1Mwindow.wgt.RDat	UBE2J1	6	89536344	90562441	0.0745	rs7762714	-3.27	rs12189673	 8.00e-02	  4.68	-2.806	447	  1	top1	0.08	2.1e-19	-2.8060	0.00502
B_naive	RA_only/B_naive_5pcs_all/B_naive.DSE_1Mwindow.wgt.RDat	DSE	6	116075334	117266024	0.0365	rs675495	 2.71	rs9488914	 2.21e-02	 -5.05	 0.442	445	  1	top1	0.022	2.1e-06	-0.4420	0.65849
B_naive	RA_only/B_naive_5pcs_all/B_naive.LY86_1Mwindow.wgt.RDat	LY86	6	6088953	7155215	0.1258	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.091	4.8e-22	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.DSP_1Mwindow.wgt.RDat	DSP	6	7041904	8086947	0.1259	rs17340275	-3.98	rs12196679	 2.07e-01	-14.35	-1.112	604	  8	enet	0.21	5.1e-51	 0.8594	0.39013
B_naive	RA_only/B_naive_5pcs_all/B_naive.CENPQ_1Mwindow.wgt.RDat	CENPQ	6	48931083	49960820	0.0228	rs7453050	-2.62	rs9367358	 4.78e-03	  3.99	-2.442	357	357	blup	0.011	0.00077	-1.5535	0.12030
B_naive	RA_only/B_naive_5pcs_all/B_naive.CRYBG1_1Mwindow.wgt.RDat	CRYBG1	6	106308592	107519892	0.0330	rs4946752	-2.79	rs11968064	 2.08e-02	  5.63	 0.529	662	  2	enet	0.025	5.5e-07	 0.6935	0.48799
B_naive	RA_only/B_naive_5pcs_all/B_naive.CALHM6_1Mwindow.wgt.RDat	CALHM6	6	116282538	117284934	0.2779	rs675495	 2.71	rs11755235	 1.74e-01	 -9.46	-1.781	378	  1	top1	0.17	3.7e-42	 1.7810	0.07491
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS12_1Mwindow.wgt.RDat	RPS12	6	132635708	133638703	0.0314	rs998630	-2.71	rs17061930	 2.89e-02	  3.70	 1.712	541	  1	top1	0.029	6.5e-08	 1.7120	0.08690
B_naive	RA_only/B_naive_5pcs_all/B_naive.PRDM1_1Mwindow.wgt.RDat	PRDM1	6	106034211	107057813	0.0384	rs4946752	-2.79	rs2787514	 5.68e-03	 -4.34	-0.141	572	  1	top1	0.0057	0.011	 0.1410	0.88787
B_naive	RA_only/B_naive_5pcs_all/B_naive.B3GAT2_1Mwindow.wgt.RDat	B3GAT2	6	71066382	72166763	0.0607	rs4140440	 2.18	rs17764105	 2.72e-02	 -6.20	 0.672	434	  1	top1	0.027	1.5e-07	-0.6720	0.50158
