PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ASL_1Mwindow.wgt.RDat	ASL	7	65040806	66058563	0.0333	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.026	2.6e-07	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EPHB6_1Mwindow.wgt.RDat	EPHB6	7	142052838	143068847	0.0357	rs12668690	 3.01	rs2886994	 0.003092	  4.29	-0.3100	378	378	blup	0.012	0.00041	-0.2271	0.82038
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NT5C3A_1Mwindow.wgt.RDat	NT5C3A	7	32553725	33602388	0.0251	rs3956705	-4.44	rs4338000	 0.005755	  4.72	-1.2070	347	347	blup	0.0082	0.0027	-0.3430	0.73158
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GIMAP4_1Mwindow.wgt.RDat	GIMAP4	7	149764478	150771041	0.0387	rs2968853	-2.71	rs6464078	 0.035389	  6.38	 0.5230	425	  1	top1	0.035	2.2e-09	 0.5230	0.60097
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HIPK2_1Mwindow.wgt.RDat	HIPK2	7	138746316	139977797	0.0367	rs13223890	-2.83	rs28642156	-0.000518	 -4.08	 0.2580	482	482	blup	0.0048	0.018	 1.7368	0.08242
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.VWDE_1Mwindow.wgt.RDat	VWDE	7	11870511	12943491	0.0762	rs2015577	 2.62	rs17444259	 0.079688	  6.40	-0.2700	668	  1	top1	0.08	2.1e-19	-0.2700	0.78716
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DAGLB_1Mwindow.wgt.RDat	DAGLB	7	5948760	6987585	0.0486	rs11762792	 3.58	rs12537894	 0.027464	  4.62	 0.4430	278	  1	top1	0.027	1.3e-07	 0.4430	0.65777
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.JAZF1_1Mwindow.wgt.RDat	JAZF1	7	27370196	28720414	0.0385	rs2391665	-3.37	rs2189966	 0.032349	  5.91	-1.4290	711	  1	top1	0.032	1e-08	-1.4290	0.15300
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TOMM7_1Mwindow.wgt.RDat	TOMM7	7	22352593	23362468	0.2558	rs4722224	 3.14	rs10276099	 0.222435	-14.91	 0.0900	500	  1	top1	0.22	5.5e-55	-0.0900	0.92829
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LAMB1_1Mwindow.wgt.RDat	LAMB1	7	107064244	108143606	0.1903	rs10239916	 2.41	rs6944829	 0.235051	-15.48	 0.7130	528	  5	enet	0.24	1.2e-60	-0.6793	0.49693
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EMSLR_1Mwindow.wgt.RDat	EMSLR	7	100451588	101454620	0.0611	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.035	3.3e-09	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KLHL7-DT_1Mwindow.wgt.RDat	KLHL7-DT	7	22640847	23645322	0.0206	rs12533936	-3.19	rs10256996	 0.006413	  3.90	-0.0730	424	424	blup	0.0099	0.0011	 0.7728	0.43964
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZNF713_1Mwindow.wgt.RDat	ZNF713	7	55455149	56509918	0.0359	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.035	2.8e-09	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SEMA3A_1Mwindow.wgt.RDat	SEMA3A	7	83085093	84324105	0.0497	rs12707628	 2.79	rs1990046	 0.014802	  5.92	 1.4610	503	  1	enet	0.041	1.4e-10	 0.8250	0.40937
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TBRG4_1Mwindow.wgt.RDat	TBRG4	7	44639699	45651296	0.0324	rs3173757	-2.53	rs799449	-0.000165	 -3.67	-0.3120	427	427	blup	0.013	0.00028	 1.4099	0.15857
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RAC1_1Mwindow.wgt.RDat	RAC1	7	5914158	6943598	0.0499	rs11762792	 3.58	rs836549	 0.027737	  5.54	 2.8870	282	  1	enet	0.029	5.7e-08	 2.8870	0.00389
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRBV28_1Mwindow.wgt.RDat	TRBV28	7	141928504	142928984	0.1289	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.15	4.6e-37	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRGC1_1Mwindow.wgt.RDat	TRGC1	7	37799689	38805279	0.0337	rs940347	-3.34	rs6953248	-0.000526	  3.62	-1.4920	627	627	blup	0.0042	0.024	-0.9889	0.32272
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ASB15_1Mwindow.wgt.RDat	ASB15	7	122741875	123779535	0.0199	rs17146354	-2.70	rs608447	 0.017231	  4.91	-0.9370	373	  1	top1	0.017	2.5e-05	-0.9370	0.34876
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRGV3_1Mwindow.wgt.RDat	TRGV3	7	37898113	38898580	0.0404	rs940347	-3.34	rs7781415	-0.000786	  3.62	 1.3640	608	608	blup	0.0082	0.0028	-0.6169	0.53733
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DUS4L-BCAP29_1Mwindow.wgt.RDat	DUS4L-BCAP29	7	106704416	107763762	0.0340	rs2237680	 2.31	rs11762604	-0.000671	  3.61	-0.6920	357	357	blup	0.0042	0.025	 0.2815	0.77830
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PILRB_1Mwindow.wgt.RDat	PILRB	7	99455740	100465454	0.0535	rs2406253	-2.81	rs7783550	 0.051788	  8.16	-2.5490	300	  3	enet	0.058	2.1e-14	-1.9817	0.04751
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STYXL1_1Mwindow.wgt.RDat	STYXL1	7	75125655	76177318	0.0268	rs13340490	-2.25	rs11553096	 0.032458	  6.03	-1.0630	324	  1	lasso	0.033	7.8e-09	-1.0630	0.28778
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC26A5_1Mwindow.wgt.RDat	SLC26A5	7	102493177	103586654	0.0654	rs11768467	-2.98	rs1476678	 0.061054	  6.41	 0.8110	394	  1	top1	0.061	3.8e-15	 0.8110	0.41737
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CHCHD2_1Mwindow.wgt.RDat	CHCHD2	7	55669266	56674169	0.0298	rs816396	 2.55	rs2304376	 0.016422	  5.22	 0.1650	273	  1	top1	0.016	3.8e-05	 0.1650	0.86894
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZP3_1Mwindow.wgt.RDat	ZP3	7	75526839	76571386	0.0983	rs10273087	-2.42	rs13232187	 0.027233	  7.01	-1.1869	207	  2	enet	0.053	2.5e-13	 0.2780	0.78098
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CCZ1B_1Mwindow.wgt.RDat	CCZ1B	7	6338568	7365906	0.1465	rs2689420	 3.03	rs10242703	 0.112823	 -9.59	-0.2210	370	  2	lasso	0.11	3.2e-27	 1.3696	0.17081
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZDHHC4_1Mwindow.wgt.RDat	ZDHHC4	7	6117085	7129005	0.0294	rs11762792	 3.58	rs12055961	-0.000768	  3.52	-1.1310	262	262	blup	0.0066	0.0067	-0.7551	0.45022
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STMP1_1Mwindow.wgt.RDat	STMP1	7	134847262	135861164	0.0354	rs17168271	-4.12	rs9801253	 0.016540	  3.28	 0.7370	453	  1	top1	0.017	3.5e-05	 0.7370	0.46112
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FGL2_1Mwindow.wgt.RDat	FGL2	7	76322686	77329136	0.0884	rs10273087	-2.42	rs3093273	 0.055226	  7.43	-0.1560	291	  1	top1	0.055	7.8e-14	-0.1560	0.87603
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SEM1_1Mwindow.wgt.RDat	SEM1	7	95610938	96839158	0.0444	rs1474383	 3.15	rs12216616	 0.001305	  4.51	 0.5430	468	  4	enet	0.0015	0.12	 0.4709	0.63773
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRG-AS1_1Mwindow.wgt.RDat	TRG-AS1	7	37881178	38918238	0.0595	rs940347	-3.34	rs2080284	 0.031460	  6.30	-0.3480	630	630	blup	0.043	4.2e-11	-0.4102	0.68167
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.COG5_1Mwindow.wgt.RDat	COG5	7	106341817	107704365	0.0271	rs17153527	 2.77	rs2237678	 0.012390	  4.60	-0.6910	483	483	blup	0.019	8.7e-06	-0.0203	0.98382
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZC3HAV1_1Mwindow.wgt.RDat	ZC3HAV1	7	138228261	139294466	0.1040	rs4732334	-3.00	rs7803490	 0.066472	  8.50	-0.0540	416	  1	top1	0.066	2.2e-16	-0.0540	0.95694
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZFAND2A-DT_1Mwindow.wgt.RDat	ZFAND2A-DT	7	700010	1705594	0.0289	rs10278051	-2.89	rs2949192	 0.016688	  5.11	 1.2190	359	  1	top1	0.017	3.3e-05	 1.2190	0.22284
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC00174_1Mwindow.wgt.RDat	LINC00174	7	65341031	66365395	0.0228	rs10081172	-2.16	rs7811214	 0.010472	  4.46	 1.2700	132	  1	top1	0.01	0.00083	 1.2700	0.20408
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.UPK3BL1_1Mwindow.wgt.RDat	UPK3BL1	7	101777472	102783238	0.1361	rs3087658	 2.38	rs4729791	 0.064769	  4.86	-0.4370	118	  1	top1	0.065	5.4e-16	-0.4370	0.66211
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.WDR86_1Mwindow.wgt.RDat	WDR86	7	150578210	151607798	0.0658	rs2299962	 2.92	rs12539880	 0.026535	  6.51	-0.5820	521	  3	enet	0.029	5.2e-08	-1.3833	0.16658
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.WDR86-AS1_1Mwindow.wgt.RDat	WDR86-AS1	7	150606247	151610440	0.0519	rs2299962	 2.92	rs12539880	 0.001331	  4.49	-0.5820	504	504	blup	0.0043	0.024	-1.2580	0.20839
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PTPRN2_1Mwindow.wgt.RDat	PTPRN2	7	156831750	158880515	0.0423	rs2008341	-2.96	rs221277	 0.021840	  6.23	 0.0850	896	  1	lasso	0.027	2.1e-07	 0.0850	0.93226
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.COL1A2-AS1_1Mwindow.wgt.RDat	COL1A2-AS1	7	93496524	94521504	0.6882	rs1159548	 2.55	rs10262056	 0.004384	  5.89	-0.7980	336	  1	lasso	0.005	0.016	 1.0510	0.29326
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CRYGN_1Mwindow.wgt.RDat	CRYGN	7	150625918	151637899	0.1006	rs2299962	 2.92	rs12539860	 0.056391	  8.82	-1.4690	509	  1	top1	0.056	4.3e-14	-1.4690	0.14183
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MET_1Mwindow.wgt.RDat	MET	7	115812250	116938431	0.0276	rs2178166	-2.36	rs12706090	-0.001025	  5.19	-0.5180	394	  1	top1	-0.001	0.92	-0.5180	0.60446
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CCDC146_1Mwindow.wgt.RDat	CCDC146	7	76251932	77424521	0.0500	rs10273087	-2.42	rs17544690	 0.024444	 -5.94	 0.0940	326	326	blup	0.025	3.6e-07	 0.1884	0.85060
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FIGNL1_1Mwindow.wgt.RDat	FIGNL1	7	50011831	51018048	0.0439	rs2282930	 4.38	rs6964823	 0.045929	  6.43	-2.3360	489	  1	top1	0.046	9.7e-12	-2.3360	0.01949
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.POLR2J2_1Mwindow.wgt.RDat	POLR2J2	7	101806493	102812110	0.0639	rs11768467	-2.98	rs2410988	 0.027880	  3.72	 0.4480	114	  1	top1	0.028	1e-07	 0.4480	0.65415
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.COA1_1Mwindow.wgt.RDat	COA1	7	43148056	44269122	0.0323	rs10215311	 3.43	rs2330918	 0.028514	  6.18	-2.7120	486	  2	lasso	0.029	5.8e-08	-2.6610	0.00779
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FIS1_1Mwindow.wgt.RDat	FIS1	7	100382753	101388362	0.0311	rs6465819	-3.51	rs10265206	 0.005817	 -4.86	 1.5490	362	  1	top1	0.0058	0.01	-1.5490	0.12138
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LSM8_1Mwindow.wgt.RDat	LSM8	7	117324218	118344089	0.0287	rs1721227	-2.21	rs41908	 0.018656	  4.82	 0.3010	341	  1	top1	0.019	1.2e-05	 0.3010	0.76341
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GSTK1_1Mwindow.wgt.RDat	GSTK1	7	142460534	143466208	0.0440	rs6951048	-2.85	rs1404635	 0.006300	 -4.31	 1.7540	317	317	blup	0.015	8.6e-05	-0.0675	0.94620
