PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.NBL1_1Mwindow.wgt.RDat	NBL1	1	19469723	20484945	0.1242	rs10917240	-3.23	rs10917493	 3.44e-02	 -4.60	-2.4306	516	516	blup	0.037	1.6e-09	 3.2143	1.31e-03
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MDS2_1Mwindow.wgt.RDat	MDS2	1	23453824	24467058	0.0453	rs4649111	-2.14	rs34570472	 9.83e-03	  4.60	-0.5000	326	326	blup	0.02	8.4e-06	 0.6857	4.93e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEM4_1Mwindow.wgt.RDat	THEM4	1	151343342	152381987	0.0354	rs11204897	-2.93	rs13320	 1.76e-02	 -4.96	 1.4962	334	1	top1	0.018	2.5e-05	-1.4962	1.35e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0134	rs7548279	-3.10	rs4908398	 9.90e-03	 -4.37	 2.2553	310	1	top1	0.0099	0.0012	-2.2553	2.41e-02
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ANGPTL1_1Mwindow.wgt.RDat	ANGPTL1	1	178318670	179340212	1.0	rs16854006	 2.89	rs12083856	-1.05e-03	  8.16	 1.0913	416	1	top1	-0.001	0.92	 1.0913	2.75e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ZNF644_1Mwindow.wgt.RDat	ZNF644	1	90880861	91987592	0.0312	rs12726261	-2.81	rs1034499	 4.03e-05	  3.26	-0.3930	442	442	blup	0.0069	0.0059	 0.3857	7.00e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.045	rs420033	 3.64	rs7514853	 2.58e-03	  3.77	 0.9518	566	566	blup	0.011	0.00056	 0.7861	4.32e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LINC01354_1Mwindow.wgt.RDat	LINC01354	1	234163637	235167525	0.0838		   NA		       NA	    NA	     NA	0	0	lasso	0.002	0.091	     NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SLC35D1_1Mwindow.wgt.RDat	SLC35D1	1	66965033	68019831	0.0268	rs1338188	 3.13	rs4655625	-1.04e-03	  3.40	 0.9454	547	547	blup	0.01	0.0011	 1.5969	1.10e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.0694	rs6537837	 2.83	rs2239892	 1.81e-02	  4.63	 0.4637	429	1	lasso	0.027	2e-07	 0.4637	6.43e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0725		   NA		       NA	    NA	     NA	0	0	lasso	0.06	9.6e-15	     NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.0877	rs7523070	 2.86	rs6679432	 6.17e-02	 -7.74	-0.4847	224	7	enet	0.072	3e-17	 2.0292	4.24e-02
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.C1orf52_1Mwindow.wgt.RDat	C1orf52	1	85215636	86225345	0.0287	rs9658586	 3.03	rs817387	-9.33e-04	 -3.31	 0.5033	561	561	blup	0.0081	0.0032	 0.4387	6.61e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CLDN19_1Mwindow.wgt.RDat	CLDN19	1	42698764	43705907	0.0643	rs594389	-2.66	rs2453410	-9.94e-04	  4.83	-1.4640	395	1	top1	-0.00099	0.81	-1.4640	1.43e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.USF1_1Mwindow.wgt.RDat	USF1	1	160509041	161515767	0.0324	rs2502806	 3.47	rs1023115	 5.54e-03	  5.01	-1.7746	430	2	enet	0.018	1.8e-05	-1.3145	1.89e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SDF4_1Mwindow.wgt.RDat	SDF4	1	652311	1667381	0.0256	rs4648786	-3.29	rs3753349	 2.29e-03	 -3.50	-1.1179	147	147	blup	0.0086	0.0024	 1.4373	1.51e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CCDC18-AS1_1Mwindow.wgt.RDat	CCDC18-AS1	1	93275666	94311368	0.0311	rs11164855	 2.20	rs546	 1.59e-02	 -5.44	-1.2727	310	310	blup	0.017	2.6e-05	 0.5832	5.60e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MTARC2_1Mwindow.wgt.RDat	MTARC2	1	220421664	221458157	0.0731		   NA		       NA	    NA	     NA	0	0	lasso	0.0078	0.0038	     NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.DFFB_1Mwindow.wgt.RDat	DFFB	1	3274040	4301993	0.0303	rs2995006	-2.36	rs7535775	-5.84e-04	 -3.50	-0.5066	385	385	blup	0.0029	0.054	 0.0842	9.33e-01
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SLFNL1_1Mwindow.wgt.RDat	SLFNL1	1	40981269	41987397	0.0648		   NA		       NA	    NA	     NA	0	0	enet	0.0021	0.083	     NA	      NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SLC16A4_1Mwindow.wgt.RDat	SLC16A4	1	110405479	111433648	0.0362	rs420033	 3.64	rs4839342	-6.95e-04	  3.74	-0.8393	548	548	blup	0.0027	0.06	-0.2245	8.22e-01
