PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PAX9_1Mwindow.wgt.RDat	PAX9	14	36626773	37648567	0.07389	rs12883863	 4.80	rs7159241	-0.001034	 5.13	-0.0912	532	532	blup	4e-04	0.24	-0.3823	7.02e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHV3-23_1Mwindow.wgt.RDat	IGHV3-23	14	106225199	107225654	0.00923	rs8016203	 1.74	rs1024350	 0.007830	-3.34	 1.3945	 20	  1	enet	0.012	4e-04	-1.0834	2.79e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHG1_1Mwindow.wgt.RDat	IGHG1	14	105707810	106709407	0.03243	rs10142224	-1.64	rs8021330	 0.000743	-3.57	 0.0430	 39	 39	blup	0.0071	0.0051	-0.5204	6.03e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.L3HYPDH_1Mwindow.wgt.RDat	L3HYPDH	14	59439324	60451126	0.01943	rs10134316	 3.47	rs1262135	 0.013374	-4.49	 1.5672	464	  1	lasso	0.013	0.00019	-1.5672	1.17e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.POLE2_1Mwindow.wgt.RDat	POLE2	14	49610273	50654932	0.03945	rs17121925	-2.57	rs6572597	 0.010293	 3.94	 0.2142	375	  1	top1	0.01	0.00094	 0.2142	8.30e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHV3-48_1Mwindow.wgt.RDat	IGHV3-48	14	106493812	107494267	0.06126	rs7144404	 1.93	rs7145254	 0.001145	-2.10	 1.3623	 36	  1	top1	0.0011	0.15	-1.3623	1.73e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MIR4307HG_1Mwindow.wgt.RDat	MIR4307HG	14	26842339	27883949	0.02393	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.076	1.4e-18	     NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ZFP36L1_1Mwindow.wgt.RDat	ZFP36L1	14	68754372	69762960	0.02497	rs9323508	-4.96	rs4902647	 0.003004	 3.84	-0.8322	618	618	blup	0.0051	0.015	-0.7476	4.55e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02325_1Mwindow.wgt.RDat	LINC02325	14	97425153	98547720	0.03786	rs733325	-3.82	rs8017053	-0.000634	 4.02	-0.1321	528	  1	top1	-0.00063	0.53	-0.1321	8.95e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CCDC175_1Mwindow.wgt.RDat	CCDC175	14	59471785	60543530	0.04398	rs10134316	 3.47	rs10483718	-0.001033	 4.66	 2.4930	465	  1	top1	-0.001	0.93	 2.4930	1.27e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.WARS1_1Mwindow.wgt.RDat	WARS1	14	100300127	101342664	0.10430	rs4905994	-7.98	rs941931	 0.112382	10.64	-3.4901	429	  1	top1	0.11	6.1e-27	-3.4901	4.83e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.IGHV1-58_1Mwindow.wgt.RDat	IGHV1-58	14	106578371	107578808	0.01332	rs7144404	 1.93	rs7144404	-0.000728	 3.25	 1.9308	 36	  2	lasso	-0.00025	0.38	 1.9677	4.91e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.OR10G3_1Mwindow.wgt.RDat	OR10G3	14	21536651	22548210	0.02580	rs4982408	 4.11	rs7141803	-0.000929	 4.01	-0.2290	497	497	blup	0.0029	0.052	 1.7660	7.74e-02
