PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.CAPN12_1Mwindow.wgt.RDat	CAPN12	19	38720832	39735114	0.0281	rs16972767	 4.12	rs35335944	 2.55e-02	 -5.05	-2.5546	401	  1	top1	0.026	3.5e-07	 2.5546	0.01063
B_memory	RA_only/B_memory_5pcs_all/B_memory.HIF3A_1Mwindow.wgt.RDat	HIF3A	19	46300299	47346690	0.1094	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.00099	0.84	     NA	     NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.FCHO1_1Mwindow.wgt.RDat	FCHO1	19	17358553	18399370	0.0331	rs11666281	 3.44	rs12979056	 1.06e-06	 -3.04	 1.0811	406	406	blup	0.007	0.0054	-0.4787	0.63217
B_memory	RA_only/B_memory_5pcs_all/B_memory.DPP9-AS1_1Mwindow.wgt.RDat	DPP9-AS1	19	4179294	5185960	0.0815	rs16992406	 5.16	rs10420817	-9.62e-04	  3.57	-0.6653	364	364	blup	-0.00091	0.73	 2.3101	0.02088
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS5_1Mwindow.wgt.RDat	RPS5	19	58398636	59406171	0.1274	rs11670864	-4.58	rs731835	 1.07e-01	-10.66	-2.2208	290	  4	enet	0.11	7e-27	 1.8546	0.06365
B_memory	RA_only/B_memory_5pcs_all/B_memory.CFD_1Mwindow.wgt.RDat	CFD	19	359664	1363641	0.0778	rs3787012	-4.30	rs1683591	 5.05e-02	  7.42	-0.9790	378	  1	lasso	0.054	1.9e-13	-0.7380	0.46051
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZBTB32_1Mwindow.wgt.RDat	ZBTB32	19	35695460	36707940	0.0391	rs11671613	 6.00	rs231237	 4.19e-03	 -4.13	-1.5852	418	418	blup	0.013	0.00022	 2.7896	0.00528
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZNF83_1Mwindow.wgt.RDat	ZNF83	19	52615630	53693749	0.0818	rs162120	 3.20	rs10401904	 4.15e-02	 -6.30	 0.0586	434	  1	top1	0.042	9.7e-11	-0.0586	0.95327
B_memory	RA_only/B_memory_5pcs_all/B_memory.HSD17B14_1Mwindow.wgt.RDat	HSD17B14	19	48816275	49839748	0.0269	rs676388	 8.96	rs8110220	 1.41e-02	 -4.77	-0.2115	396	  1	top1	0.014	0.00013	 0.2115	0.83250
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZNF415_1Mwindow.wgt.RDat	ZNF415	19	53111132	54136163	0.0401	rs2617688	-3.27	rs8101712	-1.02e-03	  3.58	 1.3778	415	415	blup	0.0057	0.011	 0.4446	0.65658
