PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CATSPERB_1Mwindow.wgt.RDat	CATSPERB	14	91547042	92698430	0.0549	rs1951244	-5.41	rs7150509	-0.001003	 6.72	-0.860	483	  3	lasso	-0.00077	0.59	-1.036	3.00e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.WARS1_1Mwindow.wgt.RDat	WARS1	14	100300127	101342664	0.0226	rs10146962	-5.97	rs10140406	 0.008069	-4.13	 3.011	429	429	blup	0.014	0.00023	-1.662	9.65e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LGMN_1Mwindow.wgt.RDat	LGMN	14	92670154	93714972	0.0614	rs749647	 3.65	rs2250672	 0.017898	-5.34	-0.690	548	  1	top1	0.018	2.6e-05	 0.690	4.90e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IGHV3-74_1Mwindow.wgt.RDat	IGHV3-74	14	106718674	107719129	0.9961	rs988132	-2.31	rs10136887	-0.000934	 3.28	 0.319	 36	 36	blup	-0.00054	0.48	-1.192	2.33e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.MARK3_1Mwindow.wgt.RDat	MARK3	14	103351752	104470168	0.0319	rs12885878	-8.46	rs8020912	 0.001635	 3.81	-4.051	385	385	blup	0.011	0.00087	-3.497	4.71e-04
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PAX9_1Mwindow.wgt.RDat	PAX9	14	36626773	37648567	0.0546	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.15	9.8e-34	    NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CEP170B_1Mwindow.wgt.RDat	CEP170B	14	104831605	105863084	0.0464	rs3825762	 7.66	rs2494739	-0.000223	 3.97	 2.183	323	323	blup	0.0063	0.009	 4.142	3.45e-05
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CIDEB_1Mwindow.wgt.RDat	CIDEB	14	24274393	25280641	0.0229	rs6573778	 5.11	rs11622527	 0.002614	-3.87	-1.058	497	497	blup	0.0063	0.009	 0.589	5.56e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PLEKHH1_1Mwindow.wgt.RDat	PLEKHH1	14	67500007	68556329	0.0193	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	-0.00052	0.47	    NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC02313_1Mwindow.wgt.RDat	LINC02313	14	31914059	32919500	0.4478	rs17409242	 2.90	rs2031106	-0.001077	 3.74	-1.103	418	418	blup	-0.0011	0.95	-0.778	4.37e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RPPH1_1Mwindow.wgt.RDat	RPPH1	14	20311230	21311570	0.0569	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.043	1.2e-10	    NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SYT16_1Mwindow.wgt.RDat	SYT16	14	61778880	63079268	0.0542	rs2296274	 4.05	rs17099807	-0.001059	 5.87	-0.440	655	  1	top1	-0.0011	0.89	-0.440	6.60e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC24A4_1Mwindow.wgt.RDat	SLC24A4	14	92288925	93467825	0.0899	rs749647	 3.65	rs11623883	 0.014338	 5.98	 0.189	636	  2	lasso	0.033	1.8e-08	 0.189	8.50e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LRRC74A_1Mwindow.wgt.RDat	LRRC74A	14	76792751	77836647	0.0627	rs2363640	 4.58	rs419630	 0.004322	 5.23	 1.768	541	  1	lasso	0.016	7.6e-05	 1.768	7.71e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NUDT14_1Mwindow.wgt.RDat	NUDT14	14	105139276	106147649	0.0527	rs3825762	 7.66	rs2072675	 0.026191	-5.02	 1.555	231	  1	top1	0.026	4.3e-07	-1.555	1.20e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CTSG_1Mwindow.wgt.RDat	CTSG	14	24542724	25545456	0.2284	rs6573778	 5.11	rs12878578	 0.173546	13.44	-1.254	592	  7	enet	0.18	1.5e-42	-1.169	2.42e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RNASE4_1Mwindow.wgt.RDat	RNASE4	14	20652719	21669375	0.0685	rs4982397	-5.06	rs1010461	 0.020865	-6.70	 1.762	611	  4	lasso	0.033	1.5e-08	 0.154	8.77e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RNASE2_1Mwindow.wgt.RDat	RNASE2	14	20923646	21924595	0.0438	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.023	1.7e-06	    NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.EGILA_1Mwindow.wgt.RDat	EGILA	14	20661639	21675100	0.0701	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.011	8e-04	    NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.VASH1_1Mwindow.wgt.RDat	VASH1	14	76727811	77749358	0.0849	rs11847091	 3.96	rs10483877	 0.049561	 7.94	 1.440	525	  5	enet	0.068	4.4e-16	 0.398	6.90e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GPR65_1Mwindow.wgt.RDat	GPR65	14	87971479	88981155	0.0228	rs4904448	-3.75	rs7157457	 0.014740	 4.24	 1.311	460	  1	top1	0.015	0.00012	 1.311	1.90e-01
