PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SNX33_1Mwindow.wgt.RDat	SNX33	15	75440253	76454642	0.0165	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0028	0.06	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SLC12A1_1Mwindow.wgt.RDat	SLC12A1	15	47998499	49096275	0.0963	rs8040348	-3.63	rs560918	-0.001094	  4.71	-0.453	373	  1	top1	-0.0011	0.91	-0.453	0.650
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CPEB1_1Mwindow.wgt.RDat	CPEB1	15	82711951	83817546	0.0652	rs17841171	-4.11	rs8032281	-0.001062	  5.69	-0.548	214	214	blup	-0.00093	0.69	 0.456	0.648
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ANPEP_1Mwindow.wgt.RDat	ANPEP	15	89828126	90858084	0.1807	rs7173873	-4.01	rs11073891	 0.113670	-10.25	 0.961	374	  1	top1	0.11	1.2e-25	-0.961	0.337
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MAPK6-DT_1Mwindow.wgt.RDat	MAPK6-DT	15	51803196	52811292	0.0613	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.00073	0.56	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TYRO3_1Mwindow.wgt.RDat	TYRO3	15	41351410	42375787	0.0243	rs4924588	 2.74	rs16971834	-0.000989	  3.64	-2.096	387	387	blup	0.0013	0.14	 0.935	0.350
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CPEB1-AS1_1Mwindow.wgt.RDat	CPEB1-AS1	15	82816521	83861572	0.0303	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.06	5.2e-14	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RPS17_1Mwindow.wgt.RDat	RPS17	15	82705501	83709208	0.0203	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.024	1.7e-06	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PCLAF_1Mwindow.wgt.RDat	PCLAF	15	64156503	65179886	0.0207	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0071	0.0066	    NA	   NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GOLGA8M_1Mwindow.wgt.RDat	GOLGA8M	15	28443729	29457567	0.0564	rs3751558	-2.81	rs17680945	-0.001047	  5.52	-1.851	108	  1	lasso	-9e-04	0.66	-0.251	0.802
