PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MAP2K1_1Mwindow.wgt.RDat	MAP2K1	15	66179250	67283882	0.0709	rs2439383	-3.83	rs14303	 0.054696	 -7.32	 0.3352	577	  1	top1	0.055	1e-13	-0.3352	7.37e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPG21_1Mwindow.wgt.RDat	SPG21	15	64755363	65782252	0.0248	rs3928450	-4.33	rs4128936	 0.023176	 -5.47	-4.1437	286	  1	top1	0.023	1.1e-06	 4.1437	3.42e-05
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.OIP5-AS1_1Mwindow.wgt.RDat	OIP5-AS1	15	41074895	42105536	0.0493	rs28374715	-5.15	rs8032838	 0.047002	 -7.44	-4.6801	280	  1	top1	0.047	5.4e-12	 4.6801	2.87e-06
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GOLGA6L9_1Mwindow.wgt.RDat	GOLGA6L9	15	82222021	83231353	0.0403	rs12324262	 2.50	rs12438678	 0.003831	 -3.77	 1.1261	192	192	blup	0.02	7.5e-06	-1.5564	1.20e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NIPA2_1Mwindow.wgt.RDat	NIPA2	15	22504684	23534402	0.0216	rs3785	 2.52	rs7177395	-0.000648	  3.75	 1.1266	 68	 68	blup	0.0077	0.0035	 0.5887	5.56e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.UACA_1Mwindow.wgt.RDat	UACA	15	70446893	71555897	0.0604	rs2004851	 3.84	rs16954807	 0.038771	  6.32	-0.7945	429	  1	top1	0.039	3.8e-10	-0.7945	4.27e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ZSCAN29_1Mwindow.wgt.RDat	ZSCAN29	15	43150373	44163241	0.0167	rs9652444	-2.10	rs3087657	 0.002722	 -3.75	-1.0997	200	200	blup	0.0097	0.0012	 1.2286	2.19e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HDGFL3_1Mwindow.wgt.RDat	HDGFL3	15	83296505	84376575	0.0885	rs12900490	 2.70	rs17158080	 0.067052	  9.27	 0.9981	387	  6	lasso	0.1	4e-25	 0.5986	5.49e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TLNRD1_1Mwindow.wgt.RDat	TLNRD1	15	80793264	81798129	0.0299	rs6495530	 3.55	rs9630440	-0.000986	 -3.65	-0.4236	417	417	blup	0.0062	0.0079	-0.9713	3.31e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.C15orf61_1Mwindow.wgt.RDat	C15orf61	15	67313469	68322484	0.0433	rs16951524	-3.62	rs16951006	 0.017580	 -5.61	-1.4989	422	422	blup	0.033	5.8e-09	 0.3902	6.96e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ISG20_1Mwindow.wgt.RDat	ISG20	15	88678863	89699714	0.1150	rs2289440	 4.08	rs6496512	 0.034730	  7.12	-1.0786	433	 11	enet	0.061	3e-15	 0.3889	6.97e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.APBA2_1Mwindow.wgt.RDat	APBA2	15	28631120	29910518	0.0714	rs17682832	-3.11	rs17748747	 0.027658	  6.07	-1.0257	316	316	blup	0.043	3.6e-11	-1.5025	1.33e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GOLGA8B_1Mwindow.wgt.RDat	GOLGA8B	15	34317296	35375852	0.1805	rs16959966	 2.86	rs8041207	 0.115199	-10.92	-0.4302	337	  2	lasso	0.12	5.5e-29	-0.1733	8.62e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PRTG_1Mwindow.wgt.RDat	PRTG	15	55403742	56535350	0.0203	rs7183943	 2.63	rs11855490	 0.005936	  5.30	-1.5563	431	  1	lasso	0.0069	0.0055	-1.5563	1.20e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MORF4L1_1Mwindow.wgt.RDat	MORF4L1	15	78665232	79690481	0.0648	rs11639224	 3.75	rs12438191	 0.028670	 -5.53	-0.9132	412	412	blup	0.036	1.7e-09	-0.3575	7.21e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IQCH-AS1_1Mwindow.wgt.RDat	IQCH-AS1	15	67195949	68314182	0.0323	rs16951524	-3.62	rs8027115	 0.020046	 -5.32	-0.6780	519	  1	top1	0.02	5.7e-06	 0.6780	4.98e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MTHFS_1Mwindow.wgt.RDat	MTHFS	15	79635889	80689627	0.0484	rs770144	 2.34	rs7166315	 0.005436	 -4.65	 0.2083	596	  3	enet	0.017	3.4e-05	-0.7962	4.26e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GABPB1-AS1_1Mwindow.wgt.RDat	GABPB1-AS1	15	50146371	51150509	0.5424	rs11630203	-3.47	rs12903381	 0.617357	 24.60	 0.8763	422	  5	enet	0.64	3.5e-214	 0.8814	3.78e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.USP8_1Mwindow.wgt.RDat	USP8	15	50216602	51306618	0.0311	rs11070815	-4.29	rs3098204	 0.016456	  5.07	-0.5103	433	  4	enet	0.023	9.9e-07	-0.5062	6.13e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SAXO2_1Mwindow.wgt.RDat	SAXO2	15	82055159	83077268	0.1735	rs12324262	 2.50	rs12439679	 0.213578	 14.41	 1.2873	242	  1	top1	0.21	1.2e-52	 1.2873	1.98e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SCAPER_1Mwindow.wgt.RDat	SCAPER	15	76140245	77697681	0.0263	rs2469534	 4.51	rs7181506	 0.047740	  6.62	 1.5408	376	  1	top1	0.048	3.7e-12	 1.5408	1.23e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ANXA2_1Mwindow.wgt.RDat	ANXA2	15	60139350	61190185	0.0449	rs339969	11.87	rs12440452	 0.033038	  6.40	 1.7984	543	  3	enet	0.042	8.3e-11	 2.0545	3.99e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CCDC32_1Mwindow.wgt.RDat	CCDC32	15	40313192	41357241	0.0231	rs12101934	-4.78	rs9672313	-0.000564	  3.71	 0.2828	346	346	blup	0.0061	0.0085	-1.7635	7.78e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LRRC57_1Mwindow.wgt.RDat	LRRC57	15	42330027	43340991	0.0233	rs17767270	-4.21	rs17709596	 0.006908	  4.97	-3.5088	280	280	blup	0.011	0.00057	-3.3520	8.02e-04
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CSPG4_1Mwindow.wgt.RDat	CSPG4	15	75466663	76505189	0.0468	rs7166281	-4.70	rs34838371	-0.000821	  4.33	-3.6031	233	  1	top1	-0.00082	0.65	-3.6031	3.14e-04
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ADAM10_1Mwindow.wgt.RDat	ADAM10	15	58381008	59541906	0.0645	rs1869142	-4.05	rs11631312	 0.083126	  6.56	-1.5765	573	  1	top1	0.083	3.2e-20	-1.5765	1.15e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ACTC1_1Mwindow.wgt.RDat	ACTC1	15	34582431	35587750	0.0509	rs16959966	 2.86	rs7180251	-0.001001	  6.66	-0.5580	355	355	blup	-0.00098	0.82	-1.3766	1.69e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYZAP_1Mwindow.wgt.RDat	MYZAP	15	57384102	58477562	0.0461	rs7179813	-4.05	rs4774966	 0.031529	  4.35	-1.8431	655	  1	enet	0.041	1e-10	-1.2926	1.96e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYO5C_1Mwindow.wgt.RDat	MYO5C	15	51984519	53088001	0.0412	rs12917133	 4.03	rs8040562	 0.023654	  5.16	 0.5796	413	  1	top1	0.024	9e-07	 0.5796	5.62e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GOLGA6L4_1Mwindow.wgt.RDat	GOLGA6L4	15	84404525	85414110	0.0202	rs12910413	-2.62	rs11633606	 0.000635	  4.22	-1.8222	258	258	blup	0.0042	0.025	-1.9355	5.29e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYEF2_1Mwindow.wgt.RDat	MYEF2	15	47926829	48970492	0.0195	rs1878187	 2.77	rs4775754	-0.000969	 -3.55	 0.7365	369	369	blup	0.005	0.015	-0.7968	4.26e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FMN1_1Mwindow.wgt.RDat	FMN1	15	32557745	33986915	0.6200	rs12915737	-3.38	rs345767	 0.689676	 25.96	 0.6067	783	  4	enet	0.7	8.8e-254	 0.6412	5.21e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RPS17_1Mwindow.wgt.RDat	RPS17	15	82705501	83709208	0.3228	rs12910606	 2.44	rs803686	 0.436671	-20.85	-1.6374	183	  3	enet	0.45	2e-127	 1.6396	1.01e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FOXB1_1Mwindow.wgt.RDat	FOXB1	15	59796510	60799643	0.0385	rs7180766	 3.86	rs12595347	 0.025377	 -4.97	-1.1663	425	  1	top1	0.025	3.7e-07	 1.1663	2.43e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IDH2_1Mwindow.wgt.RDat	IDH2	15	90126277	91145700	0.0406	rs11073900	-4.60	rs4561444	 0.024613	  5.78	-4.5106	413	  1	top1	0.025	5.5e-07	-4.5106	6.46e-06
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EMC7_1Mwindow.wgt.RDat	EMC7	15	33876218	34894063	0.0233	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.033	8.5e-09	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LIPC_1Mwindow.wgt.RDat	LIPC	15	58224190	59362043	0.2183	rs1869142	-4.05	rs7182229	 0.097935	  8.69	-1.6753	561	  1	enet	0.11	4e-27	-1.3076	1.91e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IL16_1Mwindow.wgt.RDat	IL16	15	80989220	82106399	0.0425	rs6495530	 3.55	rs8039027	 0.017617	 -5.16	 0.2750	426	426	blup	0.023	1.2e-06	 0.6620	5.08e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DUOX1_1Mwindow.wgt.RDat	DUOX1	15	44922192	45957772	0.0718	rs8029246	 3.49	rs16939752	 0.034984	 -5.93	 0.7424	308	  3	lasso	0.049	2.4e-12	-0.7427	4.58e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.STRC_1Mwindow.wgt.RDat	STRC	15	43391761	44410998	0.0522	rs4270152	-4.62	rs16957511	 0.002193	  4.52	-0.3942	220	220	blup	0.0084	0.0025	-2.1064	3.52e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ATP10A_1Mwindow.wgt.RDat	ATP10A	15	25423859	26608474	0.1356	rs4906958	 3.58	rs1345098	 0.093252	  9.95	 0.5858	582	  2	lasso	0.1	1.7e-24	 0.3849	7.00e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FAN1_1Mwindow.wgt.RDat	FAN1	15	30696055	31735311	0.0256	rs9920314	-4.19	rs2959039	 0.001734	 -3.19	-1.9245	318	318	blup	0.0059	0.0095	 0.2789	7.80e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FAM98B_1Mwindow.wgt.RDat	FAM98B	15	38246328	39279911	0.0350	rs4412937	 3.32	rs8036878	 0.031356	  5.63	-1.2219	484	  1	top1	0.031	1.7e-08	-1.2219	2.22e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MPI_1Mwindow.wgt.RDat	MPI	15	74682383	75694560	0.0311	rs2470893	 5.24	rs11072511	 0.004024	 -5.13	-3.3662	258	258	blup	0.017	2.8e-05	 1.2097	2.26e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PSTPIP1_1Mwindow.wgt.RDat	PSTPIP1	15	76787021	77829816	0.1321	rs2469205	 3.93	rs2044453	 0.112450	  8.51	-2.7804	219	  3	lasso	0.13	2.3e-30	-2.5656	1.03e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NMB_1Mwindow.wgt.RDat	NMB	15	84698363	85701430	0.0226	rs1606119	-4.20	rs35524990	 0.008048	 -4.49	 1.3320	381	381	blup	0.01	0.00085	 0.3618	7.17e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.POLR2M_1Mwindow.wgt.RDat	POLR2M	15	57498912	58509755	0.0470	rs7179813	-4.05	rs8042677	 0.011365	  4.17	 1.5106	657	  1	lasso	0.012	0.00048	 1.5106	1.31e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TMED3_1Mwindow.wgt.RDat	TMED3	15	79103454	80206228	0.0320	rs12914320	 2.60	rs17265891	-0.000917	 -3.98	 1.4642	625	625	blup	0.0084	0.0024	-1.5086	1.31e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ANKDD1A_1Mwindow.wgt.RDat	ANKDD1A	15	64704101	65751033	0.2642	rs3928450	-4.33	rs1719273	 0.363370	 18.82	 3.3805	289	  1	top1	0.36	3.9e-97	 3.3805	7.24e-04
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GOLGA6L10_1Mwindow.wgt.RDat	GOLGA6L10	15	82429674	83439197	0.0701	rs8033726	 2.40	rs4778672	 0.081820	 -9.31	 0.6184	143	  2	enet	0.094	1.1e-22	-1.2159	2.24e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RSL24D1_1Mwindow.wgt.RDat	RSL24D1	15	54973004	55989139	0.0921	rs7183943	 2.63	rs10444801	 0.051021	  7.84	-0.2019	448	  7	enet	0.12	6.8e-28	 0.3611	7.18e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GOLGA8J_1Mwindow.wgt.RDat	GOLGA8J	15	29875158	30888893	0.0303	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	-0.00062	0.53	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.WDR73_1Mwindow.wgt.RDat	WDR73	15	84682516	85697514	0.0351	rs1606119	-4.20	rs4842977	 0.026399	  6.40	 0.4138	382	  1	lasso	0.035	2.8e-09	-0.7731	4.39e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GNB5_1Mwindow.wgt.RDat	GNB5	15	51907297	52983589	0.1041	rs12917133	 4.03	rs12595160	 0.043519	 -7.20	-0.0645	388	  9	enet	0.063	1.3e-15	-0.0239	9.81e-01
