PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.WDR6_1Mwindow.wgt.RDat	WDR6	3	48544824	49553384	0.0166	rs35452137	 -5.49	rs9840684	 0.006100	 3.78	 -1.680	263	263	blup	0.0091	0.002	-1.9648	4.94e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SH3BP5_1Mwindow.wgt.RDat	SH3BP5	3	14795860	15882887	0.0366	rs11921219	  9.78	rs826428	 0.025256	 5.07	  2.640	458	  1	top1	0.025	6.8e-07	 2.6400	8.29e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IQCB1_1Mwindow.wgt.RDat	IQCB1	3	120988608	122053907	0.0258	rs7340674	 -4.17	rs1523519	 0.000716	-3.91	  1.126	430	430	blup	0.0091	0.0021	-3.6326	2.81e-04
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LIPH_1Mwindow.wgt.RDat	LIPH	3	184724050	185770376	0.0391	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0018	0.1	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CLDN1_1Mwindow.wgt.RDat	CLDN1	3	189523496	190540235	0.0301	rs710564	 -5.33	rs16865318	 0.007887	 4.60	  1.476	550	  1	top1	0.0079	0.0039	 1.4760	1.40e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC41A3_1Mwindow.wgt.RDat	SLC41A3	3	125225200	126320363	0.0415	rs16837587	 -4.11	rs6780357	 0.000204	 3.74	 -0.789	468	468	blup	0.0066	0.0077	-0.1627	8.71e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ENTPD3-AS1_1Mwindow.wgt.RDat	ENTPD3-AS1	3	39932442	40994799	0.0190	rs9871485	 -3.49	rs11718621	 0.005263	 4.16	 -0.215	312	312	blup	0.0092	0.002	 0.2318	8.17e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ULK4_1Mwindow.wgt.RDat	ULK4	3	40788090	42503595	0.0166	rs7629767	  4.89	rs17214945	 0.005764	 4.15	  4.244	629	629	blup	0.0081	0.0034	 5.0021	5.67e-07
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.MIX23_1Mwindow.wgt.RDat	MIX23	3	121578438	122602078	0.0362	rs2001212	 -4.14	rs6438726	 0.018799	 4.70	 -0.974	474	474	blup	0.022	3.4e-06	 0.3712	7.10e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ANAPC13_1Mwindow.wgt.RDat	ANAPC13	3	133696546	134704865	0.0157	rs16842042	  3.34	rs13079012	 0.011829	-4.72	 -0.075	471	  1	top1	0.012	0.00053	 0.0750	9.40e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.AZI2_1Mwindow.wgt.RDat	AZI2	3	27862538	28890315	0.0276	rs6780486	  4.61	rs17357206	 0.016328	-4.07	 -0.496	432	  1	top1	0.016	5.6e-05	 0.4960	6.20e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GPR171_1Mwindow.wgt.RDat	GPR171	3	150415619	151421003	0.0746	rs2276764	 -5.19	rs6780053	-0.001072	 3.86	  0.372	458	458	blup	0.022	2.9e-06	 0.9256	3.55e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RBM6_1Mwindow.wgt.RDat	RBM6	3	49477583	50614682	0.0321	rs1062633	  6.81	rs2518796	 0.006604	-2.87	 -4.265	362	  1	top1	0.0066	0.0076	 4.2650	2.00e-05
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CCR5AS_1Mwindow.wgt.RDat	CCR5AS	3	45906151	46948550	0.0349	rs6442037	 -6.42	rs6810232	 0.010621	 4.20	  2.346	437	  1	top1	0.011	0.00097	 2.3460	1.90e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CIP2A_1Mwindow.wgt.RDat	CIP2A	3	107768711	108808285	0.0252	rs7635063	  2.60	rs7648034	 0.017931	 4.67	 -1.080	448	  1	top1	0.018	2.5e-05	-1.0800	2.80e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SCAANT1_1Mwindow.wgt.RDat	SCAANT1	3	63397194	64397448	0.0664	rs704367	  3.39	rs2292662	 0.032815	 7.14	  2.788	574	  1	top1	0.033	1.6e-08	 2.7880	5.30e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ADGRG7_1Mwindow.wgt.RDat	ADGRG7	3	99828445	100914323	0.1293	rs11719857	 -4.98	rs7615467	 0.072463	 3.45	  0.345	459	  1	top1	0.072	4.3e-17	 0.3450	7.30e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.HACD2_1Mwindow.wgt.RDat	HACD2	3	122710401	123803900	0.0268	rs3804749	-18.69	rs3792369	-0.000630	-3.21	-18.620	367	367	blup	0.0046	0.021	13.1464	1.78e-39
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.THRB-AS1_1Mwindow.wgt.RDat	THRB-AS1	3	24035578	25041502	0.1049	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	-9e-04	0.69	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FAM43A_1Mwindow.wgt.RDat	FAM43A	3	193906612	194909766	0.0348	rs1466733	 10.42	rs813153	-0.000734	 4.18	  0.755	515	515	blup	0.0073	0.0052	-0.0837	9.33e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IFT57_1Mwindow.wgt.RDat	IFT57	3	107379659	108441271	0.0311	rs13326227	 -2.67	rs2061244	 0.010710	 4.48	  0.935	429	  1	top1	0.011	0.00093	 0.9350	3.50e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TADA3_1Mwindow.wgt.RDat	TADA3	3	9321651	10334695	0.0317	rs11927495	  3.77	rs11711241	 0.006069	 3.09	 -1.555	419	  1	top1	0.0061	0.01	-1.5550	1.20e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TIPARP-AS1_1Mwindow.wgt.RDat	TIPARP-AS1	3	155890960	156893502	0.0352	rs10936066	 -6.48	rs1367311	 0.009865	-4.89	  0.215	428	  7	enet	0.015	0.00012	-0.3911	6.96e-01
