PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RPL23A_1Mwindow.wgt.RDat	RPL23A	17	26547003	27551377	0.0270	rs9279	-15.19	rs3744638	-0.001069	-3.55	 -8.2732	303	303	blup	0.0054	0.014	 5.0872	3.63e-07
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ABCC3_1Mwindow.wgt.RDat	ABCC3	17	48212242	49269614	0.0588	NA	    NA	NA	       NA	   NA	      NA	  0	  0	enet	0.042	1.4e-10	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC01977_1Mwindow.wgt.RDat	LINC01977	17	77297251	78301503	0.0503	rs2361710	 15.44	rs1663196	-0.001052	 5.11	  1.9809	420	  1	lasso	0.16	1.6e-37	 1.9809	4.76e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CSF3_1Mwindow.wgt.RDat	CSF3	17	37671693	38674066	0.0125	NA	    NA	NA	       NA	   NA	      NA	  0	  0	lasso	0.053	7.6e-13	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RAD51C_1Mwindow.wgt.RDat	RAD51C	17	56269934	57312972	0.0398	rs2877926	  6.36	rs2877877	 0.013899	 4.77	 -6.0903	220	220	blup	0.024	1.1e-06	-5.4109	6.27e-08
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TOB1-AS1_1Mwindow.wgt.RDat	TOB1-AS1	17	48444040	49445732	0.0342	rs989128	 -6.74	rs2428684	-0.000606	-3.43	 -0.1070	386	386	blup	0.013	0.00027	 1.1998	2.30e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KCNH4_1Mwindow.wgt.RDat	KCNH4	17	39808909	40833160	0.0484	NA	    NA	NA	       NA	   NA	      NA	  0	  0	lasso	-0.00088	0.67	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TMEM220_1Mwindow.wgt.RDat	TMEM220	17	10114450	11133340	0.0372	rs9914160	  4.58	rs9898817	 0.021761	 5.46	  0.9084	479	  1	top1	0.022	3.8e-06	 0.9084	3.64e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.MYO1D_1Mwindow.wgt.RDat	MYO1D	17	30319540	31704142	0.0575	NA	    NA	NA	       NA	   NA	      NA	  0	  0	lasso	0.012	0.00049	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NME1_1Mwindow.wgt.RDat	NME1	17	48730920	49739529	0.0194	rs8066630	 -4.37	rs16949649	 0.004423	 4.07	  2.9405	412	412	blup	0.01	0.0013	 2.7618	5.75e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.AKAP10_1Mwindow.wgt.RDat	AKAP10	17	19307615	20381141	0.0290	rs7209734	 12.81	rs9899357	 0.013607	 4.30	 -8.0117	242	242	blup	0.015	8.5e-05	-7.0600	1.67e-12
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CCL3L1_1Mwindow.wgt.RDat	CCL3L1	17	34123842	35125731	0.1778	rs4795096	  9.63	rs8064426	 0.033034	-7.51	 -1.2827	287	  3	lasso	0.047	1.2e-11	 1.3136	1.89e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.B3GNTL1_1Mwindow.wgt.RDat	B3GNTL1	17	80400025	81509646	0.0318	rs9894993	 -7.19	rs9747334	 0.012163	-4.17	 -1.0715	293	293	blup	0.016	5.8e-05	 1.0559	2.91e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.MXRA7_1Mwindow.wgt.RDat	MXRA7	17	74168633	75207047	0.0999	rs445683	-13.47	rs9303003	 0.068209	 8.85	 -1.9047	469	  1	enet	0.079	1.5e-18	 0.2555	7.98e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NBR2_1Mwindow.wgt.RDat	NBR2	17	40777574	41805688	0.0219	rs9916834	 -6.21	rs9912587	 0.003581	-3.35	 -1.9607	268	268	blup	0.0089	0.0024	-2.1992	2.79e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KRT15_1Mwindow.wgt.RDat	KRT15	17	39169997	40175142	0.0483	NA	    NA	NA	       NA	   NA	      NA	  0	  0	lasso	0.02	7.9e-06	     NA	      NA
