PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0361	rs12771648	-4.05	rs2275935	 0.013051	 6.89	-3.939	432	432	blup	0.023	1.6e-06	-3.333	0.000859
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.0542	rs12570358	 3.14	rs7072230	 0.025687	 5.59	-1.288	702	  1	top1	0.026	3.4e-07	-1.288	0.197746
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SEC24C_1Mwindow.wgt.RDat	SEC24C	10	75004130	76031919	0.0219	rs11000948	-2.67	rs7909915	 0.000393	-3.04	-2.398	211	211	blup	0.01	0.0011	 1.298	0.194339
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DNAJC12_1Mwindow.wgt.RDat	DNAJC12	10	69056427	70097946	0.0215	rs9664171	-2.43	rs7068960	 0.029817	 4.15	-0.065	361	  1	top1	0.03	4.2e-08	-0.065	0.948174
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ITPRIP_1Mwindow.wgt.RDat	ITPRIP	10	105569458	106598223	0.0249	rs2297235	 2.91	rs9943297	-0.000631	 3.35	-0.342	425	425	blup	0.0081	0.003	-1.846	0.064909
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PLAC9_1Mwindow.wgt.RDat	PLAC9	10	81391417	82405115	0.0834	rs10736365	-3.77	rs7916618	 0.000412	 4.38	 0.543	401	  1	top1	0.00041	0.24	 0.543	0.587130
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ALOX5_1Mwindow.wgt.RDat	ALOX5	10	45369664	46441565	0.0335	rs3818713	 3.09	rs7079700	-0.000154	-3.31	-1.006	335	335	blup	0.003	0.05	-0.745	0.456129
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MGMT_1Mwindow.wgt.RDat	MGMT	10	130765505	132069247	0.0382	rs12247065	-2.47	rs11016847	 0.021268	-6.05	-0.216	711	  1	top1	0.021	3.3e-06	 0.216	0.828988
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ADRB1_1Mwindow.wgt.RDat	ADRB1	10	115303625	116306663	0.0862	rs12243176	-3.87	rs17776203	 0.074031	 3.71	 1.136	511	  1	top1	0.074	5e-18	 1.136	0.255957
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DPYSL4_1Mwindow.wgt.RDat	DPYSL4	10	133500452	134519263	0.0661	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.017	2.3e-05	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DLG5-AS1_1Mwindow.wgt.RDat	DLG5-AS1	10	79186570	80189583	0.0788	NA	   NA	NA	       NA	   NA	    NA	466	  0	top1	-3e-04	0.4	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0354	rs1368764	 2.34	rs2257093	 0.018187	-5.05	 0.286	496	  5	lasso	0.023	1.4e-06	-0.332	0.740042
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.FXYD4_1Mwindow.wgt.RDat	FXYD4	10	43367084	44371783	0.9978	rs2503872	-3.58	rs3814562	-0.001038	 4.44	-0.690	432	432	blup	0.00086	0.18	-0.594	0.552448
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CFAP43_1Mwindow.wgt.RDat	CFAP43	10	105389646	106492122	0.0501	rs2297235	 2.91	rs7913632	-0.000931	 6.23	-1.468	443	  1	top1	-0.00093	0.75	-1.468	0.142104
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PFKFB3_1Mwindow.wgt.RDat	PFKFB3	10	5686884	6796611	0.0512	rs17322780	 3.56	rs1409875	 0.006160	 4.89	 1.097	736	  1	top1	0.0062	0.0085	 1.097	0.272641
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TRIM8_1Mwindow.wgt.RDat	TRIM8	10	103904236	104918076	0.0244	rs10883782	-3.23	rs2274351	 0.007124	 3.89	 0.025	370	  1	top1	0.0071	0.005	 0.025	0.980055
