PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LAMB1_1Mwindow.wgt.RDat	LAMB1	7	107064244	108143606	0.1148	rs3735605	 2.59	rs2237685	 0.129543	-11.80	 0.384	528	  4	enet	0.13	2.3e-32	-0.3323	7.40e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PSPH_1Mwindow.wgt.RDat	PSPH	7	55578757	56619137	0.0540	rs9642404	 2.67	rs11982736	 0.043828	  5.68	 2.381	293	  1	top1	0.044	2.9e-11	 2.3810	1.73e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.AOAH_1Mwindow.wgt.RDat	AOAH	7	36052549	37264099	0.1343	rs17418395	-3.28	rs10275462	 0.071491	 -7.88	-0.852	725	  5	lasso	0.088	2.4e-21	 1.2732	2.03e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TRBV21-1_1Mwindow.wgt.RDat	TRBV21-1	7	141844427	142844887	0.0303	rs10271914	 2.66	rs12703489	-0.000991	  4.61	 0.290	451	451	blup	0.0033	0.041	 0.9332	3.51e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GIMAP1_1Mwindow.wgt.RDat	GIMAP1	7	149913701	150921372	0.0353	rs10807988	-3.05	rs1860871	 0.000393	 -4.24	 1.470	486	486	blup	0.0086	0.0022	-2.2120	2.70e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CPA5_1Mwindow.wgt.RDat	CPA5	7	129484656	130508571	0.1901	rs923231	 3.13	rs17164847	 0.160206	 12.78	-1.197	357	  2	lasso	0.17	5.7e-41	-1.1970	2.31e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NAMPT_1Mwindow.wgt.RDat	NAMPT	7	105388744	106425429	0.0461	rs28881	-3.27	rs734787	-0.000762	  3.50	-0.442	540	540	blup	0.0018	0.097	 0.0778	9.38e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01448_1Mwindow.wgt.RDat	LINC01448	7	42201325	43246046	0.1029	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.18	7.3e-43	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.POLR2J3_1Mwindow.wgt.RDat	POLR2J3	7	101707413	102713030	0.0339	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0096	0.0013	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ZC3HAV1_1Mwindow.wgt.RDat	ZC3HAV1	7	138228261	139294466	0.0675	rs6979610	 3.01	rs1044551	 0.060993	 -8.08	 0.595	416	  1	top1	0.061	3.9e-15	-0.5950	5.52e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GHET1_1Mwindow.wgt.RDat	GHET1	7	148184619	149186521	0.0284	rs13245584	-2.72	rs1636375	-0.000899	  3.25	-0.375	356	356	blup	0.0099	0.0011	-0.1784	8.58e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.VWDE_1Mwindow.wgt.RDat	VWDE	7	11870511	12943491	0.0200	rs12234369	 3.78	rs12699388	 0.003893	  3.75	 1.065	668	668	blup	0.0044	0.022	 1.4251	1.54e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TOMM7_1Mwindow.wgt.RDat	TOMM7	7	22352593	23362468	0.3038	rs6970420	-3.34	rs10276099	 0.354778	-18.56	-0.807	500	  1	top1	0.35	3.2e-94	 0.8070	4.20e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.POLM_1Mwindow.wgt.RDat	POLM	7	43611661	44622129	0.0193	rs7797038	 3.22	rs28745596	 0.000524	  3.55	-0.480	349	349	blup	0.0099	0.0011	-1.2002	2.30e-01
