PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ARHGAP39_1Mwindow.wgt.RDat	ARHGAP39	8	145254563	146411231	0.0416	rs12542298	 5.55	rs11988651	-0.000679	  3.72	-0.253	203	203	blup	5.8e-06	0.32	 0.1081	9.14e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC02235_1Mwindow.wgt.RDat	LINC02235	8	82254854	83335895	0.0342	rs7815272	-4.86	rs16909549	 0.001844	  4.94	-1.805	335	335	blup	0.0063	0.0079	-0.7731	4.39e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NKX3-1_1Mwindow.wgt.RDat	NKX3-1	8	23036206	24040451	0.0299	rs2280861	-6.25	rs4273857	 0.001689	  3.39	-0.440	535	535	blup	0.011	0.00052	-0.2547	7.99e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FUT10_1Mwindow.wgt.RDat	FUT10	8	32728342	33830664	0.0367	rs2676434	-2.89	rs2581896	 0.007705	  4.34	-0.878	254	254	blup	0.02	6.5e-06	-0.0819	9.35e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAM66A_1Mwindow.wgt.RDat	FAM66A	8	11719528	12768510	0.0304	rs7461062	 6.04	rs7837242	-0.000668	  5.01	 0.553	172	172	blup	-0.00054	0.49	 2.0282	4.25e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MSC-AS1_1Mwindow.wgt.RDat	MSC-AS1	8	72255358	73468547	0.0418	rs11774849	-2.41	rs3919904	 0.003714	 -4.63	-0.440	625	  4	enet	0.016	4.1e-05	 0.6393	5.23e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SAMD12_1Mwindow.wgt.RDat	SAMD12	8	118644064	120134202	0.0875	rs2465383	 3.69	rs2514602	 0.075760	  8.69	 1.555	756	  1	top1	0.076	1.7e-18	 1.5550	1.20e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NEIL2_1Mwindow.wgt.RDat	NEIL2	8	11127219	12144854	0.0258	rs10903343	 7.21	rs1293328	 0.009997	 -3.99	 4.215	458	  1	top1	0.01	0.0011	-4.2150	2.50e-05
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.XKR9_1Mwindow.wgt.RDat	XKR9	8	71081574	72148177	0.0146	rs7817760	 6.41	rs10957533	 0.016697	  4.48	-0.279	347	  1	top1	0.017	3.3e-05	-0.2790	7.80e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FZD6_1Mwindow.wgt.RDat	FZD6	8	103810722	104845094	0.0222	rs587946	-3.08	rs16870349	 0.003244	  4.18	 1.405	411	  1	top1	0.0032	0.042	 1.4050	1.60e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MYOM2_1Mwindow.wgt.RDat	MYOM2	8	1493161	2593380	0.2104	rs3758012	 4.87	rs3824183	 0.242529	 15.33	-0.674	697	  1	enet	0.27	4.2e-68	-0.8060	4.20e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.REEP4_1Mwindow.wgt.RDat	REEP4	8	21495533	22499420	0.0309	rs922810	10.28	rs12678092	 0.020815	  4.85	 4.397	435	  1	top1	0.021	3.9e-06	 4.3970	1.10e-05
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LACTB2-AS1_1Mwindow.wgt.RDat	LACTB2-AS1	8	71020812	72075514	0.0246	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.035	3e-09	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MIR124-1HG_1Mwindow.wgt.RDat	MIR124-1HG	8	9257574	10260839	0.0358	rs483916	-5.71	rs877390	 0.009563	  5.27	 0.240	609	  1	top1	0.0096	0.0013	 0.2400	8.10e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATP6V0D2_1Mwindow.wgt.RDat	ATP6V0D2	8	86611139	87666454	0.0397	rs6997770	 3.58	rs1863580	-0.000988	  5.02	-0.539	298	298	blup	-0.00064	0.54	-0.5433	5.87e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NCALD_1Mwindow.wgt.RDat	NCALD	8	102198770	103637135	0.0335	rs13249355	 6.24	rs648119	 0.007688	 -4.31	-3.216	699	699	blup	0.009	0.0019	 1.7560	7.91e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DENND3_1Mwindow.wgt.RDat	DENND3	8	141638688	142705903	0.0856	rs6999890	-8.29	rs7462379	 0.053243	  8.35	 0.628	452	  1	lasso	0.065	5.2e-16	 0.5830	5.60e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RIMS2_1Mwindow.wgt.RDat	RIMS2	8	104012838	105768322	0.0521	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0043	0.023	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAM110B_1Mwindow.wgt.RDat	FAM110B	8	58407082	59561343	0.0594	rs16922782	-3.32	rs6471703	 0.066455	  8.22	-0.789	523	  1	top1	0.066	2.2e-16	-0.7890	4.30e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MSC_1Mwindow.wgt.RDat	MSC	8	72253795	73256647	0.1088	rs11774849	-2.41	rs2035376	 0.021862	  6.51	-0.628	542	  5	lasso	0.061	3.2e-15	 0.3738	7.09e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FDFT1_1Mwindow.wgt.RDat	FDFT1	8	11153091	12196818	0.0336	rs10903343	 7.21	rs2645415	 0.000379	 -3.30	-2.765	450	450	blup	0.0024	0.068	-0.5434	5.87e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01606_1Mwindow.wgt.RDat	LINC01606	8	57630835	58645513	0.0225	rs12216730	-2.86	rs6474100	-0.000779	  5.32	-2.183	397	  1	top1	-0.00078	0.62	-2.1830	2.90e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NAPRT_1Mwindow.wgt.RDat	NAPRT	8	144156955	145160500	0.1326	rs7819099	19.33	rs10282929	 0.093983	 -9.98	-3.719	347	  1	top1	0.094	9.9e-23	 3.7190	2.00e-04
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HMBOX1_1Mwindow.wgt.RDat	HMBOX1	8	28247912	29410787	0.1255	rs10095449	-2.78	rs1487969	 0.155724	-11.10	-1.341	451	  3	lasso	0.16	4.1e-38	 1.6069	1.08e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MAF1_1Mwindow.wgt.RDat	MAF1	8	144659364	145662514	0.0324	rs7819099	19.33	rs7836836	 0.001651	 -4.08	 7.498	222	222	blup	0.0047	0.018	-6.0646	1.32e-09
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SMIM19_1Mwindow.wgt.RDat	SMIM19	8	41896291	42910338	0.0237	rs11777123	 4.05	rs2974340	 0.020520	  5.07	-2.716	212	  1	top1	0.021	4.6e-06	-2.7160	6.61e-03
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PTP4A3_1Mwindow.wgt.RDat	PTP4A3	8	141902121	142942554	0.1584	rs6999890	-8.29	rs6578177	 0.131269	 11.46	-7.875	464	  1	top1	0.13	1.3e-31	-7.8750	3.41e-15
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LRRC14_1Mwindow.wgt.RDat	LRRC14	8	145243376	146250556	0.0185	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0072	0.0048	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FGFR1_1Mwindow.wgt.RDat	FGFR1	8	37768661	38826153	0.0365	rs11997244	 4.09	rs881301	 0.023657	  5.17	-2.989	280	  1	top1	0.024	9.1e-07	-2.9890	2.80e-03
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PIP4P2_1Mwindow.wgt.RDat	PIP4P2	8	91506030	92553087	0.0257	rs1587909	 2.39	rs10111737	 0.017790	  5.29	-0.319	313	313	blup	0.021	3.4e-06	-0.0511	9.59e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CSGALNACT1_1Mwindow.wgt.RDat	CSGALNACT1	8	18761672	20115419	0.1082	rs691023	-4.95	rs4427190	 0.096675	  9.87	-1.311	919	  1	top1	0.097	2.3e-23	-1.3110	1.90e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TPD52_1Mwindow.wgt.RDat	TPD52	8	80443317	81583799	0.0710	rs1051920	 4.23	rs717340	 0.069973	  8.23	-0.100	417	  1	top1	0.07	3.5e-17	-0.1000	9.20e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MTUS1_1Mwindow.wgt.RDat	MTUS1	8	17001311	18159030	0.0364	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.014	0.00012	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FOXH1_1Mwindow.wgt.RDat	FOXH1	8	145198795	146201232	0.0174	rs6420182	 6.93	rs2722486	 0.005505	  4.58	 0.628	172	  1	top1	0.0055	0.012	 0.6280	5.30e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HHLA1_1Mwindow.wgt.RDat	HHLA1	8	132573727	133623404	0.0323	rs4736521	-3.08	rs3779968	-0.001022	  4.31	-0.454	589	  1	top1	-0.001	0.91	-0.4540	6.50e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CPQ_1Mwindow.wgt.RDat	CPQ	8	97157470	98655729	0.0524	rs1382606	 3.49	rs2651447	 0.006922	 -5.04	 1.476	616	  1	top1	0.0069	0.0055	-1.4760	1.40e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TUSC3_1Mwindow.wgt.RDat	TUSC3	8	14897596	16124158	0.0995	rs7004485	 3.38	rs1495070	 0.001738	  4.58	 0.412	927	927	blup	0.0025	0.065	 0.0954	9.24e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RPL8_1Mwindow.wgt.RDat	RPL8	8	145515154	146517775	0.1568	rs750472	 3.58	rs11784860	 0.254417	 15.11	 0.240	190	  1	top1	0.25	8e-64	 0.2400	8.10e-01
