PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LIN28B-AS1_1Mwindow.wgt.RDat	LIN28B-AS1	6	104884169	105888402	0.0486	rs13198979	-3.26	rs12206917	-0.000997	  5.85	  0.266	360	  1	lasso	-0.00057	0.5	 0.2660	7.90e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MDGA1_1Mwindow.wgt.RDat	MDGA1	6	37098455	38165659	0.1834	rs7741267	-3.19	rs6938061	 0.100097	 10.02	  0.088	463	  5	enet	0.1	2.4e-24	 1.4490	1.47e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CCR6_1Mwindow.wgt.RDat	CCR6	6	167025283	168052629	0.0210	rs6904588	 2.82	rs6907666	-0.000742	  3.90	  1.757	532	532	blup	0.0072	0.005	 1.6376	1.02e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TREML4_1Mwindow.wgt.RDat	TREML4	6	40696087	41706620	0.0697	rs9349200	13.26	rs1929794	 0.002384	  4.73	  0.896	525	525	blup	0.016	5.7e-05	-3.7004	2.15e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CEP43_1Mwindow.wgt.RDat	CEP43	6	166912885	167966206	0.0604	rs6904588	 2.82	rs637191	-0.000873	  4.04	 -0.013	615	 10	enet	0.0044	0.022	 1.1656	2.44e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0748	rs4896125	16.35	rs6908428	 0.072918	 -8.50	  1.655	432	  1	top1	0.073	9e-18	-1.6550	9.79e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CLPSL2_1Mwindow.wgt.RDat	CLPSL2	6	35244375	36247329	0.0364	rs1883636	-5.87	rs2284197	-0.001025	  6.51	  0.138	417	  1	lasso	0.13	5e-31	 0.1510	8.80e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ELOVL5_1Mwindow.wgt.RDat	ELOVL5	6	52632202	53713748	0.0437	rs1864250	-4.56	rs2518579	 0.004198	 -4.57	  1.058	566	566	blup	0.019	1e-05	 1.6592	9.71e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GINM1_1Mwindow.wgt.RDat	GINM1	6	149387511	150412884	0.0208	rs6940350	-3.79	rs2880075	 0.008168	 -4.27	 -2.737	431	  1	top1	0.0082	0.0029	 2.7370	6.20e-03
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NCOA7_1Mwindow.wgt.RDat	NCOA7	6	125602261	126753180	0.0256	rs9321057	 7.44	rs641860	 0.016008	 -4.66	 -3.363	326	  1	top1	0.016	4.9e-05	 3.3630	7.71e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CENPW_1Mwindow.wgt.RDat	CENPW	6	126161261	127304466	0.0168	rs1407590	-6.98	rs6930280	-0.000945	  3.58	 -3.662	230	230	blup	0.0072	0.0049	-3.7442	1.81e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SMIM8_1Mwindow.wgt.RDat	SMIM8	6	87532306	88552047	0.0122	rs2325077	-5.11	rs242287	 0.010610	 -4.59	 -2.457	417	  1	top1	0.011	8e-04	 2.4570	1.40e-02
