PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FOXRED2_1Mwindow.wgt.RDat	FOXRED2	22	36383237	37403087	0.0397	rs2284001	-3.65	rs2281086	 7.79e-03	  4.73	 0.571	511	511	blup	0.017	2.7e-05	-1.4632	0.14342
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.THAP7-AS1_1Mwindow.wgt.RDat	THAP7-AS1	22	20856211	21864663	0.1063	rs661440	 2.61	rs2239961	 6.01e-02	 -7.96	-0.032	295	  1	top1	0.06	6.1e-15	 0.0320	0.97447
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GTSE1-DT_1Mwindow.wgt.RDat	GTSE1-DT	22	46191040	47192557	0.0505	rs4823324	 3.00	rs3788706	 1.08e-03	  3.17	 0.721	413	413	blup	0.011	8e-04	 1.4791	0.13913
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CRYBB2_1Mwindow.wgt.RDat	CRYBB2	22	25115606	26127836	0.3827	rs713664	-3.97	rs6004675	 4.32e-01	 20.49	-3.053	375	  1	top1	0.43	5.4e-121	-3.0530	0.00227
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DDTL_1Mwindow.wgt.RDat	DDTL	22	23809076	24814745	0.0685	rs5751714	 3.13	rs5742303	 8.49e-02	  8.94	-1.674	368	  1	top1	0.085	1.3e-20	-1.6738	0.09418
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.H1-0_1Mwindow.wgt.RDat	H1-0	22	37701236	38703439	0.0241	rs3203726	 2.28	rs2413485	 2.71e-03	  3.70	 0.288	338	338	blup	0.0084	0.0025	 0.1146	0.90878
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.XBP1_1Mwindow.wgt.RDat	XBP1	22	28690548	29696557	0.0300	rs134661	-3.57	rs7287806	 7.92e-03	  4.96	-0.324	313	313	blup	0.012	0.00048	 0.2345	0.81461
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.IGLL1_1Mwindow.wgt.RDat	IGLL1	22	23415312	24422477	0.0822	rs4820550	 3.30	rs6003826	 6.60e-02	  7.90	 2.000	430	  1	top1	0.066	2.9e-16	 2.0000	0.04550
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01644_1Mwindow.wgt.RDat	LINC01644	22	47357048	48382860	0.0412	rs135368	 3.85	rs5768156	 1.15e-02	  4.28	 1.278	578	  1	top1	0.012	0.00048	 1.2780	0.20125
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MICAL3_1Mwindow.wgt.RDat	MICAL3	22	17770415	19007327	0.0576	rs5747405	 3.84	rs424765	 1.73e-02	 -4.22	 1.650	494	  1	top1	0.017	2.4e-05	-1.6500	0.09894
