PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CCSER2_1Mwindow.wgt.RDat	CCSER2	10	85588345	86778273	0.0542	rs11599482	 2.79	rs11598450	 0.048661	-7.09	-0.6467	 620	  1	top1	0.049	2.4e-12	 0.6467	0.51780
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ECHDC3_1Mwindow.wgt.RDat	ECHDC3	10	11284381	12306069	0.0363	rs1051055	 3.08	rs7101132	 0.002737	-4.27	-1.0821	 434	434	blup	0.01	0.00099	-0.3055	0.76001
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPIF_1Mwindow.wgt.RDat	PPIF	10	80607225	81615090	0.0356	rs1250532	 3.20	rs11002951	 0.000184	-3.67	-2.1096	 372	372	blup	0.0053	0.014	 0.5130	0.60796
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ITIH5_1Mwindow.wgt.RDat	ITIH5	10	7101232	8208929	0.0445	rs11599293	-2.78	rs9633771	 0.005364	-3.25	-1.3519	 637	  1	top1	0.0054	0.013	 1.3519	0.17640
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C10orf143_1Mwindow.wgt.RDat	C10orf143	10	131362160	132409094	0.0575	rs10450337	-2.83	rs650268	 0.003655	 4.56	 0.8821	 600	600	blup	0.012	0.00031	 0.1730	0.86266
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0858	rs4746819	 3.34	rs12771648	 0.096982	 9.70	 2.1234	 432	  1	top1	0.097	2e-23	 2.1234	0.03372
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZNF503-AS1_1Mwindow.wgt.RDat	ZNF503-AS1	10	76556141	77621436	0.1241	rs2456251	-2.51	rs7073279	 0.050557	 8.38	-2.3107	 312	  2	lasso	0.064	7.6e-16	 0.4387	0.66090
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0228	rs10829131	-2.62	rs11015590	 0.012531	-4.77	 0.9363	 476	476	blup	0.014	0.00012	-0.7111	0.47703
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SVIL_1Mwindow.wgt.RDat	SVIL	10	29246267	30525865	0.0473	rs1622795	 2.76	rs2479695	-0.001014	-3.30	-0.3075	 852	852	blup	0.0061	0.0087	 0.8926	0.37208
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRDMT1_1Mwindow.wgt.RDat	TRDMT1	10	16679335	17743671	0.0394	rs17140876	-3.96	rs10904906	-0.000155	-4.97	-2.7098	 671	671	blup	0.0068	0.0058	 2.2142	0.02682
