PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.NLRP10_1Mwindow.wgt.RDat	NLRP10	11	7479084	8486994	0.0446	rs1384507	-2.79	rs7926492	-0.000832	 5.00	 0.8634	 672	   1	top1	-0.00083	0.66	 0.8634	0.38791
B_memory	RA_only/B_memory_5pcs_all/B_memory.UPK2_1Mwindow.wgt.RDat	UPK2	11	118327008	119329269	0.0434	rs598373	-2.29	rs4938626	-0.000566	 3.98	 0.4846	 365	   1	top1	-0.00057	0.5	 0.4846	0.62795
B_memory	RA_only/B_memory_5pcs_all/B_memory.EEF1G_1Mwindow.wgt.RDat	EEF1G	11	61827068	62841363	0.0711	rs12793785	-2.33	rs17773169	 0.059879	 7.86	-0.3133	 375	   1	top1	0.06	7.4e-15	-0.3133	0.75407
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02709_1Mwindow.wgt.RDat	LINC02709	11	9276317	10281080	0.0309	rs4396289	 2.47	rs10770027	 0.000410	-3.45	-1.7418	 356	 356	blup	0.0096	0.0014	 1.9825	0.04742
B_memory	RA_only/B_memory_5pcs_all/B_memory.AKIP1_1Mwindow.wgt.RDat	AKIP1	11	8432736	9441626	0.0193	rs885114	-3.39	rs2742496	 0.012199	-4.20	-0.8879	 372	   1	top1	0.012	0.00034	 0.8879	0.37460
B_memory	RA_only/B_memory_5pcs_all/B_memory.SMCO4_1Mwindow.wgt.RDat	SMCO4	11	92711638	93776557	0.0243	rs513407	 2.61	rs10831050	 0.002406	-4.09	 0.5118	 455	 455	blup	0.0057	0.01	-1.0497	0.29385
B_memory	RA_only/B_memory_5pcs_all/B_memory.LRRC4C_1Mwindow.wgt.RDat	LRRC4C	11	39635749	41981202	0.0876	rs7126363	-2.82	rs4623892	 0.005014	 6.19	-1.6348	1024	1024	blup	0.03	4.4e-08	-0.8847	0.37631
B_memory	RA_only/B_memory_5pcs_all/B_memory.COLCA1_1Mwindow.wgt.RDat	COLCA1	11	110664114	111675773	0.0471	rs17554190	 4.01	rs10502139	 0.019674	 5.55	 0.0885	 451	   1	top1	0.02	7.2e-06	 0.0885	0.92950
B_memory	RA_only/B_memory_5pcs_all/B_memory.XRRA1_1Mwindow.wgt.RDat	XRRA1	11	74051955	75160136	0.1025	NA	   NA	NA	       NA	   NA	     NA	   0	   0	lasso	0.13	2.1e-31	     NA	     NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.FNBP4_1Mwindow.wgt.RDat	FNBP4	11	47238046	48288893	0.0187	rs4647760	-2.45	rs10838702	-0.000809	-3.67	 0.5966	 305	 305	blup	0.0075	0.0042	-0.7571	0.44901
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02724_1Mwindow.wgt.RDat	LINC02724	11	63716529	64719129	0.4230	rs4672	 2.72	rs11231693	-0.001036	 6.04	-1.5035	 337	 337	blup	-0.001	0.95	-1.3676	0.17143
B_memory	RA_only/B_memory_5pcs_all/B_memory.UCP2_1Mwindow.wgt.RDat	UCP2	11	73185717	74194247	0.0340	rs1063807	 2.75	rs7930356	 0.005226	 4.75	-0.0712	 362	   1	enet	0.023	1.5e-06	-0.0712	0.94320
