PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.NLRP10_1Mwindow.wgt.RDat	NLRP10	11	7479084	8486994	0.0446	rs204926	 5.29	rs7926492	-0.000832	 5.00	 0.3159	 672	   1	top1	-0.00083	0.66	 0.3159	7.52e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.UPK2_1Mwindow.wgt.RDat	UPK2	11	118327008	119329269	0.0434	rs10892301	-5.25	rs4938626	-0.000566	 3.98	 0.0441	 365	   1	top1	-0.00057	0.5	 0.0441	9.65e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.EEF1G_1Mwindow.wgt.RDat	EEF1G	11	61827068	62841363	0.0711	rs1787662	-3.27	rs17773169	 0.059879	 7.86	-0.9510	 375	   1	top1	0.06	7.4e-15	-0.9510	3.42e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02709_1Mwindow.wgt.RDat	LINC02709	11	9276317	10281080	0.0309	rs4625466	-6.58	rs10770027	 0.000410	-3.45	-3.5094	 356	 356	blup	0.0096	0.0014	 1.7482	8.04e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.AKIP1_1Mwindow.wgt.RDat	AKIP1	11	8432736	9441626	0.0193	rs11042329	-7.65	rs2742496	 0.012199	-4.20	-0.4126	 372	   1	top1	0.012	0.00034	 0.4126	6.80e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.SMCO4_1Mwindow.wgt.RDat	SMCO4	11	92711638	93776557	0.0243	rs1562444	 4.35	rs10831050	 0.002406	-4.09	-0.2340	 455	 455	blup	0.0057	0.01	 0.1861	8.52e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LRRC4C_1Mwindow.wgt.RDat	LRRC4C	11	39635749	41981202	0.0876	rs11035719	 3.21	rs4623892	 0.005014	 6.19	 0.0915	1024	1024	blup	0.03	4.4e-08	 0.4131	6.80e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.COLCA1_1Mwindow.wgt.RDat	COLCA1	11	110664114	111675773	0.0471	rs11213917	 2.64	rs10502139	 0.019674	 5.55	 0.6400	 451	   1	top1	0.02	7.2e-06	 0.6400	5.22e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.XRRA1_1Mwindow.wgt.RDat	XRRA1	11	74051955	75160136	0.1025	NA	   NA	NA	       NA	   NA	     NA	   0	   0	lasso	0.13	2.1e-31	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.FNBP4_1Mwindow.wgt.RDat	FNBP4	11	47238046	48288893	0.0187	rs17198158	11.54	rs10838702	-0.000809	-3.67	-3.7470	 305	 305	blup	0.0075	0.0042	 1.8883	5.90e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02724_1Mwindow.wgt.RDat	LINC02724	11	63716529	64719129	0.4230	rs476037	-3.80	rs11231693	-0.001036	 6.04	 0.5430	 337	 337	blup	-0.001	0.95	-1.6254	1.04e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.UCP2_1Mwindow.wgt.RDat	UCP2	11	73185717	74194247	0.0340	rs826057	-4.75	rs7930356	 0.005226	 4.75	-4.0750	 362	   1	enet	0.023	1.5e-06	-4.0750	4.60e-05
B_memory	RA_only/B_memory_5pcs_all/B_memory.SAC3D1_1Mwindow.wgt.RDat	SAC3D1	11	64308405	65312300	0.0321	rs3200401	 5.46	rs550771	 0.006557	-4.68	-3.0080	 323	 323	blup	0.017	3.1e-05	 1.5515	1.21e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.IRAG1-AS1_1Mwindow.wgt.RDat	IRAG1-AS1	11	10062783	11121479	0.0437	rs3741044	 3.91	rs1462941	 0.018531	-5.31	 0.5610	 556	   1	top1	0.019	1.3e-05	-0.5610	5.75e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.MPEG1_1Mwindow.wgt.RDat	MPEG1	11	58475983	59480400	0.0192	rs505113	-2.78	rs3847	-0.000526	-3.37	 1.9900	 262	 262	blup	0.0075	0.004	-1.2523	2.10e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.FOLR3_1Mwindow.wgt.RDat	FOLR3	11	71346771	72350936	0.0260	rs10501410	-5.36	rs7925411	-0.000227	 3.86	 1.1419	 250	 250	blup	-4.2e-05	0.33	 0.0452	9.64e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LGALS12_1Mwindow.wgt.RDat	LGALS12	11	62773556	63784244	0.2339	rs11231385	 2.50	rs12283313	-0.000961	 3.89	 0.9300	 267	   1	top1	-0.00096	0.79	 0.9300	3.52e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.PGA3_1Mwindow.wgt.RDat	PGA3	11	60470987	61480570	0.1159	rs198755	-4.07	rs11230609	-0.000903	 4.51	 0.1278	 322	   1	lasso	-0.00073	0.59	-0.3390	7.35e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.CORO1B_1Mwindow.wgt.RDat	CORO1B	11	66702981	67711280	0.0693	rs7927381	 3.53	rs3741168	 0.070255	-8.45	 2.7350	 220	   1	top1	0.07	3.3e-17	-2.7350	6.24e-03
B_memory	RA_only/B_memory_5pcs_all/B_memory.ARHGAP20_1Mwindow.wgt.RDat	ARHGAP20	11	109947767	111083912	0.0422	rs12288950	-2.73	rs11213704	-0.000795	 2.82	-1.5810	 527	 527	blup	0.0027	0.057	-0.0324	9.74e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.TMEM218_1Mwindow.wgt.RDat	TMEM218	11	124464285	125481522	0.0438	rs1293672	 4.32	rs12289510	-0.001030	-4.21	 0.0520	 476	   8	enet	0.0053	0.014	 0.4346	6.64e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.HNRNPUL2_1Mwindow.wgt.RDat	HNRNPUL2	11	61980102	62994929	0.0310	rs1787662	-3.28	rs17664979	 0.003610	 4.31	 0.8818	 341	 341	blup	0.012	0.00042	 0.1090	9.13e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.OR51E2_1Mwindow.wgt.RDat	OR51E2	11	4201401	5219083	0.0652	rs10768434	 3.02	rs7114668	-0.001002	 7.10	 0.3846	 708	   1	top1	-0.001	0.85	 0.3846	7.01e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02720_1Mwindow.wgt.RDat	LINC02720	11	79962243	80973846	0.0568	NA	   NA	NA	       NA	   NA	     NA	   0	   0	lasso	0.19	4.9e-47	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.FADS1_1Mwindow.wgt.RDat	FADS1	11	61067099	62084475	0.0362	rs174568	-7.14	rs174583	-0.000330	 4.05	-7.0660	 393	 393	blup	0.011	0.00068	-3.3922	6.93e-04
B_memory	RA_only/B_memory_5pcs_all/B_memory.FADS2_1Mwindow.wgt.RDat	FADS2	11	61083675	62134826	0.0511	rs174568	-7.14	rs968567	 0.052389	 7.17	-1.8766	 411	   1	top1	0.052	3.6e-13	-1.8766	6.06e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.GATD1_1Mwindow.wgt.RDat	GATD1	11	267222	1277487	0.0407	rs3817640	-3.62	rs6597988	 0.016892	 4.01	-0.4930	 410	   1	top1	0.017	3e-05	-0.4930	6.22e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.TENM4_1Mwindow.wgt.RDat	TENM4	11	77863874	79652074	0.0468	rs7941639	 5.48	rs17137025	-0.000584	 5.06	-1.1501	 920	 920	blup	0.0053	0.013	-0.7809	4.35e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LDHC_1Mwindow.wgt.RDat	LDHC	11	17933865	18973610	0.0748	rs10128711	 5.99	rs2643856	 0.028928	 8.38	-1.4850	 447	 447	blup	0.04	1.9e-10	 0.0825	9.34e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.P4HA3_1Mwindow.wgt.RDat	P4HA3	11	73477702	74522685	0.0248	rs571250	-5.07	rs11235951	 0.009746	 4.05	-2.8970	 433	   1	top1	0.0097	0.0012	-2.8970	3.77e-03
B_memory	RA_only/B_memory_5pcs_all/B_memory.ARL14EP_1Mwindow.wgt.RDat	ARL14EP	11	29844651	30859770	0.0175	rs16920793	-3.93	rs2242144	 0.004550	-3.90	-3.7680	 398	 398	blup	0.0053	0.013	 2.2748	2.29e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.C11orf21_1Mwindow.wgt.RDat	C11orf21	11	1816858	2824370	0.0381	NA	   NA	NA	       NA	   NA	     NA	   0	   0	lasso	0.017	3.3e-05	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.VEGFB_1Mwindow.wgt.RDat	VEGFB	11	63502056	64506736	0.0379	rs17146121	-3.89	rs11607007	 0.002025	 3.94	-0.6080	 334	 334	blup	0.015	8.1e-05	-2.2301	2.57e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.TIMM10_1Mwindow.wgt.RDat	TIMM10	11	56795937	57798227	0.0321	rs2866833	-7.49	rs2581923	 0.022633	 5.73	 5.3820	 380	   1	top1	0.023	1.6e-06	 5.3820	7.37e-08
