PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.IGHMBP2_1Mwindow.wgt.RDat	IGHMBP2	11	68171359	69208069	0.0199	rs7940105	 -3.96	rs1249582	 0.002361	  4.24	-2.257	410	410	blup	0.0081	0.003	-3.482	4.97e-04
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MRPL48_1Mwindow.wgt.RDat	MRPL48	11	72998919	74076178	0.0194	rs1063807	  5.67	rs12420357	 0.005134	 -3.39	-1.476	336	336	blup	0.01	0.001	-1.245	2.13e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.BBOX1-AS1_1Mwindow.wgt.RDat	BBOX1-AS1	11	26568733	27741660	0.0345	rs4923460	  6.17	rs10835092	 0.000591	  4.49	-0.896	543	  1	top1	0.00059	0.21	-0.896	3.70e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LDHC_1Mwindow.wgt.RDat	LDHC	11	17933865	18973610	0.0399	rs4274186	  3.10	rs2643856	 0.048215	  7.68	 0.426	447	  1	top1	0.048	3.5e-12	 0.426	6.70e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.XRRA1_1Mwindow.wgt.RDat	XRRA1	11	74051955	75160136	0.0928	rs11236148	 -5.82	rs7396866	 0.099221	  9.81	-3.591	494	  1	top1	0.099	8.1e-24	-3.591	3.29e-04
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.IFITM3_1Mwindow.wgt.RDat	IFITM3	11	0	820860	0.0552	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.034	6.2e-09	    NA	      NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CREB3L1_1Mwindow.wgt.RDat	CREB3L1	11	45799213	46842959	0.0697	rs6485671	 -4.07	rs12362172	-0.001041	  9.44	 0.842	260	  1	lasso	0.13	2e-30	 0.842	4.00e-01
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CORO1B_1Mwindow.wgt.RDat	CORO1B	11	66702981	67711280	0.0486	rs1790747	 -4.55	rs1638556	 0.019971	 -6.01	-3.760	220	  1	top1	0.02	6.4e-06	 3.760	1.70e-04
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ALDH3B1_1Mwindow.wgt.RDat	ALDH3B1	11	67276017	68296743	0.0299	rs2276118	 -4.12	rs634918	-0.000464	  4.33	-1.793	264	264	blup	0.0035	0.038	-3.346	8.20e-04
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TP53AIP1_1Mwindow.wgt.RDat	TP53AIP1	11	128304626	129312766	0.1686	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0053	0.014	    NA	      NA
