PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RWDD1_1Mwindow.wgt.RDat	RWDD1	6	116392667	117418838	0.0932	rs9384978	 2.66	rs2637660	 0.058389	  8.18	 0.3088	374	374	blup	0.067	1.7e-16	 0.1801	8.57e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SNX9_1Mwindow.wgt.RDat	SNX9	6	157744278	158866109	0.0413	rs17489570	-2.74	rs6908844	 0.026652	  6.05	 0.3739	563	  1	top1	0.027	1.9e-07	 0.3739	7.08e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SFT2D1_1Mwindow.wgt.RDat	SFT2D1	6	166233216	167256033	0.0834	rs9348056	-3.02	rs9356478	 0.072900	 -8.52	-0.6277	717	  3	lasso	0.074	3.6e-18	 0.5039	6.14e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MANEA_1Mwindow.wgt.RDat	MANEA	6	95525411	96557328	0.0232	rs4706457	-3.22	rs9489578	 0.010475	  4.99	-0.1732	328	  1	top1	0.01	0.00083	-0.1732	8.62e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MAP3K7_1Mwindow.wgt.RDat	MAP3K7	6	90723298	91796791	0.0273	rs10944479	-5.12	rs16879996	-0.001032	 -3.28	 2.0339	531	531	blup	0.0036	0.035	-3.3884	7.03e-04
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FOXCUT_1Mwindow.wgt.RDat	FOXCUT	6	1105766	2107593	0.0649	rs7762716	 2.92	rs12209110	-0.001028	  4.07	-0.8956	606	606	blup	-0.00096	0.79	-0.7372	4.61e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CRYBG1_1Mwindow.wgt.RDat	CRYBG1	6	106308592	107519892	0.0622	rs6568421	-3.28	rs898895	 0.048919	 -6.95	-0.1047	662	  1	top1	0.049	2e-12	 0.1047	9.17e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TULP4_1Mwindow.wgt.RDat	TULP4	6	158233497	159432860	0.0381	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.011	0.00052	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MRPL14_1Mwindow.wgt.RDat	MRPL14	6	43581188	44595189	0.0846	rs6918742	-3.47	rs12212365	 0.084832	 -9.24	 0.5467	528	  1	top1	0.085	1.3e-20	-0.5467	5.85e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RNF217_1Mwindow.wgt.RDat	RNF217	6	124783583	125913780	0.1057	rs10457458	 4.05	rs12193003	 0.064982	  8.06	 2.2732	508	  1	top1	0.065	4.7e-16	 2.2732	2.30e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.C6orf62_1Mwindow.wgt.RDat	C6orf62	6	24205089	25219382	0.1251	rs1091031	 2.43	rs3756814	 0.085598	 -9.27	-0.8639	602	  1	top1	0.086	8.5e-21	 0.8639	3.88e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LYRM4_1Mwindow.wgt.RDat	LYRM4	6	4568561	5761183	0.1630	rs2552301	 3.00	rs10458086	 0.020339	  6.70	-0.1712	707	 12	enet	0.13	9.7e-31	-0.4230	6.72e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SERPINB6_1Mwindow.wgt.RDat	SERPINB6	6	2448393	3472027	0.4489	rs1564633	 3.32	rs11242810	 0.352108	-18.52	-1.1415	655	  6	enet	0.38	7.3e-102	 0.7440	4.57e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CAPN11_1Mwindow.wgt.RDat	CAPN11	6	43626557	44652138	0.2170	rs6918742	-3.47	rs7763358	 0.206483	 14.37	 0.6931	560	  1	top1	0.21	9.3e-51	 0.6931	4.88e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.UFL1_1Mwindow.wgt.RDat	UFL1	6	96469682	97503152	0.0166	rs10485382	-2.78	rs7770889	 0.021222	  4.89	-0.7362	443	  1	top1	0.021	3.1e-06	-0.7362	4.62e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SDHAF4_1Mwindow.wgt.RDat	SDHAF4	6	70776633	71799272	0.0152	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0075	0.004	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SLC18B1_1Mwindow.wgt.RDat	SLC18B1	6	132590509	133619776	0.0546	rs6569826	-3.17	rs12215941	 0.006291	 -5.21	 1.0834	541	541	blup	0.025	5.8e-07	-0.5274	5.98e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RPS12_1Mwindow.wgt.RDat	RPS12	6	132635708	133638703	0.0739	rs6569826	-3.17	rs9389034	 0.072260	  6.63	 1.0030	541	  2	lasso	0.089	1.5e-21	 1.0030	3.16e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SNX14_1Mwindow.wgt.RDat	SNX14	6	85715214	86803576	0.0165	rs3903689	 2.88	rs9344532	 0.001610	 -3.53	 0.0788	417	417	blup	0.0068	0.0059	 0.0956	9.24e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MICAL1_1Mwindow.wgt.RDat	MICAL1	6	109265265	110287171	0.0217	rs4077069	 2.47	rs1476386	 0.017966	  4.84	-0.5603	381	  1	top1	0.018	1.7e-05	-0.5603	5.75e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FAM83B_1Mwindow.wgt.RDat	FAM83B	6	54211569	55309897	0.0568	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.00063	0.53	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RMND1_1Mwindow.wgt.RDat	RMND1	6	151225897	152273261	0.0470	rs9397442	 3.32	rs2982561	-0.000306	  3.88	-2.2896	611	611	blup	0.0068	0.0058	-0.8775	3.80e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ETV7_1Mwindow.wgt.RDat	ETV7	6	35821865	36855446	0.0872	rs2395655	 2.86	rs1076928	 0.138921	-11.74	-0.3341	488	  1	top1	0.14	1.6e-33	 0.3341	7.38e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KHDC1L_1Mwindow.wgt.RDat	KHDC1L	6	73433267	74435219	0.0351	rs9446993	 2.92	rs7763873	 0.001823	  4.29	 0.1771	385	385	blup	0.004	0.027	 1.7503	8.01e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC02527_1Mwindow.wgt.RDat	LINC02527	6	111721508	112730600	0.5589	rs17539260	 3.48	rs11970757	 0.290544	  9.88	-0.8533	504	  1	top1	0.29	2.4e-74	-0.8533	3.93e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EPM2A_1Mwindow.wgt.RDat	EPM2A	6	145446441	146557159	0.0154	rs11155431	-2.64	rs398060	 0.014500	 -4.81	 0.1327	330	330	blup	0.015	7.2e-05	 0.2366	8.13e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PNRC1_1Mwindow.wgt.RDat	PNRC1	6	89290470	90294879	0.0246	rs12205041	 2.69	rs7745708	 0.004720	 -4.39	-0.2704	400	400	blup	0.0079	0.0032	 1.0399	2.98e-01
