PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Treg	RA_only/Treg_5pcs_all/Treg.AMT_1Mwindow.wgt.RDat	AMT	3	48954211	49959906	0.00966	rs6795772	 3.33	rs9586	 0.001420	-3.52	 1.6146	289	289	blup	0.0067	0.0067	-1.1943	0.23237
Treg	RA_only/Treg_5pcs_all/Treg.GHRLOS_1Mwindow.wgt.RDat	GHRLOS	3	9822636	10835133	0.07053	rs6442204	 5.53	rs1865396	-0.000887	 4.49	 0.7907	610	610	blup	0.014	0.00019	-1.8084	0.07054
Treg	RA_only/Treg_5pcs_all/Treg.BBX_1Mwindow.wgt.RDat	BBX	3	106741809	108030186	0.02771	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0087	0.0024	     NA	     NA
Treg	RA_only/Treg_5pcs_all/Treg.ZNF860_1Mwindow.wgt.RDat	ZNF860	3	31523242	32533215	0.12165	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00076	0.6	     NA	     NA
Treg	RA_only/Treg_5pcs_all/Treg.CCDC66_1Mwindow.wgt.RDat	CCDC66	3	56091184	57155865	0.02998	rs17235396	-3.80	rs7625428	 0.025646	 5.46	 0.0669	463	  1	top1	0.026	4.4e-07	 0.0669	0.94666
Treg	RA_only/Treg_5pcs_all/Treg.TMEM45A_1Mwindow.wgt.RDat	TMEM45A	3	99711463	100796288	0.04306	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0087	0.0023	     NA	     NA
Treg	RA_only/Treg_5pcs_all/Treg.ALG1L2_1Mwindow.wgt.RDat	ALG1L2	3	129300674	130317233	0.02743	rs5660	 2.91	rs6793968	 0.002421	 5.30	 0.1157	326	326	blup	0.0043	0.024	-0.8778	0.38008
Treg	RA_only/Treg_5pcs_all/Treg.TMPPE_1Mwindow.wgt.RDat	TMPPE	3	32631914	33638638	0.02358	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.00028	0.26	     NA	     NA
Treg	RA_only/Treg_5pcs_all/Treg.SLC6A11_1Mwindow.wgt.RDat	SLC6A11	3	10357913	11482400	0.05583	rs6442204	 5.53	rs7619408	-0.001049	 5.85	-0.7395	628	628	blup	-0.00074	0.59	-2.9494	0.00318
Treg	RA_only/Treg_5pcs_all/Treg.ATP2C1_1Mwindow.wgt.RDat	ATP2C1	3	130069439	131235556	0.03196	rs2090994	 3.65	rs2054792	 0.003403	 4.65	-0.3393	434	434	blup	0.02	8.9e-06	-0.1951	0.84531
Treg	RA_only/Treg_5pcs_all/Treg.STAC_1Mwindow.wgt.RDat	STAC	3	35921996	37089499	0.08082	rs9811916	 6.33	rs9682236	-0.001032	 4.79	 0.4209	513	  1	top1	-0.001	0.87	 0.4209	0.67383
Treg	RA_only/Treg_5pcs_all/Treg.FRG2C_1Mwindow.wgt.RDat	FRG2C	3	75213479	76216324	0.04675	NA	   NA	NA	       NA	   NA	     NA	140	  0	top1	-0.0011	0.94	     NA	     NA
Treg	RA_only/Treg_5pcs_all/Treg.RPSA_1Mwindow.wgt.RDat	RPSA	3	38948211	39954033	0.04330	rs9865014	 2.61	rs11706951	 0.030201	 5.95	-0.5937	416	  1	top1	0.03	4.5e-08	-0.5937	0.55271
Treg	RA_only/Treg_5pcs_all/Treg.SLC22A13_1Mwindow.wgt.RDat	SLC22A13	3	37807303	38820248	0.05724	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0023	0.075	     NA	     NA
Treg	RA_only/Treg_5pcs_all/Treg.BRK1_1Mwindow.wgt.RDat	BRK1	3	9657359	10668874	0.04868	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.016	5.4e-05	     NA	     NA
Treg	RA_only/Treg_5pcs_all/Treg.EFCAB12_1Mwindow.wgt.RDat	EFCAB12	3	128620164	129647479	0.01940	rs6771809	-3.24	rs3138345	-0.000956	 4.80	-0.4778	260	260	blup	0.00044	0.23	 1.3451	0.17859
Treg	RA_only/Treg_5pcs_all/Treg.ARHGEF3_1Mwindow.wgt.RDat	ARHGEF3	3	56261448	57613296	0.02488	rs2123184	-3.51	rs6978	 0.016850	 4.62	 2.3475	541	  1	top1	0.017	3.7e-05	 2.3475	0.01890
Treg	RA_only/Treg_5pcs_all/Treg.RNF123_1Mwindow.wgt.RDat	RNF123	3	49226990	50258962	0.01863	rs2624847	-4.31	rs17657664	 0.009031	-3.94	-1.9440	326	326	blup	0.014	0.00014	 0.8736	0.38236
Treg	RA_only/Treg_5pcs_all/Treg.DOCK3_1Mwindow.wgt.RDat	DOCK3	3	50212358	51921629	0.08258	NA	   NA	NA	       NA	   NA	     NA	431	  0	top1	0.0011	0.16	     NA	     NA
