PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TAL1_1Mwindow.wgt.RDat	TAL1	1	47181962	48198007	0.2521	rs12407853	-2.88	rs12029065	-0.001065	 5.85	 1.045	399	  1	top1	-0.0011	0.87	 1.0450	0.2960
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LRRIQ3_1Mwindow.wgt.RDat	LRRIQ3	1	73991699	75163860	0.0520	rs3947376	-2.97	rs12061533	-0.001071	 4.09	 0.296	397	397	blup	0.00022	0.27	 0.7022	0.4826
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.C1orf226_1Mwindow.wgt.RDat	C1orf226	1	161848631	162856602	0.1474	rs164176	-2.89	rs347309	-0.000982	 6.76	 0.113	605	  2	lasso	0.012	0.00042	 0.6524	0.5141
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FCGR2A_1Mwindow.wgt.RDat	FCGR2A	1	160975247	161989619	0.0509	rs12746613	-4.75	rs12731669	 0.001045	 4.82	-4.553	432	432	blup	0.0041	0.03	-2.0405	0.0413
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NEGR1_1Mwindow.wgt.RDat	NEGR1	1	71361626	73248222	0.0423	rs3101336	-3.36	rs7533150	-0.001082	 6.45	 0.924	567	  1	lasso	-0.00028	0.39	-0.8820	0.3778
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPL5_1Mwindow.wgt.RDat	RPL5	1	92797543	93807481	0.9036	rs557812	-2.67	rs7535181	 0.001443	-3.64	 0.051	268	  1	top1	0.0014	0.13	-0.0510	0.9593
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.AKIRIN1_1Mwindow.wgt.RDat	AKIRIN1	1	38956948	39971731	0.0303	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.0045	0.023	     NA	    NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.0724	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.073	4.5e-17	     NA	    NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.0449	rs226066	-3.17	rs11573562	 0.025960	-5.39	 1.672	328	328	blup	0.031	5.6e-08	-0.9116	0.3620
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SNAPIN_1Mwindow.wgt.RDat	SNAPIN	1	153131130	154134328	0.0249	rs475182	-3.59	rs11548104	 0.001639	-4.42	 1.777	382	  4	lasso	0.0081	0.0038	-1.7770	0.0756
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NT5C1A_1Mwindow.wgt.RDat	NT5C1A	1	39616901	40637779	0.0256	rs7523024	-3.69	rs16826104	-0.000868	 5.34	-0.327	366	366	blup	-0.00018	0.36	 1.3236	0.1856
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SERINC2_1Mwindow.wgt.RDat	SERINC2	1	31382624	32407525	0.0494	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.0071	0.0061	     NA	    NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GIPC2_1Mwindow.wgt.RDat	GIPC2	1	78010654	79104128	0.0627	rs674345	-4.57	rs17101082	-0.000720	 5.61	-0.352	347	  1	top1	-0.00072	0.56	-0.3520	0.7248
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.UCHL5_1Mwindow.wgt.RDat	UCHL5	1	192481384	193529206	0.0391	rs1933694	 3.79	rs12123511	 0.000956	 3.75	-1.259	337	337	blup	0.0098	0.0016	-0.9581	0.3380
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SLFNL1_1Mwindow.wgt.RDat	SLFNL1	1	40981269	41987397	0.0692	rs747459	-4.53	rs16865685	-0.001000	 7.18	-0.547	419	419	blup	0.00084	0.18	-1.0478	0.2947
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FLVCR1-DT_1Mwindow.wgt.RDat	FLVCR1-DT	1	212529946	213531480	0.0271	rs12060029	 3.39	rs1507357	 0.000537	 4.28	 0.008	408	408	blup	0.013	0.00027	 2.1231	0.0337
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.OAZ3_1Mwindow.wgt.RDat	OAZ3	1	151235445	152243806	0.0359	rs7541099	 2.59	rs11204948	-0.000736	 4.41	 0.005	330	330	blup	0.0017	0.11	-1.1564	0.2475
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.CCDC18-AS1_1Mwindow.wgt.RDat	CCDC18-AS1	1	93275666	94311368	0.0328	rs557812	-2.67	rs6701250	 0.016326	-5.12	 0.151	310	310	blup	0.017	3.9e-05	 0.3492	0.7269
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.CCDC163_1Mwindow.wgt.RDat	CCDC163	1	45459538	46465745	0.0473	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.025	9.8e-07	     NA	    NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NBPF14_1Mwindow.wgt.RDat	NBPF14	1	145895055	146967744	0.0226	rs11576360	-2.98	rs6703847	 0.012655	 5.09	-2.074	260	  1	top1	0.013	0.00038	-2.0740	0.0381
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FAM87B_1Mwindow.wgt.RDat	FAM87B	1	252751	1255214	0.0791	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.0036	0.038	     NA	    NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.WNT4_1Mwindow.wgt.RDat	WNT4	1	21943806	22969590	0.0634	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.21	9.9e-50	     NA	    NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PRDM16_1Mwindow.wgt.RDat	PRDM16	1	2485767	3855185	0.0329	rs6665853	 4.20	rs1563469	-0.000952	 3.89	-0.184	475	475	blup	0.0015	0.12	 1.0669	0.2860
