PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.UFSP2_1Mwindow.wgt.RDat	UFSP2	4	185820691	186847118	0.0442	rs11132333	 3.05	rs12500107	 0.035915	 -6.37	 0.1096	539	  1	top1	0.036	1.6e-09	-0.10960	0.912727
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPINK2_1Mwindow.wgt.RDat	SPINK2	4	57176026	58188035	0.1281	rs2109589	-2.86	rs1473430	 0.041653	  5.56	 1.6130	498	  6	enet	0.09	8.6e-22	-0.04289	0.965786
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LNX1-AS1_1Mwindow.wgt.RDat	LNX1-AS1	4	53866244	54889441	0.9832	rs2133334	 3.68	rs17082470	-0.001034	  6.45	-0.2065	438	 15	lasso	-0.00065	0.54	 0.47328	0.636011
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PDS5A_1Mwindow.wgt.RDat	PDS5A	4	39324483	40479531	0.0345	rs6816902	-2.87	rs305835	 0.012962	  5.43	 0.6869	474	474	blup	0.021	3.5e-06	 0.38873	0.697474
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ABCG2_1Mwindow.wgt.RDat	ABCG2	4	88511416	89652778	0.1094	rs7678318	-2.50	rs36111742	 0.059254	  7.80	-1.4813	493	  1	top1	0.059	9.3e-15	-1.48130	0.138527
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MGST2_1Mwindow.wgt.RDat	MGST2	4	140086973	141161899	0.1917	rs17050891	-2.75	rs1000222	 0.145942	-11.77	 0.1443	433	  2	lasso	0.17	2.4e-41	-0.01772	0.985859
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.AFAP1_1Mwindow.wgt.RDat	AFAP1	4	7260440	8441588	0.1033	rs12500190	 2.78	rs11930623	 0.092751	  8.86	-0.3588	824	  1	top1	0.093	1.8e-22	-0.35880	0.719745
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DGKQ_1Mwindow.wgt.RDat	DGKQ	4	452675	1467357	0.0472	rs1250125	 2.82	rs6599390	 0.027316	 -5.43	-2.2689	397	  1	top1	0.027	1.4e-07	 2.26890	0.023274
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC02511_1Mwindow.wgt.RDat	LINC02511	4	137217057	138633953	0.0579	rs6535149	 3.13	rs17049665	 0.000313	  4.60	-1.1047	566	  1	lasso	0.011	0.00065	 0.70020	0.483802
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ADH5_1Mwindow.wgt.RDat	ADH5	4	99492129	100509939	0.0281	rs10011147	 3.11	rs28730646	-0.000954	 -3.37	 0.5416	507	507	blup	0.013	0.00027	-0.65093	0.515093
