PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC22A18_1Mwindow.wgt.RDat	SLC22A18	11	2420921	3446476	0.0337	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.013	0.00027	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ACCS_1Mwindow.wgt.RDat	ACCS	11	43587820	44605787	0.0335	rs11037732	 3.85	rs7126447	 0.041729	 5.44	-0.863	532	  1	lasso	0.043	8.9e-11	-0.8630	3.88e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CAT_1Mwindow.wgt.RDat	CAT	11	33960481	34993607	0.0364	rs10768037	 3.05	rs11032695	 0.007897	 4.05	-0.308	582	582	blup	0.014	0.00018	-1.0346	3.01e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC22A18AS_1Mwindow.wgt.RDat	SLC22A18AS	11	2408574	3424805	0.0561	rs163184	 3.74	rs367035	 0.014236	-4.62	-0.363	470	  2	enet	0.025	7.8e-07	-0.1231	9.02e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TSPAN4_1Mwindow.wgt.RDat	TSPAN4	11	342852	1367111	0.0387	rs7126405	-2.88	rs6597977	 0.028624	 5.78	-0.906	404	  1	top1	0.029	1.3e-07	-0.9056	3.65e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TMEM9B-AS1_1Mwindow.wgt.RDat	TMEM9B-AS1	11	8486222	9497830	0.0294	rs1883097	 2.66	rs3815991	 0.021182	 4.76	 0.673	362	  1	top1	0.021	5.1e-06	 0.6730	5.01e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.USP28_1Mwindow.wgt.RDat	USP28	11	113168597	114246294	0.0480	rs7123334	-3.47	rs7110543	-0.000221	-3.50	 0.740	605	605	blup	0.01	0.0014	 1.0440	2.96e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PTPRJ_1Mwindow.wgt.RDat	PTPRJ	11	47502111	48692391	0.0171	rs1483121	-6.03	rs747782	-0.000898	 3.47	 3.195	279	279	blup	0.0097	0.0016	 3.9529	7.72e-05
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.P2RY6_1Mwindow.wgt.RDat	P2RY6	11	72475551	73509670	0.0279	rs1783598	-4.25	rs11235707	 0.015137	 4.72	-0.260	255	  1	top1	0.015	1e-04	-0.2600	7.95e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KIF18A_1Mwindow.wgt.RDat	KIF18A	11	27542166	28629703	0.0261	rs1038660	 2.35	rs722607	 0.006678	 4.70	 0.383	317	317	blup	0.013	0.00037	-0.1112	9.11e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.BCO2_1Mwindow.wgt.RDat	BCO2	11	111546235	112589669	0.0318	rs7946315	-2.55	rs10458936	 0.000500	 2.99	-0.659	370	370	blup	0.0043	0.026	-0.0259	9.79e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PLAAT3_1Mwindow.wgt.RDat	PLAAT3	11	62841934	63881909	0.1394	rs1193727	-2.07	rs517700	 0.039203	 6.59	 1.025	284	  8	enet	0.055	2.4e-13	-0.5059	6.13e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.OR5A1_1Mwindow.wgt.RDat	OR5A1	11	58703942	59718853	0.0360	rs7126271	 2.51	rs12282618	-0.001032	 4.79	-0.124	248	248	blup	-0.00077	0.59	 0.1673	8.67e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.DCPS_1Mwindow.wgt.RDat	DCPS	11	125673955	126719900	0.0508	rs3133084	-2.56	rs11220386	 0.000116	-3.26	 0.031	697	697	blup	0.0055	0.013	-0.7595	4.48e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TIMM10_1Mwindow.wgt.RDat	TIMM10	11	56795937	57798227	0.0405	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.033	1.5e-08	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FADS2_1Mwindow.wgt.RDat	FADS2	11	61083675	62134826	0.1325	rs2072114	-6.61	rs968567	 0.090922	 9.37	-1.522	411	  1	top1	0.091	3.5e-21	-1.5220	1.28e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FOLR3_1Mwindow.wgt.RDat	FOLR3	11	71346771	72350936	0.2353	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.18	5.4e-42	     NA	      NA
