PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.2101	rs11102159	 4.10	rs7514853	 0.151629	 12.34	 0.2050	566	  6	lasso	0.18	9.2e-43	 0.180	8.57e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.0730	rs12134582	 3.84	rs11203368	 0.007032	  4.92	 0.2460	459	459	blup	0.022	2.3e-06	-2.204	2.76e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAAH_1Mwindow.wgt.RDat	FAAH	1	46359989	47379517	0.0189	rs634431	 2.99	rs12142240	 0.003617	  4.29	-1.4920	317	317	blup	0.0036	0.034	-1.426	1.54e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FCRLA_1Mwindow.wgt.RDat	FCRLA	1	161177019	162184142	0.0258	rs2307418	 3.85	rs12405111	 0.000685	  3.39	-0.1360	484	484	blup	0.012	0.00034	-1.472	1.41e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NIBAN1_1Mwindow.wgt.RDat	NIBAN1	1	184260166	185443640	0.0238	rs1339566	-3.83	rs2144291	-0.000899	  3.55	 0.0510	490	490	blup	0.0061	0.0084	-2.642	8.25e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC00623_1Mwindow.wgt.RDat	LINC00623	1	143798164	144841756	0.0163	NA	   NA	NA	       NA	    NA	     NA	  1	  0	top1	0.015	7.2e-05	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.REG4_1Mwindow.wgt.RDat	REG4	1	119836640	120854083	0.0227	rs1418026	-2.53	rs2764886	 0.000188	 -3.99	 0.7770	306	306	blup	0.0089	0.0019	-0.294	7.69e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CNKSR1_1Mwindow.wgt.RDat	CNKSR1	1	26003982	27016375	0.0162	rs3748857	 2.88	rs2783626	 0.014757	 -5.16	-0.9500	429	  1	top1	0.015	8.9e-05	 0.950	3.42e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.BTF3L4_1Mwindow.wgt.RDat	BTF3L4	1	52021967	53056388	0.0194	rs1542779	-3.24	rs6588415	 0.011680	 -4.29	-0.5000	203	  1	top1	0.012	0.00044	 0.500	6.17e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GBP5_1Mwindow.wgt.RDat	GBP5	1	89221872	90238543	0.0831	rs4658301	 2.86	rs4655912	 0.044901	  7.04	 1.4330	349	  1	top1	0.045	1.6e-11	 1.433	1.52e-01
