PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LACTB2-AS1_1Mwindow.wgt.RDat	LACTB2-AS1	8	71020812	72075514	0.0309	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.055	7.9e-14	     NA	    NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NEFL_1Mwindow.wgt.RDat	NEFL	8	24308468	25314126	0.0284	rs11782327	 3.33	rs2976438	 3.00e-02	 -5.54	-0.150	480	  1	top1	0.03	3.6e-08	 0.1500	0.8808
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LGI3_1Mwindow.wgt.RDat	LGI3	8	21504343	22514319	0.0563	rs11997721	-2.90	rs4072420	-1.03e-03	  6.35	 0.336	437	  1	lasso	0.16	6.9e-38	 0.3363	0.7367
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.XKR9_1Mwindow.wgt.RDat	XKR9	8	71081574	72148177	0.0306	rs16937018	 3.04	rs2732090	 1.02e-02	 -4.64	-1.403	347	347	blup	0.026	2.6e-07	 1.8870	0.0592
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SAMD12_1Mwindow.wgt.RDat	SAMD12	8	118644064	120134202	0.0538	rs16891236	 2.52	rs2514603	 4.51e-02	  6.92	-0.467	756	  1	top1	0.045	1.5e-11	-0.4670	0.6405
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MSRA_1Mwindow.wgt.RDat	MSRA	8	9411802	10786401	0.0533	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.016	5.9e-05	     NA	    NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LRRC14_1Mwindow.wgt.RDat	LRRC14	8	145243376	146250556	0.0243	rs10902781	 1.90	rs1063739	 2.68e-02	 -5.39	 0.076	190	  1	top1	0.027	1.8e-07	-0.0760	0.9394
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.OTUD6B-AS1_1Mwindow.wgt.RDat	OTUD6B-AS1	8	91572134	92582417	0.0210	rs10504902	 2.31	rs13248502	 1.65e-02	  4.35	 0.251	300	  1	top1	0.017	3.6e-05	 0.2512	0.8017
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LZTS1_1Mwindow.wgt.RDat	LZTS1	8	19603676	20661474	0.0310	rs12678919	 2.79	rs2597388	-1.03e-03	  4.23	-0.547	653	653	blup	0.0027	0.059	-0.4574	0.6474
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRIQK_1Mwindow.wgt.RDat	TRIQK	8	93395762	94478372	0.0689	rs961544	-3.05	rs7016705	 2.69e-02	  7.40	-0.144	406	406	blup	0.034	5e-09	-0.1916	0.8480
