PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.FAM78A_1Mwindow.wgt.RDat	FAM78A	9	133633465	134653422	0.0429	rs875968	 4.03	rs542305	 6.03e-04	 -3.17	 0.089	 439	 439	blup	0.0023	0.071	 0.2096	8.34e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.FOXD4L3_1Mwindow.wgt.RDat	FOXD4L3	9	70417783	71420000	0.1332	NA	   NA	NA	       NA	    NA	    NA	   0	   0	lasso	0.18	6.4e-43	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.0714	rs4817	-4.08	rs10972063	 5.21e-02	  7.44	 1.695	 345	   2	enet	0.053	3.3e-13	 0.7825	4.34e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.AOPEP_1Mwindow.wgt.RDat	AOPEP	9	96988981	98349441	0.0293	rs12235970	 2.37	rs10993456	 2.24e-05	  4.15	 0.755	 449	 449	blup	0.01	0.00099	 1.4091	1.59e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS6_1Mwindow.wgt.RDat	RPS6	9	18875713	19880234	0.0248	rs2031741	-3.75	rs12553328	 5.87e-04	 -3.98	 0.585	 529	 529	blup	0.0055	0.012	-0.3526	7.24e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.SHC3_1Mwindow.wgt.RDat	SHC3	9	91120686	92293733	0.0864	rs10867145	 5.22	rs11265797	-1.03e-03	  6.25	 2.319	 487	 487	blup	-0.00071	0.57	 4.2953	1.74e-05
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.1079	rs1005362	 4.22	rs3824414	 1.04e-01	-10.51	 0.877	 348	   1	top1	0.1	5.3e-25	-0.8770	3.80e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.CNTRL_1Mwindow.wgt.RDat	CNTRL	9	123337233	124439888	0.0187	NA	   NA	NA	       NA	    NA	    NA	   0	   0	enet	0.008	0.0031	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.DBH-AS1_1Mwindow.wgt.RDat	DBH-AS1	9	136019709	137022530	0.0471	rs657152	-5.21	rs36091105	-1.04e-03	  4.67	-1.420	 557	 557	blup	-0.00099	0.83	-1.8685	6.17e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.CDKN2B_1Mwindow.wgt.RDat	CDKN2B	9	21502902	22509312	0.0867	NA	   NA	NA	       NA	    NA	    NA	   0	   0	enet	0.017	2.7e-05	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.CNTNAP3_1Mwindow.wgt.RDat	CNTNAP3	9	38564707	39788164	0.0470	rs10973953	 1.78	rs12340088	 3.49e-02	  2.66	-0.047	 114	   1	top1	0.035	3e-09	-0.0470	9.63e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.TLR4_1Mwindow.wgt.RDat	TLR4	9	119966681	120987013	0.0326	rs495083	-2.78	rs1327806	-6.69e-04	  3.64	-0.552	 573	 573	blup	0.0088	0.002	-1.3981	1.62e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.TRMO_1Mwindow.wgt.RDat	TRMO	9	100159137	101184782	0.0323	rs2808667	-2.16	rs10984462	 2.31e-02	  5.33	 0.375	 490	   1	lasso	0.032	1.1e-08	 0.3750	7.08e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LCN8_1Mwindow.wgt.RDat	LCN8	9	139148838	140152995	0.4210	NA	   NA	NA	       NA	    NA	    NA	   0	   0	lasso	0.52	3.5e-158	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.KDM4C_1Mwindow.wgt.RDat	KDM4C	9	6220863	7675648	0.0484	rs913578	 2.89	rs12378544	-3.55e-04	  3.97	-0.399	1023	1023	blup	0.0074	0.0043	-0.2140	8.31e-01
