PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CNOT9_1Mwindow.wgt.RDat	CNOT9	2	218933562	219961803	0.0324	rs2739049	  3.39	rs687747	 0.026624	 -6.17	  2.4266	355	355	blup	0.036	2e-09	 -2.7523	5.92e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CALCRL_1Mwindow.wgt.RDat	CALCRL	2	187706691	188812979	0.0406	rs12618321	 -2.97	rs3911202	 0.000827	  4.12	  1.0740	285	285	blup	0.014	0.00011	 -0.3744	7.08e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TRAPPC12-AS1_1Mwindow.wgt.RDat	TRAPPC12-AS1	2	2982364	3987024	0.1272	rs7563810	 -3.12	rs4641971	 0.129568	-11.41	 -0.2207	547	  1	top1	0.13	3.1e-31	  0.2207	8.25e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FAM228A_1Mwindow.wgt.RDat	FAM228A	2	23897922	24914567	0.0280	rs11894248	 -3.58	rs35214005	 0.007431	  3.67	 -0.1957	269	269	blup	0.012	0.00036	 -0.3551	7.23e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.WDSUB1_1Mwindow.wgt.RDat	WDSUB1	2	159592309	160643214	0.0643	rs6755927	 -4.85	rs6761921	 0.044419	 -7.05	  0.0525	443	  1	top1	0.044	2.1e-11	 -0.0525	9.58e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SERPINE2_1Mwindow.wgt.RDat	SERPINE2	2	224339762	225404003	0.1249	rs4673073	 -2.91	rs920251	 0.105177	 10.33	 -1.5589	488	  1	top1	0.11	2.2e-25	 -1.5589	1.19e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TMEM18_1Mwindow.wgt.RDat	TMEM18	2	163877	1177406	0.1261	rs6740249	 -2.71	rs12990777	 0.070581	  8.93	  0.6874	493	  4	lasso	0.089	1.8e-21	  0.3300	7.41e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.C2orf15_1Mwindow.wgt.RDat	C2orf15	2	99258170	100268132	0.0336	rs3792146	 -3.19	rs4851187	 0.020781	  5.83	  0.9139	290	290	blup	0.022	2.2e-06	  1.1475	2.51e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PDK1_1Mwindow.wgt.RDat	PDK1	2	172920101	173990351	0.0237	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.0084	0.0025	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.COLEC11_1Mwindow.wgt.RDat	COLEC11	2	3142702	4192234	0.0558	rs7563810	 -3.12	rs17017737	 0.049861	  5.02	  0.4513	552	  1	top1	0.05	1.2e-12	  0.4513	6.52e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TLK1_1Mwindow.wgt.RDat	TLK1	2	171347333	172587803	0.1043	rs11895735	 -3.13	rs13004273	 0.128810	-11.25	  0.6852	475	  1	lasso	0.13	1.3e-31	 -0.2923	7.70e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NCL_1Mwindow.wgt.RDat	NCL	2	231818242	232829195	0.0707	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.042	6.6e-11	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IGKV1-12_1Mwindow.wgt.RDat	IGKV1-12	2	88839721	89840195	0.0481	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	-0.00087	0.69	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ITGA4_1Mwindow.wgt.RDat	ITGA4	2	181821932	182903667	0.0316	rs10200577	  4.62	rs6713632	 0.024316	  5.37	 -2.1841	389	  1	top1	0.024	6.4e-07	 -2.1841	2.90e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RPS7_1Mwindow.wgt.RDat	RPS7	2	3122850	4128510	0.2093	rs7563810	 -3.12	rs12711976	 0.161531	  4.42	 -2.6221	534	  1	top1	0.16	3.9e-39	 -2.6221	8.74e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BAZ2B_1Mwindow.wgt.RDat	BAZ2B	2	159675490	161068953	0.0245	rs6755927	 -4.85	rs12612419	-0.000977	 -3.24	 -0.5399	615	615	blup	0.0064	0.0074	  1.8124	6.99e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ST3GAL5_1Mwindow.wgt.RDat	ST3GAL5	2	85564243	86616157	0.0559	rs1518987	 -3.88	rs10496320	 0.031488	 -5.28	 -1.2660	477	  1	top1	0.031	1.6e-08	  1.2660	2.06e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TTC32_1Mwindow.wgt.RDat	TTC32	2	19596392	20601744	0.1466	rs10495696	 -2.41	rs11096632	 0.107041	 10.27	 -0.0366	588	  1	lasso	0.12	5.9e-29	 -0.0366	9.71e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SOWAHC_1Mwindow.wgt.RDat	SOWAHC	2	109871941	110876567	0.0516	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.028	8.2e-08	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC01891_1Mwindow.wgt.RDat	LINC01891	2	234853234	235863239	0.0843	rs250905	 -2.69	rs11679171	 0.050843	  7.16	 -2.0138	629	  3	enet	0.053	2.1e-13	 -2.0079	4.47e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ABCA12_1Mwindow.wgt.RDat	ABCA12	2	215296266	216503349	0.0597	NA	    NA	NA	       NA	    NA	      NA	  0	  0	enet	0.01	0.00085	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SH3YL1_1Mwindow.wgt.RDat	SH3YL1	2	0	764824	0.5837	rs6740249	 -2.71	rs11553746	 0.694748	-25.96	 -0.2898	359	 11	enet	0.71	7.7e-264	  0.3887	6.97e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FOXN2_1Mwindow.wgt.RDat	FOXN2	2	48041438	49106434	0.0920	rs999036	 -4.34	rs12475492	 0.050800	  7.28	  2.0972	387	  1	top1	0.051	7.6e-13	  2.0972	3.60e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FKBP1B_1Mwindow.wgt.RDat	FKBP1B	2	23772611	24786551	0.0510	rs11125627	 -3.10	rs3731620	 0.036395	  6.88	 -1.4107	319	  1	lasso	0.038	6.8e-10	 -1.4107	1.58e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GYPC_1Mwindow.wgt.RDat	GYPC	2	126913734	127954243	0.4371	rs1866236	 -2.99	rs1914458	 0.272708	 16.21	 -0.2732	446	  2	lasso	0.34	7.2e-89	  1.3039	1.92e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CFLAR_1Mwindow.wgt.RDat	CFLAR	2	201480887	202541410	0.0674	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.067	1.4e-16	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.UBE2F_1Mwindow.wgt.RDat	UBE2F	2	238375656	239451423	0.0756	rs1080519	  4.89	rs2278742	 0.063984	 -8.71	  2.2166	486	  2	enet	0.075	2.7e-18	 -2.3254	2.00e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CHN1_1Mwindow.wgt.RDat	CHN1	2	175163537	176370109	0.0971	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.099	7.6e-24	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NPAS2_1Mwindow.wgt.RDat	NPAS2	2	100936601	102113291	0.0265	rs6755285	  4.00	rs7594990	-0.000977	  3.95	 -0.5890	557	557	blup	0.0044	0.022	 -1.3232	1.86e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ADAM17_1Mwindow.wgt.RDat	ADAM17	2	9128615	10195959	0.0339	rs9678200	  3.10	rs6432011	 0.032540	  6.52	 -0.6856	463	  1	top1	0.033	9.4e-09	 -0.6856	4.93e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ANKRD36B_1Mwindow.wgt.RDat	ANKRD36B	2	97609127	98706340	0.0343	rs5865	  6.11	rs11901495	 0.007684	  4.40	  3.3017	147	  1	enet	0.016	5.8e-05	  3.3017	9.61e-04
