PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.CPNE1_1Mwindow.wgt.RDat	CPNE1	20	33713966	34752822	0.0575	rs6058202	 3.80	rs11696527	 0.103636	-10.16	-3.2229	312	  1	top1	0.1	5.1e-25	 3.2229	1.27e-03
NK	RA_only/NK_5pcs_all/NK.PET117_1Mwindow.wgt.RDat	PET117	20	17618507	18623813	0.0399	rs1543455	 3.38	rs3748511	-0.000725	  3.26	-1.1499	520	520	blup	0.018	2e-05	-1.2371	2.16e-01
NK	RA_only/NK_5pcs_all/NK.COMMD7_1Mwindow.wgt.RDat	COMMD7	20	30790501	31831273	0.0253	rs2424898	 2.66	rs28548540	 0.020638	 -4.50	 1.7014	397	  1	top1	0.021	4.2e-06	-1.7014	8.89e-02
NK	RA_only/NK_5pcs_all/NK.PLTP_1Mwindow.wgt.RDat	PLTP	20	44027259	45040794	0.1511	rs6065906	-9.75	rs394643	 0.141556	 11.70	-1.7292	500	  1	top1	0.14	3.7e-34	-1.7292	8.38e-02
NK	RA_only/NK_5pcs_all/NK.MTG2_1Mwindow.wgt.RDat	MTG2	20	60258084	61278624	0.0375	rs6061815	-3.13	rs1054885	 0.002349	  3.56	-0.6032	445	445	blup	0.011	0.00049	-3.1978	1.38e-03
NK	RA_only/NK_5pcs_all/NK.RPS21_1Mwindow.wgt.RDat	RPS21	20	60462159	61463576	0.0298	rs3848676	-2.56	rs3787432	 0.004059	  4.38	-0.5678	427	427	blup	0.01	0.00097	-0.9926	3.21e-01
NK	RA_only/NK_5pcs_all/NK.CST3_1Mwindow.wgt.RDat	CST3	20	23107343	24118592	0.0427	rs8182947	 2.52	rs4346460	 0.028611	 -5.53	-0.9557	528	  1	top1	0.029	7e-08	 0.9557	3.39e-01
NK	RA_only/NK_5pcs_all/NK.KIF16B_1Mwindow.wgt.RDat	KIF16B	20	15752749	17054093	0.0610	rs6043705	 3.08	rs6044134	 0.034016	  6.73	-0.2330	965	  1	lasso	0.048	2.9e-12	-0.2330	8.16e-01
NK	RA_only/NK_5pcs_all/NK.SLCO4A1_1Mwindow.wgt.RDat	SLCO4A1	20	60773855	61803645	0.0609	NA	   NA	NA	       NA	    NA	     NA	491	  0	lasso	0.0073	0.0045	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.RAB5IF_1Mwindow.wgt.RDat	RAB5IF	20	34734182	35740960	0.0413	rs6060840	-3.48	rs4812383	 0.010028	 -3.57	-0.9524	175	  1	top1	0.01	0.001	 0.9524	3.41e-01
