PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS17_1Mwindow.wgt.RDat	RPS17	15	82705501	83709208	0.1029	rs2251275	 3.94	rs803686	 1.25e-01	-11.42	 1.4520	183	  2	lasso	0.13	7e-31	-1.3291	0.1838
B_naive	RA_only/B_naive_5pcs_all/B_naive.BCL2A1_1Mwindow.wgt.RDat	BCL2A1	15	79753234	80763538	0.1555	rs12901357	 6.76	rs1074979	 1.61e-01	 12.33	-0.6463	583	  1	top1	0.16	9.1e-39	-0.6463	0.5181
B_naive	RA_only/B_naive_5pcs_all/B_naive.NGRN_1Mwindow.wgt.RDat	NGRN	15	90308895	91315443	0.0896	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.044	2.8e-11	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.AKAP13_1Mwindow.wgt.RDat	AKAP13	15	85423834	86792589	0.0384	rs2120650	-3.31	rs12438445	 1.33e-03	 -4.58	-0.3844	764	764	blup	0.01	0.00087	 0.1260	0.8997
B_naive	RA_only/B_naive_5pcs_all/B_naive.GOLGA8O_1Mwindow.wgt.RDat	GOLGA8O	15	32234115	33247835	0.0292	rs1258736	 4.24	rs1258732	-9.41e-04	  4.14	-3.4654	334	334	blup	0.0074	0.0043	-0.0751	0.9401
B_naive	RA_only/B_naive_5pcs_all/B_naive.RSL24D1_1Mwindow.wgt.RDat	RSL24D1	15	54973004	55989139	0.0258	rs7175728	 2.51	rs28589384	 2.68e-03	  4.25	-0.2703	448	448	blup	0.013	0.00029	 0.2352	0.8141
B_naive	RA_only/B_naive_5pcs_all/B_naive.APBA2_1Mwindow.wgt.RDat	APBA2	15	28631120	29910518	0.0200	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.002	0.088	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.GABPB1-AS1_1Mwindow.wgt.RDat	GABPB1-AS1	15	50146371	51150509	0.1333	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.11	1.2e-25	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.SAXO2_1Mwindow.wgt.RDat	SAXO2	15	82055159	83077268	0.0334	rs2665115	-3.18	rs9972386	 4.08e-02	  6.16	-1.7902	242	  1	top1	0.041	1.5e-10	-1.7902	0.0734
B_naive	RA_only/B_naive_5pcs_all/B_naive.NPAP1_1Mwindow.wgt.RDat	NPAP1	15	24420922	25428540	0.0110	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.00026	0.26	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.GATM_1Mwindow.wgt.RDat	GATM	15	45153322	46194425	0.0314	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.021	3e-06	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.USP3-AS1_1Mwindow.wgt.RDat	USP3-AS1	15	63379909	64393026	0.0229	rs9672729	 5.11	rs11630720	-1.04e-03	  3.66	 2.8148	380	380	blup	0.00088	0.17	 0.8161	0.4144
B_naive	RA_only/B_naive_5pcs_all/B_naive.GOLGA6L6_1Mwindow.wgt.RDat	GOLGA6L6	15	20237094	21247114	0.0457	NA	   NA	NA	       NA	    NA	     NA	 NA	  0	lasso	0.044	3.1e-11	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC00926_1Mwindow.wgt.RDat	LINC00926	15	57092563	58099967	0.0244	rs12909385	-2.79	rs2440943	 2.02e-02	  4.06	 0.0532	462	  1	top1	0.02	5.7e-06	 0.0532	0.9576
B_naive	RA_only/B_naive_5pcs_all/B_naive.ACAN_1Mwindow.wgt.RDat	ACAN	15	88846667	89918584	0.0493	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0014	0.13	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.NDUFAF1_1Mwindow.wgt.RDat	NDUFAF1	15	41179551	42194694	0.0215	rs4924570	-3.53	rs1200345	-9.64e-04	 -3.10	-0.1747	300	300	blup	0.0036	0.034	 0.6820	0.4952
B_naive	RA_only/B_naive_5pcs_all/B_naive.MEGF11_1Mwindow.wgt.RDat	MEGF11	15	65687637	67046088	0.0313	rs2469099	 2.78	rs1549854	 5.34e-02	 -3.79	 0.6800	565	  1	top1	0.053	2.2e-13	-0.6800	0.4965
B_naive	RA_only/B_naive_5pcs_all/B_naive.ANKDD1A_1Mwindow.wgt.RDat	ANKDD1A	15	64704101	65751033	0.0641	rs894491	 3.83	rs871447	 4.05e-02	  7.04	 1.8278	289	  1	top1	0.041	1.7e-10	 1.8278	0.0676
B_naive	RA_only/B_naive_5pcs_all/B_naive.GOLGA6L10_1Mwindow.wgt.RDat	GOLGA6L10	15	82429674	83439197	0.0224	rs12148608	-2.92	rs17507216	 3.79e-04	 -3.77	 0.6593	143	143	blup	0.0055	0.012	 1.2358	0.2165
