PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0235	rs10829168	-2.66	rs10764686	 0.002996	-4.75	-1.389	476	476	blup	0.021	4.6e-06	 0.6494	0.51608
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.0999	rs1641661	-4.00	rs12355080	 0.063896	 7.55	-2.023	702	  1	top1	0.064	8.5e-16	-2.0234	0.04303
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0368	rs10786772	 3.44	rs7896809	 0.002225	 4.37	-0.382	417	417	blup	0.0068	0.006	-0.3500	0.72631
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0426	rs10824568	-2.73	rs7071351	 0.030550	-6.24	 1.072	496	  1	top1	0.031	2.6e-08	-1.0717	0.28385
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0812	rs16926249	-6.09	rs12268631	 0.085246	 9.90	-3.052	432	  1	top1	0.085	1.1e-20	-3.0523	0.00227
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ENTPD1_1Mwindow.wgt.RDat	ENTPD1	10	96971521	98137023	0.0216	rs4918966	-4.32	rs10882680	-0.000151	 3.91	 0.811	615	  1	enet	0.0015	0.12	 0.8107	0.41754
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FGF8_1Mwindow.wgt.RDat	FGF8	10	103029866	104040126	0.1308	rs17779355	 4.24	rs11191190	 0.097736	 3.99	-1.849	264	  1	top1	0.098	1.3e-23	-1.8490	0.06446
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.WAC-AS1_1Mwindow.wgt.RDat	WAC-AS1	10	28308846	29321283	0.0409	rs1984273	-2.84	rs1106274	 0.013992	 4.84	-0.628	586	  1	top1	0.014	0.00013	-0.6279	0.53007
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.VCL_1Mwindow.wgt.RDat	VCL	10	75257874	76381121	0.0455	rs3793663	-1.92	rs10824090	 0.017791	-5.41	-0.284	243	243	blup	0.034	3.9e-09	 0.0761	0.93937
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DHX32_1Mwindow.wgt.RDat	DHX32	10	127024906	128069861	0.0244	rs2125666	-2.57	rs10794045	 0.021113	-5.42	-0.936	587	  1	top1	0.021	3.4e-06	 0.9356	0.34948
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.HACD1_1Mwindow.wgt.RDat	HACD1	10	17131031	18159373	0.0301	rs7903137	 5.53	rs1556056	 0.002488	-3.14	 1.568	373	373	blup	0.0033	0.042	-3.0619	0.00220
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.IDI1_1Mwindow.wgt.RDat	IDI1	10	585092	1602644	0.0663	rs4880745	 3.34	rs6560863	 0.060252	 7.49	 0.891	520	  1	top1	0.06	5.7e-15	 0.8911	0.37288
