PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.SLC2A14_1Mwindow.wgt.RDat	SLC2A14	12	7465110	8543792	0.0888	NA	   NA	NA	       NA	   NA	     NA	 NA	  0	blup	0.034	4.2e-09	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LEMD3_1Mwindow.wgt.RDat	LEMD3	12	65063363	66142135	0.0249	rs7973405	-3.13	rs7314741	 0.000562	 3.47	-0.2850	316	316	blup	0.006	0.0093	 0.334	0.7384
B_memory	RA_only/B_memory_5pcs_all/B_memory.SPRYD4_1Mwindow.wgt.RDat	SPRYD4	12	56362362	57373492	0.0343	rs2229363	-2.17	rs7302925	 0.013369	 5.16	 0.1850	293	  1	lasso	0.013	0.00018	-0.661	0.5086
B_memory	RA_only/B_memory_5pcs_all/B_memory.TESC_1Mwindow.wgt.RDat	TESC	12	116976728	118037221	0.0283	rs11068102	-3.28	rs10850747	 0.001871	 3.71	 1.2710	535	535	blup	0.0043	0.023	 1.123	0.2613
B_memory	RA_only/B_memory_5pcs_all/B_memory.PLA2G1B_1Mwindow.wgt.RDat	PLA2G1B	12	120259918	121265582	0.1096	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.12	5.1e-28	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.TIMELESS_1Mwindow.wgt.RDat	TIMELESS	12	56310147	57343210	0.0307	rs2229363	-2.17	rs7305370	 0.001366	 3.21	-0.4136	286	  1	top1	0.0014	0.13	-0.414	0.6791
B_memory	RA_only/B_memory_5pcs_all/B_memory.TAS2R19_1Mwindow.wgt.RDat	TAS2R19	12	10674218	11675219	0.0283	rs2682480	 2.61	rs319284	-0.000989	 3.98	 1.1786	397	397	blup	-0.00055	0.49	 0.418	0.6760
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC01252_1Mwindow.wgt.RDat	LINC01252	12	11200964	12217337	0.0418	rs3782137	-3.96	rs7976950	 0.029987	 5.71	 0.9389	426	  1	top1	0.03	3.6e-08	 0.939	0.3478
B_memory	RA_only/B_memory_5pcs_all/B_memory.ATP23_1Mwindow.wgt.RDat	ATP23	12	57835350	58852931	0.0235	rs2733449	 2.56	rs4760346	 0.000810	-4.13	-1.0650	417	417	blup	0.012	0.00031	 0.594	0.5528
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS26_1Mwindow.wgt.RDat	RPS26	12	55935702	56938481	0.6780	rs11829536	-2.32	rs10876864	 0.779594	27.07	-0.4490	257	  1	top1	0.78	4.8e-319	-0.449	0.6534
B_memory	RA_only/B_memory_5pcs_all/B_memory.ASCL1_1Mwindow.wgt.RDat	ASCL1	12	102851452	103854291	0.0567	rs7972145	-2.69	rs17032823	 0.004284	 8.81	 0.3530	429	  2	lasso	0.0073	0.0046	 0.353	0.7241
B_memory	RA_only/B_memory_5pcs_all/B_memory.CLEC2D_1Mwindow.wgt.RDat	CLEC2D	12	9322309	10352149	0.0390	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.00076	0.19	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00477_1Mwindow.wgt.RDat	LINC00477	12	24219898	25237102	0.0689	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.024	7.5e-07	    NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.OSBPL8_1Mwindow.wgt.RDat	OSBPL8	12	76245577	77453551	0.0273	rs2047226	 3.07	rs1949176	 0.008022	-4.94	 2.1180	515	515	blup	0.011	0.00056	 0.160	0.8728
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02422_1Mwindow.wgt.RDat	LINC02422	12	31529903	32540137	0.0255	rs7966112	-2.58	rs1666224	 0.005223	-4.50	 0.6660	535	  1	top1	0.0052	0.014	-0.666	0.5054
B_memory	RA_only/B_memory_5pcs_all/B_memory.DDX11_1Mwindow.wgt.RDat	DDX11	12	30726794	31757733	0.0425	rs2449998	-2.36	rs10843879	 0.029036	-6.33	-0.0139	457	457	blup	0.03	3.2e-08	 0.521	0.6025
