PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SYNE2_1Mwindow.wgt.RDat	SYNE2	14	63819722	65193167	0.0383	rs1255953	 2.88	rs11158515	 0.033794	  6.11	 1.4791	505	  1	top1	0.034	5e-09	 1.479	0.139114
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPL36AL_1Mwindow.wgt.RDat	RPL36AL	14	49585248	50587344	0.0591	rs7145384	 3.04	rs7146248	 0.062031	 -8.32	-1.1876	360	  1	top1	0.062	2.3e-15	 1.188	0.234991
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRAV41_1Mwindow.wgt.RDat	TRAV41	14	22288620	23289123	0.0345	rs4982558	 2.49	rs1263656	-0.000346	  3.97	 1.8795	707	707	blup	0.0096	0.0013	 1.261	0.207380
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FUT8-AS1_1Mwindow.wgt.RDat	FUT8-AS1	14	65377310	66379335	0.0171	rs7152879	 2.77	rs11847263	 0.000073	 -3.48	-0.0452	371	371	blup	0.0083	0.0026	-1.941	0.052301
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC25A29_1Mwindow.wgt.RDat	SLC25A29	14	100257453	101272781	0.0635	rs17099623	 3.76	rs1059264	 0.053685	  8.05	-0.2886	405	  1	lasso	0.054	1.7e-13	-0.289	0.772887
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MARK3_1Mwindow.wgt.RDat	MARK3	14	103351752	104470168	0.0191	rs12433109	 5.96	rs12879663	 0.006218	 -4.11	 3.6645	385	385	blup	0.01	0.00089	-3.536	0.000406
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.POLE2_1Mwindow.wgt.RDat	POLE2	14	49610273	50654932	0.0183	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.012	0.00035	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ESR2_1Mwindow.wgt.RDat	ESR2	14	64193425	65305331	0.1895	rs1255953	 2.88	rs8018687	 0.123930	 11.04	 0.0600	503	  7	enet	0.13	1.8e-31	-0.331	0.740517
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C14orf132_1Mwindow.wgt.RDat	C14orf132	14	96005699	97060308	0.0890	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.06	5.6e-15	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LIN52_1Mwindow.wgt.RDat	LIN52	14	74051659	75168196	0.0182	rs764361	-2.39	rs4903202	 0.015292	  4.73	 1.1431	453	  1	top1	0.015	6.8e-05	 1.143	0.252997
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SDR39U1_1Mwindow.wgt.RDat	SDR39U1	14	24408972	25412049	0.0278	rs2146432	-3.83	rs10140911	-0.000704	 -4.11	-1.2546	557	  2	lasso	0.0089	0.0019	-0.227	0.820268
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FNTB_1Mwindow.wgt.RDat	FNTB	14	64953613	66029368	0.0315	rs1998333	 2.85	rs7158239	 0.016957	  5.35	 2.3622	484	  1	top1	0.017	2.9e-05	 2.362	0.018167
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CFL2_1Mwindow.wgt.RDat	CFL2	14	34678319	35683799	0.0366	rs17102745	 3.76	rs17525149	 0.019845	  4.71	 1.2236	397	  1	lasso	0.022	1.7e-06	-0.300	0.763796
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACOT4_1Mwindow.wgt.RDat	ACOT4	14	73558577	74562470	0.0360	rs764361	-2.39	rs4903128	 0.023751	 -4.42	 0.7636	361	  1	top1	0.024	8.6e-07	-0.764	0.445106
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.INF2_1Mwindow.wgt.RDat	INF2	14	104655955	105688872	0.0440	rs2841254	 4.23	rs11160818	 0.005791	 -4.46	 1.1414	353	353	blup	0.015	7.2e-05	 3.593	0.000327
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ERH_1Mwindow.wgt.RDat	ERH	14	69346845	70365016	0.0226	rs4243633	-4.00	rs1275207	 0.000486	  3.88	-0.3159	437	437	blup	0.007	0.0052	-0.365	0.715395
