PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TPTE2_1Mwindow.wgt.RDat	TPTE2	13	19497017	20635714	0.0473	rs9508836	 2.59	rs17051925	-0.000683	 3.88	-0.947	344	344	blup	0.00017	0.28	 1.2869	0.1981
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KATNAL1_1Mwindow.wgt.RDat	KATNAL1	13	30276767	31381688	0.0393	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.0036	0.037	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GAS6-AS1_1Mwindow.wgt.RDat	GAS6-AS1	13	114018583	115045814	0.0289	rs7323932	-2.65	rs11843762	 0.000090	 3.93	-1.908	341	341	blup	0.011	0.00084	-1.7460	0.0808
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.DNAJC15_1Mwindow.wgt.RDat	DNAJC15	13	43097722	44188349	0.0522	rs7322455	 3.41	rs1359182	 0.054126	-7.73	 1.300	624	  1	lasso	0.058	6.6e-14	-1.3000	0.1936
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC02344_1Mwindow.wgt.RDat	LINC02344	13	33407983	34409403	0.0406	rs17079151	 2.59	rs17078017	-0.001053	 4.13	 0.958	584	584	blup	0.00062	0.21	 0.8599	0.3898
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KLF5_1Mwindow.wgt.RDat	KLF5	13	73129114	74151676	0.0407	rs9600077	-3.43	rs9543325	 0.009349	 4.49	 2.036	485	  1	top1	0.0093	0.0019	 2.0360	0.0418
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TUSC8_1Mwindow.wgt.RDat	TUSC8	13	44474386	45480120	0.0515	rs9525873	 2.96	rs9567348	-0.001079	 5.75	-1.982	432	  1	lasso	-0.0011	0.89	-1.9820	0.0475
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GGACT_1Mwindow.wgt.RDat	GGACT	13	100682434	101741043	0.0320	rs2765319	-3.29	rs4772302	 0.012066	-4.18	 0.168	506	  1	top1	0.012	0.00047	-0.1680	0.8666
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CCDC122_1Mwindow.wgt.RDat	CCDC122	13	43910488	44953876	0.0259	rs1466005	 3.55	rs12869355	 0.005577	 4.26	-2.443	541	  2	enet	0.0075	0.0047	 0.0653	0.9479
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IRS2_1Mwindow.wgt.RDat	IRS2	13	109905042	110938930	0.0569	rs1763038	-4.14	rs1410425	-0.000629	-3.06	 0.541	599	599	blup	0.0081	0.0035	-0.4582	0.6468
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RPL21_1Mwindow.wgt.RDat	RPL21	13	27325695	28330705	0.0263	rs9581843	-3.43	rs10507379	 0.001673	 4.12	-0.712	569	569	blup	0.0019	0.099	 0.8566	0.3916
