PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0430	rs9376148	  5.74	rs11154810	 0.008542	 -4.91	 3.320	432	432	blup	0.027	3.7e-07	 0.6906	0.48981
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CCDC170_1Mwindow.wgt.RDat	CCDC170	6	151315152	152442328	0.0635	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.044	1e-10	     NA	     NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RAB44_1Mwindow.wgt.RDat	RAB44	6	36165603	37200961	0.0475	rs7758789	  5.51	rs6934844	 0.000295	  4.11	 1.367	557	  5	enet	0.011	0.001	 0.6823	0.49503
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DDO_1Mwindow.wgt.RDat	DDO	6	110209524	111236778	0.0277	rs6568622	 -4.10	rs9481066	 0.010141	  4.91	-1.031	366	  1	top1	0.01	0.0014	-1.0307	0.30268
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MANEA-DT_1Mwindow.wgt.RDat	MANEA-DT	6	95507972	96525327	0.0301	rs2613537	 -2.68	rs6907357	 0.008132	  3.86	-1.569	314	  1	top1	0.0081	0.0039	-1.5689	0.11667
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NQO2_1Mwindow.wgt.RDat	NQO2	6	2500128	3519989	0.0676	rs879097	  6.86	rs10223369	 0.023391	  6.45	 1.512	649	  2	lasso	0.045	7.3e-11	 1.4414	0.14946
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GSTA4_1Mwindow.wgt.RDat	GSTA4	6	52342751	53360082	0.0516	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.03	1.1e-07	     NA	     NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ETV7_1Mwindow.wgt.RDat	ETV7	6	35821865	36855446	0.0243	rs236459	  4.51	rs7766404	-0.001080	 -3.72	 0.672	488	488	blup	0.0076	0.005	-0.3271	0.74360
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TREML4_1Mwindow.wgt.RDat	TREML4	6	40696087	41706620	0.0306	rs13202921	 -9.34	rs657218	-0.001082	  5.53	 1.591	525	  1	lasso	0.0027	0.066	 1.3736	0.16957
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CALHM6_1Mwindow.wgt.RDat	CALHM6	6	116282538	117284934	0.1660	rs6568921	 -4.78	rs2637669	 0.119822	 -9.08	 0.443	378	  1	lasso	0.13	1.4e-28	-0.4429	0.65784
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MOXD1_1Mwindow.wgt.RDat	MOXD1	6	132117194	133222614	0.1278	rs718508	 -3.51	rs8192621	-0.001049	  6.01	-1.967	580	  1	top1	-0.001	0.81	-1.9674	0.04914
