PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.MAP4K2_1Mwindow.wgt.RDat	MAP4K2	11	64052390	65070686	0.0195	rs606063	 3.72	rs653565	-1.00e-04	 -3.02	-1.493	341	341	blup	0.0037	0.032	-0.4463	0.655379
NK	RA_only/NK_5pcs_all/NK.C11orf24_1Mwindow.wgt.RDat	C11orf24	11	67528806	68539441	0.1190	rs12418774	-2.67	rs2458268	 7.98e-02	 -9.20	-0.658	283	  1	top1	0.08	1.8e-19	 0.6580	0.510538
NK	RA_only/NK_5pcs_all/NK.P4HA3_1Mwindow.wgt.RDat	P4HA3	11	73477702	74522685	0.0521	rs11602732	 3.60	rs6592545	 3.39e-02	  5.92	 0.892	433	  1	top1	0.034	4.6e-09	 0.8920	0.372393
NK	RA_only/NK_5pcs_all/NK.NUCB2_1Mwindow.wgt.RDat	NUCB2	11	16798286	17853758	0.0952	rs4756864	 3.97	rs214092	 7.60e-02	  8.87	 1.531	560	560	blup	0.077	8.5e-19	 2.5455	0.010912
NK	RA_only/NK_5pcs_all/NK.FAR1_1Mwindow.wgt.RDat	FAR1	11	13190215	14253893	0.1061	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.043	4.4e-11	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.NDUFC2_1Mwindow.wgt.RDat	NDUFC2	11	77279343	78290908	0.0226	rs7936118	 2.10	rs579711	 3.91e-03	 -4.36	-0.961	356	356	blup	0.0085	0.0024	 1.1047	0.269269
NK	RA_only/NK_5pcs_all/NK.GPR152_1Mwindow.wgt.RDat	GPR152	11	66718772	67720200	0.0247	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.12	2.4e-28	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.SYTL2_1Mwindow.wgt.RDat	SYTL2	11	84905272	86065913	0.0487	rs12271536	-3.91	rs290200	 2.75e-02	 -5.54	-0.057	421	  1	lasso	0.032	1.5e-08	 0.0570	0.954545
NK	RA_only/NK_5pcs_all/NK.LINC02696_1Mwindow.wgt.RDat	LINC02696	11	44876922	45878208	0.0348	rs4756035	 3.10	rs7121660	 4.08e-02	  4.70	 0.490	493	  1	top1	0.041	1.3e-10	 0.4900	0.624134
NK	RA_only/NK_5pcs_all/NK.GSTP1_1Mwindow.wgt.RDat	GSTP1	11	66851283	67854124	0.0921	rs12418774	-2.86	rs4148959	 4.66e-02	 -7.79	 0.323	235	235	blup	0.057	2.8e-14	 0.1147	0.908700
NK	RA_only/NK_5pcs_all/NK.NPAT_1Mwindow.wgt.RDat	NPAT	11	107527942	108593365	0.0218	rs639923	 2.81	rs4988023	 1.29e-02	 -3.74	-0.425	374	  1	top1	0.013	0.00024	 0.4250	0.670837
NK	RA_only/NK_5pcs_all/NK.SVIP_1Mwindow.wgt.RDat	SVIP	11	22340473	23351347	0.0257	rs1900586	 3.12	rs1529347	 6.27e-04	 -3.89	 0.109	431	431	blup	0.011	0.00069	-0.7709	0.440785
NK	RA_only/NK_5pcs_all/NK.ACER3_1Mwindow.wgt.RDat	ACER3	11	76071962	77237841	0.0292	rs4944114	 3.05	rs7927658	 1.09e-03	  3.50	 0.201	457	457	blup	0.012	0.00032	-1.3001	0.193574
NK	RA_only/NK_5pcs_all/NK.LDHC_1Mwindow.wgt.RDat	LDHC	11	17933865	18973610	0.1922	rs3758946	-3.27	rs2643856	 2.22e-01	 15.36	 0.162	447	  3	enet	0.23	5.8e-57	 0.1788	0.858059
NK	RA_only/NK_5pcs_all/NK.NCAM1_1Mwindow.wgt.RDat	NCAM1	11	112332142	113649158	0.0353	rs2155287	 5.13	rs1447464	 1.88e-02	 -5.26	-1.192	677	  1	top1	0.019	1.1e-05	 1.1920	0.233261
