PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CT66_1Mwindow.wgt.RDat	CT66	7	68559790	69562610	0.0202	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0051	0.016	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PAXIP1-DT_1Mwindow.wgt.RDat	PAXIP1-DT	7	154295143	155297413	0.0388	rs10236495	 3.14	rs1436818	 0.001449	-3.43	 0.0376	579	579	blup	0.0017	0.11	 0.3172	0.7511
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PON2_1Mwindow.wgt.RDat	PON2	7	94534174	95564340	0.0254	rs7778623	 3.02	rs2374993	 0.003253	 4.32	-0.3585	461	461	blup	0.0067	0.0071	 0.4232	0.6722
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.DYNC2I1_1Mwindow.wgt.RDat	DYNC2I1	7	158131936	159238880	0.0277	rs1466210	-3.14	rs4909259	 0.001294	-3.58	-1.1031	387	387	blup	0.0078	0.0041	 0.5893	0.5557
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PSMA2_1Mwindow.wgt.RDat	PSMA2	7	42456460	43471773	0.0340	rs10261329	 3.19	rs607148	 0.004554	-3.60	-1.5982	457	  1	top1	0.0046	0.022	 1.5982	0.1100
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ZP3_1Mwindow.wgt.RDat	ZP3	7	75526839	76571386	0.0689	rs6467975	-3.33	rs1968108	 0.028336	 5.97	 1.4758	207	207	blup	0.03	6.4e-08	 0.5304	0.5958
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.HOXA5_1Mwindow.wgt.RDat	HOXA5	7	26680671	27683300	0.0175	rs3801817	 3.24	rs3801839	 0.011142	-4.46	 0.7063	391	391	blup	0.015	0.00013	 0.0795	0.9367
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CCZ1B_1Mwindow.wgt.RDat	CCZ1B	7	6338568	7365906	0.1754	rs2159191	-3.99	rs10242703	 0.123997	-9.78	-2.0858	370	  1	top1	0.12	1.1e-28	 2.0858	0.0370
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC29A4_1Mwindow.wgt.RDat	SLC29A4	7	4822574	5846543	0.0445	rs7799592	 3.57	rs11771172	-0.001073	 3.75	 2.1571	355	355	blup	0.0032	0.046	 1.0916	0.2750
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TMEM176B_1Mwindow.wgt.RDat	TMEM176B	7	149988389	150998448	0.5599	rs17197782	 3.68	rs7806458	 0.434127	20.08	 0.2924	520	  6	enet	0.48	1.1e-134	 0.7636	0.4451
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.METTL27_1Mwindow.wgt.RDat	METTL27	7	72748920	73756846	0.0289	rs884843	 2.96	rs4355658	 0.033868	 6.27	 0.1891	263	  1	top1	0.034	9.8e-09	 0.1891	0.8500
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NFE2L3_1Mwindow.wgt.RDat	NFE2L3	7	25691818	26726757	0.0493	rs10486461	-3.81	rs3814095	 0.033509	-5.86	 1.4051	527	  1	top1	0.034	1.2e-08	-1.4051	0.1600
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.UPK3BL1_1Mwindow.wgt.RDat	UPK3BL1	7	101777472	102783238	0.0650	rs10238421	 4.24	rs4729791	 0.035344	 4.04	-0.9154	118	  1	top1	0.035	4.7e-09	-0.9154	0.3600
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ZC3HAV1_1Mwindow.wgt.RDat	ZC3HAV1	7	138228261	139294466	0.0397	rs4728438	-2.82	rs6952395	-0.000449	 2.90	 1.3722	416	416	blup	0.013	0.00036	 0.5180	0.6044
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PSPH_1Mwindow.wgt.RDat	PSPH	7	55578757	56619137	0.0260	rs11238377	 2.09	rs11982736	 0.029868	 4.06	 1.0152	293	  1	top1	0.03	7e-08	 1.0152	0.3100
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.POMZP3_1Mwindow.wgt.RDat	POMZP3	7	75739303	76756596	0.0541	rs6949730	 3.29	rs2286428	 0.050221	 6.52	 0.9945	142	  1	top1	0.05	3e-12	 0.9945	0.3200
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CHN2_1Mwindow.wgt.RDat	CHN2	7	28686207	30053944	0.0812	rs1420109	-2.74	rs245882	 0.068472	-8.11	-0.6588	854	  3	lasso	0.081	6.8e-19	 0.5797	0.5621
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.AP5Z1_1Mwindow.wgt.RDat	AP5Z1	7	4315254	5334028	0.0464	rs2097884	-3.36	rs4577873	-0.000967	 3.12	-0.2533	395	395	blup	0.016	6.2e-05	-0.0398	0.9682
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.STEAP4_1Mwindow.wgt.RDat	STEAP4	7	87400207	88436209	0.0634	rs7777957	-2.99	rs1044424	 0.036923	-6.36	-0.6745	370	  1	top1	0.037	2.2e-09	 0.6745	0.5000
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC01003_1Mwindow.wgt.RDat	LINC01003	7	151661209	152662630	0.0245	rs10245251	-2.89	rs2040639	-0.001080	 3.73	-0.8416	223	223	blup	0.0055	0.014	-0.0524	0.9582
