PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.IGFLR1_1Mwindow.wgt.RDat	IGFLR1	19	35729702	36733353	0.0980	NA	   NA	NA	    NA	  NA	    NA	406	0	top1	0.078	5.5e-19	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CBLC_1Mwindow.wgt.RDat	CBLC	19	44781126	45803909	0.0785	NA	   NA	NA	    NA	  NA	    NA	421	0	top1	-0.001	0.93	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.GALP_1Mwindow.wgt.RDat	GALP	19	56187377	57197144	0.0438	NA	   NA	NA	    NA	  NA	    NA	522	0	blup	-0.00094	0.76	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CFD_1Mwindow.wgt.RDat	CFD	19	359664	1363641	0.0998	NA	   NA	NA	    NA	  NA	    NA	378	0	enet	0.077	1.2e-18	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DLL3_1Mwindow.wgt.RDat	DLL3	19	39489587	40499109	0.0314	NA	   NA	NA	    NA	  NA	    NA	426	0	blup	0.005	0.016	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LRG1_1Mwindow.wgt.RDat	LRG1	19	4036414	5040048	0.0563	NA	   NA	NA	    NA	  NA	    NA	334	0	top1	0.004	0.027	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ZNF331_1Mwindow.wgt.RDat	ZNF331	19	53524268	54583523	0.0364	NA	   NA	NA	    NA	  NA	    NA	409	0	blup	0.0044	0.023	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.VSTM2B-DT_1Mwindow.wgt.RDat	VSTM2B-DT	19	29277916	30516657	0.0385	NA	   NA	NA	    NA	  NA	    NA	  0	0	lasso	0.16	3.8e-38	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PAK4_1Mwindow.wgt.RDat	PAK4	19	39116426	40173456	0.0345	NA	   NA	NA	    NA	  NA	    NA	416	0	blup	0.0057	0.011	    NA	   NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KLC3_1Mwindow.wgt.RDat	KLC3	19	45344008	46354777	0.0609	NA	   NA	NA	    NA	  NA	    NA	  0	0	lasso	0.0051	0.015	    NA	   NA
