PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MTUS1_1Mwindow.wgt.RDat	MTUS1	8	17001311	18159030	0.14089	rs10089145	 3.49	rs17125140	 0.043976	  7.72	-1.282	948	  5	enet	0.068	1.1e-16	-0.7462	0.4555
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MTDH_1Mwindow.wgt.RDat	MTDH	8	98156412	99242488	0.03840	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.016	4e-05	     NA	    NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NEIL2_1Mwindow.wgt.RDat	NEIL2	8	11127219	12144854	0.05418	rs2736327	-2.13	rs10503424	 0.012657	  4.41	-0.954	458	458	blup	0.014	0.00015	-0.9754	0.3294
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BLK_1Mwindow.wgt.RDat	BLK	8	10851896	11922108	0.04909	rs2736327	-2.13	rs922483	 0.027550	 -6.22	 1.514	622	  1	top1	0.028	1.2e-07	-1.5140	0.1300
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NBN_1Mwindow.wgt.RDat	NBN	8	90445559	91496895	0.02395	rs557807	 1.78	rs419181	 0.000785	 -4.62	-0.643	383	383	blup	0.0046	0.02	 1.0139	0.3106
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PVT1_1Mwindow.wgt.RDat	PVT1	8	128306779	129613499	0.16825	rs13254990	 2.97	rs7460502	 0.128979	 11.09	 0.138	754	  1	top1	0.13	4.3e-31	 0.1380	0.8902
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ERICH1_1Mwindow.wgt.RDat	ERICH1	8	64746	1181224	0.18385	rs10503143	 3.12	rs1669681	 0.140157	-12.02	-1.440	573	  9	enet	0.17	8.1e-41	 0.9573	0.3384
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PDE7A_1Mwindow.wgt.RDat	PDE7A	8	66126569	67254299	0.06941	rs12334877	 2.89	rs7008671	 0.057138	  7.78	 0.013	404	  1	top1	0.057	2.8e-14	 0.0130	0.9896
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EMC2_1Mwindow.wgt.RDat	EMC2	8	108955853	110001425	0.03519	rs446454	-3.26	rs16877095	 0.006246	  4.18	 1.598	362	  6	enet	0.0083	0.0026	 0.8754	0.3814
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.AZIN1_1Mwindow.wgt.RDat	AZIN1	8	103338530	104376428	0.03571	rs827528	 2.83	rs1434235	 0.009158	 -3.67	 0.659	524	524	blup	0.019	1e-05	 1.3793	0.1678
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TRIQK_1Mwindow.wgt.RDat	TRIQK	8	93395762	94478372	0.07142	rs7018177	 2.62	rs7016705	 0.046351	  7.12	-0.100	406	  1	top1	0.046	7.6e-12	-0.1000	0.9203
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MINCR_1Mwindow.wgt.RDat	MINCR	8	143862325	144863870	0.02756	rs7013633	 3.24	rs12674761	 0.036949	  6.12	 1.995	381	  1	top1	0.037	9.7e-10	 1.9950	0.0460
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RAD54B_1Mwindow.wgt.RDat	RAD54B	8	94884188	95987343	0.01867	rs4734267	-2.23	rs10956911	 0.019155	  4.92	-1.080	520	  1	top1	0.019	9.1e-06	-1.0800	0.2801
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HMBOX1_1Mwindow.wgt.RDat	HMBOX1	8	28247912	29410787	0.25080	rs10099976	 2.95	rs1487969	 0.391048	-16.63	 0.722	451	  1	top1	0.39	1.7e-106	-0.7220	0.4703
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CPQ_1Mwindow.wgt.RDat	CPQ	8	97157470	98655729	0.07047	rs9656841	 3.30	rs2651447	 0.062855	 -7.80	 0.496	616	  1	top1	0.063	1.4e-15	-0.4960	0.6199
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FSBP_1Mwindow.wgt.RDat	FSBP	8	94939944	95949172	0.03902	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.037	1.2e-09	     NA	    NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FUT10_1Mwindow.wgt.RDat	FUT10	8	32728342	33830664	0.07714	rs11996067	 3.08	rs10097936	 0.076565	  9.30	 0.454	254	  1	enet	0.08	1.8e-19	 0.0630	0.9498
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC01606_1Mwindow.wgt.RDat	LINC01606	8	57630835	58645513	0.01940	rs7003551	 2.69	rs16921345	 0.009087	  7.50	-0.674	397	  1	top1	0.0091	0.0017	-0.6740	0.5003
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PHF20L1_1Mwindow.wgt.RDat	PHF20L1	8	133287634	134361052	0.02362	rs3779939	 2.93	rs864898	 0.006971	 -4.41	 1.015	673	673	blup	0.01	0.0011	-0.8352	0.4036
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BIN3_1Mwindow.wgt.RDat	BIN3	8	21977931	23026634	0.02924	rs13257482	 2.81	rs1545837	 0.003241	  5.15	-0.954	499	499	blup	0.0045	0.021	-1.1159	0.2645
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EEF1D_1Mwindow.wgt.RDat	EEF1D	8	144161898	145179585	0.09065	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.045	1.2e-11	     NA	    NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ARHGEF10_1Mwindow.wgt.RDat	ARHGEF10	8	1272092	2406807	0.21420	rs3779704	 3.54	rs7007884	 0.116568	 11.20	 0.598	737	  1	lasso	0.12	2.3e-29	 0.5680	0.5700
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LY6E-DT_1Mwindow.wgt.RDat	LY6E-DT	8	143563448	144599807	0.06151	rs7013633	 3.24	rs4596631	 0.036043	  6.64	 0.202	417	  1	top1	0.036	1.5e-09	 0.2020	0.8399
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ZC2HC1A_1Mwindow.wgt.RDat	ZC2HC1A	8	79078324	80132000	0.05091	rs10110519	-2.58	rs4739134	 0.033439	 -6.81	 0.806	331	  1	top1	0.033	5.9e-09	-0.8060	0.4202
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CPNE3_1Mwindow.wgt.RDat	CPNE3	8	87026664	88073726	0.03993	rs17602780	-2.43	rs11781016	 0.009888	  5.38	-0.202	448	448	blup	0.016	5.5e-05	-0.6999	0.4840
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PCMTD1_1Mwindow.wgt.RDat	PCMTD1	8	52230135	53311746	0.03289	rs890598	-2.70	rs10104368	-0.001034	 -3.89	 0.896	454	454	blup	0.0092	0.0016	-1.2011	0.2297
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.WWP1_1Mwindow.wgt.RDat	WWP1	8	86854776	87980732	0.05025	rs17602780	-2.43	rs10096443	 0.040321	  5.14	-0.510	458	  2	enet	0.065	5.6e-16	-1.3403	0.1802
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ENTPD4_1Mwindow.wgt.RDat	ENTPD4	8	22786675	23815160	0.04364	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.016	5.6e-05	     NA	    NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FZD6_1Mwindow.wgt.RDat	FZD6	8	103810722	104845094	0.03706	rs827528	 2.83	rs16870364	 0.023283	 -4.93	 2.212	411	  1	top1	0.023	1.1e-06	-2.2120	0.0270
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CSGALNACT1_1Mwindow.wgt.RDat	CSGALNACT1	8	18761672	20115419	0.11196	rs10088489	 3.39	rs4308750	 0.022379	  5.75	-1.476	919	  7	enet	0.069	5.2e-17	 0.5589	0.5762
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CTSB_1Mwindow.wgt.RDat	CTSB	8	11200033	12225596	0.18274	rs2736327	-2.13	rs1630828	 0.072458	  6.98	-0.524	422	  4	enet	0.14	8.6e-33	-0.5045	0.6139
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FBXO25_1Mwindow.wgt.RDat	FBXO25	8	0	927967	0.05577	rs10503143	 3.12	rs12674503	 0.012679	  4.45	 0.332	409	  2	enet	0.013	2e-04	 0.3282	0.7428
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GSDMD_1Mwindow.wgt.RDat	GSDMD	8	144135557	145145232	0.03307	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.03	2.7e-08	     NA	    NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PCM1_1Mwindow.wgt.RDat	PCM1	8	17280497	18387457	0.07570	rs7465287	-2.69	rs2517289	 0.065797	  8.98	-0.266	927	  2	lasso	0.087	5e-21	 0.8959	0.3703
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FDFT1_1Mwindow.wgt.RDat	FDFT1	8	11153091	12196818	0.23791	rs2736327	-2.13	rs1293322	 0.222958	-11.70	-0.050	450	  2	lasso	0.23	1.5e-57	-0.3871	0.6987
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SLA_1Mwindow.wgt.RDat	SLA	8	133548973	134614846	0.03910	rs3779939	 2.93	rs4074676	 0.004665	 -4.23	 0.266	699	  4	enet	0.025	5.6e-07	-0.6922	0.4888
