PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Treg	RA_only/Treg_5pcs_all/Treg.NCF2_1Mwindow.wgt.RDat	NCF2	1	183024697	184060049	0.0832	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.02	8e-06	    NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.TXNIP_1Mwindow.wgt.RDat	TXNIP	1	144938490	145942635	0.0260	rs9728619	 -2.90	rs704986	 1.72e-02	-4.74	 0.1213	102	  1	top1	0.017	3.1e-05	-0.121	9.03e-01
Treg	RA_only/Treg_5pcs_all/Treg.GSTM3_1Mwindow.wgt.RDat	GSTM3	1	109776559	110783660	0.0718	rs7528419	-40.91	rs4970777	 3.49e-02	-5.99	 4.5922	416	  1	top1	0.035	4.2e-09	-4.592	4.39e-06
Treg	RA_only/Treg_5pcs_all/Treg.IL24_1Mwindow.wgt.RDat	IL24	1	206570788	207577484	0.0377	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.025	7.3e-07	    NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.WARS2-AS1_1Mwindow.wgt.RDat	WARS2-AS1	1	119183019	120318596	0.0200	rs10494217	 -3.92	rs17023164	 2.62e-03	 3.84	 0.0865	479	479	blup	0.0099	0.0013	-1.195	2.32e-01
Treg	RA_only/Treg_5pcs_all/Treg.LINC01748_1Mwindow.wgt.RDat	LINC01748	1	60481388	61588357	0.0454	rs11806181	 -2.90	rs680390	-8.99e-04	 4.35	 0.1839	464	  1	top1	-9e-04	0.7	 0.184	8.54e-01
Treg	RA_only/Treg_5pcs_all/Treg.TTC39A-AS1_1Mwindow.wgt.RDat	TTC39A-AS1	1	51295326	52296953	0.0153	rs6698809	  3.18	rs12070851	 8.95e-04	 3.88	-1.1244	161	161	blup	0.0025	0.066	 0.325	7.45e-01
Treg	RA_only/Treg_5pcs_all/Treg.LEXM_1Mwindow.wgt.RDat	LEXM	1	54771736	55807925	0.0637	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.16	7.9e-39	    NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.RPL11_1Mwindow.wgt.RDat	RPL11	1	23518269	24523325	0.0411	rs1077514	 -7.99	rs3753270	-1.04e-03	-3.63	-1.7415	334	334	blup	0.0048	0.019	 1.063	2.88e-01
Treg	RA_only/Treg_5pcs_all/Treg.MFSD14A_1Mwindow.wgt.RDat	MFSD14A	1	100003651	101048933	0.0373	rs11166456	 -2.93	rs17122500	 5.63e-03	 3.06	 1.0427	463	463	blup	0.0068	0.0064	-0.083	9.34e-01
