PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0582	rs261214	 3.023	rs10044354	 0.050159	 7.74	-0.6726	501	  1	top1	0.05	2.9e-12	-0.673	0.5012
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TSLP_1Mwindow.wgt.RDat	TSLP	5	109905760	110913724	0.0857	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.14	3.3e-32	    NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SGTB_1Mwindow.wgt.RDat	SGTB	5	64461755	65517936	0.0313	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0099	0.0014	    NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SEMA5A_1Mwindow.wgt.RDat	SEMA5A	5	8535145	10046187	0.0710	rs3094356	 2.776	rs916990	-0.001033	 4.19	 0.4692	866	  2	lasso	-5e-04	0.47	 0.640	0.5219
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0562	rs251295	 3.461	rs166329	 0.078158	 9.08	 0.8538	424	  1	lasso	0.08	7.9e-19	 0.854	0.3932
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.STING1_1Mwindow.wgt.RDat	STING1	5	138355118	139362343	0.0242	rs17207961	 2.758	rs356454	 0.009340	 4.06	 1.9742	249	  2	lasso	0.011	0.00091	 2.090	0.0366
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FST_1Mwindow.wgt.RDat	FST	5	52276459	53282964	0.1445	rs1363972	 2.548	rs16881299	 0.082663	 4.92	-1.3385	448	  1	top1	0.083	2.1e-19	-1.338	0.1807
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SLC34A1_1Mwindow.wgt.RDat	SLC34A1	5	176311435	177325849	0.0287	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0043	0.025	    NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ITGA2_1Mwindow.wgt.RDat	ITGA2	5	51785182	52890609	0.0333	rs1363972	 2.548	rs16876270	 0.013167	 5.77	-0.3300	611	  1	top1	0.013	0.00026	-0.330	0.7414
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MIR3936HG_1Mwindow.wgt.RDat	MIR3936HG	5	131146969	132205608	0.0242	rs1050152	 3.323	rs253946	 0.001820	 3.61	-2.3715	425	425	blup	0.0066	0.0076	-1.584	0.1131
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PDGFRB_1Mwindow.wgt.RDat	PDGFRB	5	148993402	150035408	0.0555	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0017	0.11	    NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.F2R_1Mwindow.wgt.RDat	F2R	5	75511951	76531595	0.0400	rs4704322	-3.393	rs6885207	-0.001051	-3.66	 0.0345	561	561	blup	0.0086	0.0027	-1.718	0.0858
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.EBF1_1Mwindow.wgt.RDat	EBF1	5	157622928	159026924	0.0369	rs6884239	-3.710	rs10515789	-0.000983	 4.52	-0.7795	564	564	blup	0.0031	0.049	-2.165	0.0304
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FAM153B_1Mwindow.wgt.RDat	FAM153B	5	174990058	176054145	0.0287	rs2937456	 3.132	rs17078191	 0.001778	-3.71	 0.5666	329	  1	lasso	0.003	0.053	-0.567	0.5710
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BRIX1_1Mwindow.wgt.RDat	BRIX1	5	34415816	35426101	0.0434	rs164320	-2.906	rs6893700	 0.022307	 4.79	 0.4242	500	  1	top1	0.022	2.8e-06	 0.424	0.6714
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.EMB_1Mwindow.wgt.RDat	EMB	5	49192026	50237122	0.0226	rs13185587	-2.178	rs13185587	 0.013242	 4.59	-2.1782	147	  1	top1	0.013	0.00025	-2.178	0.0294
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.LINC02241_1Mwindow.wgt.RDat	LINC02241	5	20111949	21437802	0.0306	rs10473307	 2.978	rs9292965	-0.000490	 3.57	 1.9230	329	329	blup	-0.00034	0.41	 0.906	0.3651
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SCGB3A1_1Mwindow.wgt.RDat	SCGB3A1	5	179517105	180518499	0.2512	rs6886960	 2.902	rs2453176	 0.253045	14.73	 1.9657	397	  1	top1	0.25	4.4e-61	 1.966	0.0493
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.LINC02145_1Mwindow.wgt.RDat	LINC02145	5	5810554	6837405	0.0447	rs169251	-3.693	rs4460116	-0.000952	 4.51	-0.2613	651	  1	top1	-0.00095	0.73	-0.261	0.7939
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FAM153CP_1Mwindow.wgt.RDat	FAM153CP	5	176934693	177990589	0.0523	rs9332465	 2.973	rs2133716	 0.030355	-4.73	 2.0259	398	  1	top1	0.03	5.3e-08	-2.026	0.0428
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BHMT2_1Mwindow.wgt.RDat	BHMT2	5	77865590	78885892	0.1970	rs6897944	-2.748	rs337832	-0.000991	 3.96	-0.9369	403	403	blup	-2.2e-05	0.32	 0.386	0.6996
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.GRPEL2-AS1_1Mwindow.wgt.RDat	GRPEL2-AS1	5	148227679	149237205	0.2834	rs17722293	 3.393	rs13436359	-0.001036	 6.02	-1.0545	564	  1	top1	-0.001	0.85	-1.054	0.2917
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.DAP_1Mwindow.wgt.RDat	DAP	5	10179342	11261346	0.0308	rs6886717	-2.661	rs7737359	 0.001425	 3.57	-0.1659	647	647	blup	0.012	0.00042	 0.419	0.6756
