PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RETREG1_1Mwindow.wgt.RDat	RETREG1	5	15973162	17117106	0.0520	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.011	0.001	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NLN_1Mwindow.wgt.RDat	NLN	5	64518032	65625111	0.0226	rs2591928	-2.73	rs2561205	 0.014075	 4.33	-2.6450	414	  1	top1	0.014	0.00021	-2.6450	0.008169
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.IL12B_1Mwindow.wgt.RDat	IL12B	5	158241788	159257495	0.0853	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00099	0.75	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NNT_1Mwindow.wgt.RDat	NNT	5	43102777	44207498	0.0186	rs12110174	 2.35	rs4866852	 0.005994	-3.54	 1.9019	253	253	blup	0.013	0.00032	-0.5481	0.583596
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.1075	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.18	2.1e-41	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.INSYN2B_1Mwindow.wgt.RDat	INSYN2B	5	168788307	169907499	0.0619	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0033	0.046	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SETD9_1Mwindow.wgt.RDat	SETD9	5	55705087	56724727	0.0321	rs40589	 3.04	rs2441132	 0.020750	-5.93	 0.4220	483	  6	enet	0.033	2.7e-08	 0.7480	0.454453
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DHFR_1Mwindow.wgt.RDat	DHFR	5	79422045	80450802	0.0267	rs6872530	-2.42	rs10067194	 0.010150	-4.51	-0.1650	501	  1	top1	0.01	0.0014	 0.1650	0.868944
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CTNNA1_1Mwindow.wgt.RDat	CTNNA1	5	137589114	138770723	0.0184	rs11745596	-1.86	rs13171173	 0.016855	-5.06	-0.8710	334	334	blup	0.017	4e-05	 1.2766	0.201749
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.WWC1_1Mwindow.wgt.RDat	WWC1	5	167218650	168399308	0.0246	rs11134480	 3.13	rs1460098	-0.000913	 4.58	 0.4040	674	674	blup	0.0029	0.056	-0.2924	0.769987
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.REEP5_1Mwindow.wgt.RDat	REEP5	5	111712082	112757924	0.0291	rs10477483	 2.91	rs374613	-0.001075	 3.52	-2.8470	485	485	blup	0.0092	0.0023	-0.8174	0.413709
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.BNIP1_1Mwindow.wgt.RDat	BNIP1	5	172071534	173091390	0.0331	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.011	0.00086	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CYFIP2_1Mwindow.wgt.RDat	CYFIP2	5	156193133	157322602	0.0335	rs17054294	-3.59	rs2862058	-0.000915	-3.36	-0.9310	530	530	blup	0.0019	0.099	 1.2413	0.214504
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PRR7-AS1_1Mwindow.wgt.RDat	PRR7-AS1	5	176364890	177374945	0.0621	rs2630762	-3.84	rs335434	 0.049348	 7.09	-3.5520	237	  1	top1	0.049	8.8e-12	-3.5520	0.000382
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PPIC_1Mwindow.wgt.RDat	PPIC	5	121858945	122872420	0.1203	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.097	6.9e-22	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GM2A_1Mwindow.wgt.RDat	GM2A	5	150132746	151150001	0.0730	rs17728338	 2.63	rs153445	 0.022261	 6.04	 1.3350	618	  2	enet	0.032	3.6e-08	 1.0584	0.289877
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.IQGAP2_1Mwindow.wgt.RDat	IQGAP2	5	75199110	76503957	0.0479	rs2174444	 3.07	rs11740038	 0.037599	-6.29	-0.1229	701	  1	top1	0.038	2.5e-09	 0.1229	0.902172
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GTF2H2_1Mwindow.wgt.RDat	GTF2H2	5	69831174	70863503	0.1461	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.073	8.3e-17	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LNPEP_1Mwindow.wgt.RDat	LNPEP	5	95771784	96873217	0.0574	rs17394413	 2.94	rs469876	 0.000360	-4.49	-0.1690	506	506	blup	0.015	0.00012	-0.1979	0.843112
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SNX24_1Mwindow.wgt.RDat	SNX24	5	121681308	122844900	0.0440	rs12520233	-2.60	rs304386	 0.001363	 4.58	-0.4296	507	507	blup	0.01	0.0012	-0.0818	0.934775
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TMEM232_1Mwindow.wgt.RDat	TMEM232	5	109255197	110562372	0.0277	rs10079247	-3.49	rs10062929	-0.000984	 4.11	-0.2360	424	  1	lasso	-0.00086	0.64	-0.2360	0.813433
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RAI14_1Mwindow.wgt.RDat	RAI14	5	34156433	35332717	0.0418	rs1604421	 2.66	rs3903972	-0.000975	 5.99	 0.0128	500	  1	lasso	0.092	5.4e-21	 0.0128	0.989776
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RICTOR_1Mwindow.wgt.RDat	RICTOR	5	38438022	39574501	0.0332	rs358515	 2.93	rs1393109	 0.000207	 3.45	 0.6489	495	495	blup	0.0056	0.014	 1.4757	0.140022
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GPR150_1Mwindow.wgt.RDat	GPR150	5	94455791	95457846	0.0443	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0036	0.039	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SCGB3A2_1Mwindow.wgt.RDat	SCGB3A2	5	146758274	147761754	0.0694	rs1432845	-2.69	rs2250145	 0.019654	-4.59	 0.4120	386	386	blup	0.021	6e-06	-2.2043	0.027503
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SLC12A7_1Mwindow.wgt.RDat	SLC12A7	5	550499	1612178	0.0656	rs2277007	-2.36	rs10044441	 0.002074	 4.23	-0.4910	387	387	blup	0.0063	0.0097	-1.3074	0.191089
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GAPT_1Mwindow.wgt.RDat	GAPT	5	57287262	58292917	0.0288	rs7735334	-3.24	rs17712820	 0.015183	-5.28	 1.7578	525	  1	top1	0.015	0.00012	-1.7578	0.078786
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RASGRF2-AS1_1Mwindow.wgt.RDat	RASGRF2-AS1	5	79743512	80756726	0.0591	rs6872530	-2.42	rs2277034	-0.001016	 5.29	-0.3680	474	  1	top1	-0.001	0.77	-0.3680	0.712873
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ARHGAP26-IT1_1Mwindow.wgt.RDat	ARHGAP26-IT1	5	142072065	143073731	0.1059	rs17400549	 3.94	rs10053874	-0.001054	 5.43	-0.7566	502	502	blup	-7.6e-05	0.33	-0.8534	0.393460
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FBN2_1Mwindow.wgt.RDat	FBN2	5	127093601	128373938	0.0193	rs12186943	 3.02	rs4557470	 0.012633	 5.33	-0.3960	516	516	blup	0.018	2.9e-05	-0.3660	0.714358
