PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.MMAA_1Mwindow.wgt.RDat	MMAA	4	146040537	147081185	0.0312	rs11545157	-21.75	rs6842568	-0.001060	 3.85	 1.951	338	338	blup	0.00017	0.28	 3.0427	2.34e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IL21_1Mwindow.wgt.RDat	IL21	4	123031263	124042221	0.0376	NA	    NA	NA	       NA	   NA	    NA	  0	  0	enet	-0.00099	0.78	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LAP3_1Mwindow.wgt.RDat	LAP3	4	17078821	18109593	0.0526	rs17499929	 -4.47	rs4479701	 0.059618	 7.66	-4.005	430	  1	top1	0.06	2.8e-14	-4.0050	6.20e-05
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.KLHL8_1Mwindow.wgt.RDat	KLHL8	4	87581255	88641770	0.0252	rs4693802	-12.36	rs7690165	-0.000271	 3.63	 2.594	400	400	blup	0.013	0.00026	 7.2578	3.93e-13
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.EVC2_1Mwindow.wgt.RDat	EVC2	4	5064166	6211275	0.0534	rs6446401	  2.95	rs3815189	-0.000998	 3.39	-0.643	736	736	blup	0.00016	0.28	 0.6760	4.99e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ARHGEF38_1Mwindow.wgt.RDat	ARHGEF38	4	105973777	107102071	0.9776	rs7655876	  6.07	rs17036530	-0.001056	 4.98	 0.176	421	 14	lasso	8e-05	0.3	-2.4401	1.47e-02
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SNHG8_1Mwindow.wgt.RDat	SNHG8	4	118699917	119700978	0.0423	rs11728902	  2.75	rs1523742	 0.029035	 6.19	-0.164	277	  1	top1	0.029	1.1e-07	-0.1640	8.70e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.HPSE_1Mwindow.wgt.RDat	HPSE	4	83713614	84756306	0.0373	rs6830527	 -4.86	rs6535462	 0.008898	-4.33	-0.468	317	317	blup	0.017	5e-05	 0.0946	9.25e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ADD1_1Mwindow.wgt.RDat	ADD1	4	2345571	3431789	0.0394	rs762864	 -4.04	rs3021148	 0.001382	-3.20	-1.311	404	404	blup	0.017	4.4e-05	 0.0363	9.71e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.AFAP1_1Mwindow.wgt.RDat	AFAP1	4	7260440	8441588	0.0617	NA	    NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.043	8.6e-11	     NA	      NA
