PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MTUS1_1Mwindow.wgt.RDat	MTUS1	8	17001311	18159030	0.14089	rs2245183	-3.89	rs17125140	 0.043976	  7.72	  0.3540	948	  5	enet	0.068	1.1e-16	  0.2706	7.87e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MTDH_1Mwindow.wgt.RDat	MTDH	8	98156412	99242488	0.03840	NA	   NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.016	4e-05	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NEIL2_1Mwindow.wgt.RDat	NEIL2	8	11127219	12144854	0.05418	rs11250141	-2.98	rs10503424	 0.012657	  4.41	 -0.7868	458	458	blup	0.014	0.00015	  0.2311	8.17e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BLK_1Mwindow.wgt.RDat	BLK	8	10851896	11922108	0.04909	rs11250141	-2.98	rs922483	 0.027550	 -6.22	  0.8763	622	  1	top1	0.028	1.2e-07	 -0.8763	3.81e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NBN_1Mwindow.wgt.RDat	NBN	8	90445559	91496895	0.02395	rs2735385	-3.68	rs419181	 0.000785	 -4.62	 -0.9955	383	383	blup	0.0046	0.02	 -2.3212	2.03e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PVT1_1Mwindow.wgt.RDat	PVT1	8	128306779	129613499	0.16825	rs2608053	 5.73	rs7460502	 0.128979	 11.09	  0.1186	754	  1	top1	0.13	4.3e-31	  0.1186	9.06e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ERICH1_1Mwindow.wgt.RDat	ERICH1	8	64746	1181224	0.18385	rs17738513	 3.10	rs1669681	 0.140157	-12.02	  1.3131	573	  9	enet	0.17	8.1e-41	 -1.0781	2.81e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PDE7A_1Mwindow.wgt.RDat	PDE7A	8	66126569	67254299	0.06941	rs11781358	 2.82	rs7008671	 0.057138	  7.78	 -1.5657	404	  1	top1	0.057	2.8e-14	 -1.5657	1.17e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EMC2_1Mwindow.wgt.RDat	EMC2	8	108955853	110001425	0.03519	rs17405978	-2.51	rs16877095	 0.006246	  4.18	 -2.4472	362	  6	enet	0.0083	0.0026	 -2.0194	4.34e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.AZIN1_1Mwindow.wgt.RDat	AZIN1	8	103338530	104376428	0.03571	rs13274948	 3.64	rs1434235	 0.009158	 -3.67	 -1.3967	524	524	blup	0.019	1e-05	 -0.2325	8.16e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TRIQK_1Mwindow.wgt.RDat	TRIQK	8	93395762	94478372	0.07142	rs482619	 3.66	rs7016705	 0.046351	  7.12	 -0.2300	406	  1	top1	0.046	7.6e-12	 -0.2300	8.18e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MINCR_1Mwindow.wgt.RDat	MINCR	8	143862325	144863870	0.02756	rs4873802	-5.39	rs12674761	 0.036949	  6.12	 -3.6295	381	  1	top1	0.037	9.7e-10	 -3.6295	2.84e-04
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RAD54B_1Mwindow.wgt.RDat	RAD54B	8	94884188	95987343	0.01867	rs896854	 6.99	rs10956911	 0.019155	  4.92	  1.8171	520	  1	top1	0.019	9.1e-06	  1.8171	6.92e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.HMBOX1_1Mwindow.wgt.RDat	HMBOX1	8	28247912	29410787	0.25080	rs7004667	-3.38	rs1487969	 0.391048	-16.63	  1.4303	451	  1	top1	0.39	1.7e-106	 -1.4303	1.53e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CPQ_1Mwindow.wgt.RDat	CPQ	8	97157470	98655729	0.07047	rs2514530	-4.02	rs2651447	 0.062855	 -7.80	 -0.2153	616	  1	top1	0.063	1.4e-15	  0.2153	8.30e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FSBP_1Mwindow.wgt.RDat	FSBP	8	94939944	95949172	0.03902	NA	   NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.037	1.2e-09	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FUT10_1Mwindow.wgt.RDat	FUT10	8	32728342	33830664	0.07714	rs754437	-3.39	rs10097936	 0.076565	  9.30	 -3.0199	254	  1	enet	0.08	1.8e-19	 -2.4493	1.43e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC01606_1Mwindow.wgt.RDat	LINC01606	8	57630835	58645513	0.01940	rs13267137	 2.29	rs16921345	 0.009087	  7.50	  0.5285	397	  1	top1	0.0091	0.0017	  0.5285	5.97e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PHF20L1_1Mwindow.wgt.RDat	PHF20L1	8	133287634	134361052	0.02362	rs4736631	 4.24	rs864898	 0.006971	 -4.41	  2.9856	673	673	blup	0.01	0.0011	 -1.9027	5.71e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BIN3_1Mwindow.wgt.RDat	BIN3	8	21977931	23026634	0.02924	rs2241260	-4.70	rs1545837	 0.003241	  5.15	  0.1922	499	499	blup	0.0045	0.021	  0.7489	4.54e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.EEF1D_1Mwindow.wgt.RDat	EEF1D	8	144161898	145179585	0.09065	NA	   NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.045	1.2e-11	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ARHGEF10_1Mwindow.wgt.RDat	ARHGEF10	8	1272092	2406807	0.21420	rs4242524	-3.53	rs7007884	 0.116568	 11.20	  0.1542	737	  1	lasso	0.12	2.3e-29	  0.1129	9.10e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LY6E-DT_1Mwindow.wgt.RDat	LY6E-DT	8	143563448	144599807	0.06151	rs7013633	-5.35	rs4596631	 0.036043	  6.64	 -0.2375	417	  1	top1	0.036	1.5e-09	 -0.2375	8.12e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ZC2HC1A_1Mwindow.wgt.RDat	ZC2HC1A	8	79078324	80132000	0.05091	rs10098207	-2.76	rs4739134	 0.033439	 -6.81	 -1.6738	331	  1	top1	0.033	5.9e-09	  1.6738	9.42e-02
