PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ICA1L_1Mwindow.wgt.RDat	ICA1L	2	203137899	204236489	0.0381	rs4675292	 3.07	rs11544338	 4.93e-02	  6.49	 0.4620	267	  1	top1	0.049	1.7e-12	 0.4620	0.644081
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPRM_1Mwindow.wgt.RDat	RPRM	2	153833852	154835276	0.2248	rs10196189	 3.32	rs7603221	 4.80e-02	  8.27	-0.9470	444	  4	enet	0.11	5.2e-26	-0.5528	0.580369
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.COX7A2L_1Mwindow.wgt.RDat	COX7A2L	2	42062699	43096097	0.0343	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.021	3.9e-06	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PAX8_1Mwindow.wgt.RDat	PAX8	2	113473574	114536498	0.0670	rs1191680	 2.53	rs11123172	 3.92e-02	 -6.43	-0.8750	486	  4	enet	0.043	3.6e-11	 0.7055	0.480529
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ASB18_1Mwindow.wgt.RDat	ASB18	2	236602102	237673049	0.1320	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	-0.00024	0.38	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SP140_1Mwindow.wgt.RDat	SP140	2	230590451	231677930	0.0640	rs9678598	-2.47	rs10498247	 1.43e-02	 -5.26	 1.2250	498	  7	enet	0.024	9.7e-07	 0.1615	0.871709
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM182_1Mwindow.wgt.RDat	TMEM182	2	102853394	103934138	0.0211	rs13004328	-2.88	rs3755267	-8.35e-04	  3.36	-0.1270	435	435	blup	0.013	0.00028	-0.0807	0.935697
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CCDC74B_1Mwindow.wgt.RDat	CCDC74B	2	130396860	131402685	0.0399	rs4146382	-1.42	rs7601871	-1.04e-03	  6.40	 0.2200	154	  1	lasso	-0.001	0.97	 0.2200	0.825871
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TSGA10_1Mwindow.wgt.RDat	TSGA10	2	99113724	100271429	0.0235	rs10496334	-2.56	rs6542864	 2.22e-02	 -5.66	 0.4330	340	  1	lasso	0.023	1.2e-06	 1.5210	0.128260
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNTG2_1Mwindow.wgt.RDat	SNTG2	2	446535	1871385	0.0322	rs867926	 3.00	rs4268954	 4.53e-04	 -3.75	 0.3080	691	  2	lasso	0.0098	0.0012	-0.3080	0.758082
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GALNT13_1Mwindow.wgt.RDat	GALNT13	2	154228435	155810689	0.0355	rs10196189	 3.32	rs2971906	-6.64e-04	  3.66	 1.1380	669	669	blup	-0.00028	0.39	 0.2051	0.837469
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01891_1Mwindow.wgt.RDat	LINC01891	2	234853234	235863239	0.0512	rs13411060	-3.36	rs4663414	 3.05e-02	  5.75	 1.0130	629	  1	top1	0.031	2.7e-08	 1.0130	0.311060
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACYP2_1Mwindow.wgt.RDat	ACYP2	2	53698250	55032437	0.0722	rs13417064	-2.72	rs10183655	 9.94e-02	-10.17	-0.5340	637	  1	top1	0.099	5.4e-24	 0.5340	0.593342
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DNAH6_1Mwindow.wgt.RDat	DNAH6	2	84243622	85546713	0.0151	rs17711242	-3.06	rs7579460	 1.52e-02	 -4.70	 0.0410	481	  1	top1	0.015	7.3e-05	-0.0410	0.967296
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PAX8-AS1_1Mwindow.wgt.RDat	PAX8-AS1	2	113493104	114524600	0.2211	rs1191680	 2.53	rs11123172	 2.24e-01	-14.79	-0.8893	465	  8	enet	0.23	9.2e-58	 1.0376	0.299476
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ARHGAP15_1Mwindow.wgt.RDat	ARHGAP15	2	143386988	145025921	0.0618	rs1490949	-2.43	rs2304700	 1.64e-03	 -4.80	-1.9820	545	545	blup	0.022	1.7e-06	 0.5052	0.613435
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RBM43_1Mwindow.wgt.RDat	RBM43	2	151604454	152618377	0.0384	rs17796869	 2.70	rs2218880	 4.01e-02	 -6.63	 0.9380	457	  1	top1	0.04	1.9e-10	-0.9380	0.348244
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LBH_1Mwindow.wgt.RDat	LBH	2	29954400	30982894	0.0380	rs10203090	 3.08	rs829689	-2.71e-04	 -4.47	-1.1210	509	509	blup	0.01	0.0011	 0.6295	0.529049
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ALMS1_1Mwindow.wgt.RDat	ALMS1	2	73112886	74337046	0.0252	rs6755318	 2.60	rs7573275	 1.36e-02	  5.40	 0.1200	380	380	blup	0.019	1.3e-05	-0.6865	0.492395
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CEBPZOS_1Mwindow.wgt.RDat	CEBPZOS	2	36923639	37943336	0.0435	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.035	2.6e-09	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PSD4_1Mwindow.wgt.RDat	PSD4	2	113431548	114466968	0.0336	rs1191680	 2.53	rs3791336	 3.47e-03	  3.98	-1.7420	459	459	blup	0.0046	0.019	 0.0864	0.931150
