PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FRY_1Mwindow.wgt.RDat	FRY	13	32105911	33373262	0.0695	rs731414	 -8.73	rs12871982	 3.15e-02	  6.07	-3.933	530	  4	enet	0.042	9.1e-11	-4.3854	1.16e-05
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DNAJC15_1Mwindow.wgt.RDat	DNAJC15	13	43097722	44188349	0.3752	rs9525777	 -4.08	rs17553284	 5.23e-01	-22.63	 0.013	624	  3	enet	0.53	9.3e-161	-0.0787	9.37e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TUSC8_1Mwindow.wgt.RDat	TUSC8	13	44474386	45480120	0.6220	rs4245331	 -3.14	rs17600726	-1.02e-03	  6.74	 0.176	432	  6	lasso	-0.00099	0.84	 2.3532	1.86e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TPP2_1Mwindow.wgt.RDat	TPP2	13	102749336	103832308	0.0311	rs7336551	 -3.33	rs660236	 2.10e-03	 -4.32	-3.195	700	  4	lasso	0.011	0.00075	 1.1094	2.67e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SUCLA2_1Mwindow.wgt.RDat	SUCLA2	13	48016791	49075409	0.0262	rs9526370	 -3.51	rs9534909	 2.07e-02	  5.13	 1.341	375	375	blup	0.023	1.1e-06	 0.7890	4.30e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.COMMD6_1Mwindow.wgt.RDat	COMMD6	13	75599350	76623575	0.1702	rs9573570	 -3.67	rs6562904	 2.74e-01	-16.42	-1.514	545	  1	top1	0.27	1.4e-69	 1.5140	1.30e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RGCC_1Mwindow.wgt.RDat	RGCC	13	41531686	42545007	0.0920	rs2772179	  4.50	rs4310731	 1.83e-02	  6.35	-4.397	322	322	blup	0.071	2.3e-17	-3.7239	1.96e-04
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PDS5B_1Mwindow.wgt.RDat	PDS5B	13	32660589	33852157	0.0396	rs731414	 -8.73	rs597860	 2.79e-02	  6.18	 2.387	647	  2	lasso	0.034	4.8e-09	 2.4026	1.63e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DOCK9_1Mwindow.wgt.RDat	DOCK9	13	98945683	100238948	0.0355	rs7326377	 -6.03	rs9300485	-7.49e-04	 -3.78	 2.794	759	759	blup	0.012	0.00037	-4.1081	3.99e-05
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RASA3_1Mwindow.wgt.RDat	RASA3	13	114247194	115398098	0.0235	rs4150729	 -6.67	rs7317882	 6.27e-03	 -5.00	 2.226	246	246	blup	0.011	0.00075	-1.7407	8.17e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GRTP1_1Mwindow.wgt.RDat	GRTP1	13	113478478	114518463	0.0458	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.038	7.3e-10	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GTF3A_1Mwindow.wgt.RDat	GTF3A	13	27498756	28509960	0.0808	rs9554090	 -4.34	rs7988412	 7.93e-02	 -8.47	-1.103	542	  1	top1	0.079	2.4e-19	 1.1030	2.70e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CKAP2_1Mwindow.wgt.RDat	CKAP2	13	52529613	53550762	0.0424	rs9536320	  1.99	rs7333451	 2.75e-02	  4.10	 1.103	373	  1	top1	0.028	1.2e-07	 1.1030	2.70e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYO16_1Mwindow.wgt.RDat	MYO16	13	108748253	110360353	0.3032	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.2	4.2e-50	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPATA13_1Mwindow.wgt.RDat	SPATA13	13	24053941	25381207	0.0365	rs9580929	  3.83	rs9511172	 1.19e-02	  5.34	 0.994	860	 15	enet	0.026	2.5e-07	 1.4176	1.56e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RNASEH2B-AS1_1Mwindow.wgt.RDat	RNASEH2B-AS1	13	50956514	51984848	0.0404	rs2761843	 -5.94	rs2441	 3.06e-02	 -5.59	-0.025	531	  1	top1	0.031	2.5e-08	 0.0250	9.80e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LMO7-AS1_1Mwindow.wgt.RDat	LMO7-AS1	13	75678836	76710130	0.0853	rs9573570	 -3.67	rs9593109	 4.47e-02	  7.36	-2.597	561	  1	top1	0.045	1.8e-11	-2.5970	9.40e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TBC1D4_1Mwindow.wgt.RDat	TBC1D4	13	75357639	76556305	0.1118	rs9573570	 -3.67	rs2297208	 6.33e-02	 -7.92	-1.514	564	  3	lasso	0.088	2.9e-21	 2.0872	3.69e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IFT88_1Mwindow.wgt.RDat	IFT88	13	20641296	21765583	0.0340	rs4770101	  2.63	rs9509301	 2.37e-02	  5.00	 0.228	544	  1	top1	0.024	8.8e-07	 0.2280	8.20e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GAS6-AS1_1Mwindow.wgt.RDat	GAS6-AS1	13	114018583	115045814	0.1477	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.11	3.7e-26	     NA	      NA
