PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.LINC02610_1Mwindow.wgt.RDat	LINC02610	2	238633754	239640318	0.0268	rs7559272	-3.97	rs1510514	 7.61e-05	 4.28	 0.498	459	459	blup	0.001	0.16	-1.369	0.1710
gdT	RA_only/gdT_5pcs_all/gdT.RBM43_1Mwindow.wgt.RDat	RBM43	2	151604454	152618377	0.0172	rs1554372	-3.24	rs4665150	 1.57e-02	-5.06	 0.334	457	  1	top1	0.016	6.8e-05	-0.334	0.7384
gdT	RA_only/gdT_5pcs_all/gdT.TLX2_1Mwindow.wgt.RDat	TLX2	2	74241577	75244275	0.0496	NA	   NA	NA	       NA	   NA	    NA	295	  0	top1	-0.00075	0.59	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.IL1R1_1Mwindow.wgt.RDat	IL1R1	2	102186850	103296334	0.0715	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.17	4e-40	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.NBAS_1Mwindow.wgt.RDat	NBAS	2	14807040	16201458	0.0320	rs2544535	-3.06	rs1529404	 1.20e-04	 3.28	 1.677	624	624	blup	0.0036	0.036	-0.280	0.7798
gdT	RA_only/gdT_5pcs_all/gdT.MZT2A_1Mwindow.wgt.RDat	MZT2A	2	131741533	132749970	0.0231	rs6430791	 1.77	rs12469056	 2.20e-02	 5.27	-0.127	135	  1	top1	0.022	2.8e-06	-0.127	0.8989
gdT	RA_only/gdT_5pcs_all/gdT.PXDN_1Mwindow.wgt.RDat	PXDN	2	1135659	2248287	0.0436	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	-0.00024	0.38	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.C2orf27A_1Mwindow.wgt.RDat	C2orf27A	2	131940072	133024977	0.0404	rs6430791	 1.77	rs11674634	 1.41e-02	-4.40	-0.206	 90	 90	blup	0.016	7.2e-05	 0.245	0.8063
gdT	RA_only/gdT_5pcs_all/gdT.LINC01891_1Mwindow.wgt.RDat	LINC01891	2	234853234	235863239	0.0397	rs6708323	 3.19	rs2380247	 1.99e-04	-3.53	 0.788	629	629	blup	0.014	0.00018	-0.697	0.4861
gdT	RA_only/gdT_5pcs_all/gdT.NMI_1Mwindow.wgt.RDat	NMI	2	151626984	152646182	0.0281	rs1554372	-3.24	rs289903	 1.43e-02	 4.86	 0.216	456	  1	top1	0.014	0.00014	 0.216	0.8290
gdT	RA_only/gdT_5pcs_all/gdT.BIN1_1Mwindow.wgt.RDat	BIN1	2	127305599	128364730	0.0362	rs1866236	-3.21	rs1060743	 7.77e-03	 4.96	 1.227	477	  1	enet	0.012	0.00037	 1.227	0.2198
gdT	RA_only/gdT_5pcs_all/gdT.MOGS_1Mwindow.wgt.RDat	MOGS	2	74188184	75192509	0.0372	rs3771729	 2.65	rs205645	 8.74e-03	-3.86	-1.151	300	  1	lasso	0.0099	0.0013	 0.257	0.7972
gdT	RA_only/gdT_5pcs_all/gdT.STK39_1Mwindow.wgt.RDat	STK39	2	168310532	169604105	0.0537	rs2601053	 3.63	rs17643505	-6.53e-04	 3.37	-0.380	590	590	blup	0.015	9.2e-05	-0.211	0.8326
gdT	RA_only/gdT_5pcs_all/gdT.LINC00211_1Mwindow.wgt.RDat	LINC00211	2	37553390	38603006	0.2242	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	-0.00055	0.49	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.ITM2C_1Mwindow.wgt.RDat	ITM2C	2	231228900	232243969	0.0353	rs11895690	-2.89	rs6728193	-8.47e-04	-3.88	 0.528	468	468	blup	0.0085	0.0026	-1.338	0.1810
gdT	RA_only/gdT_5pcs_all/gdT.MAP3K2_1Mwindow.wgt.RDat	MAP3K2	2	127556244	128646041	0.0553	rs1866236	-3.21	rs10180750	-4.78e-04	 4.07	-0.133	475	  5	enet	0.0048	0.019	-0.161	0.8721
gdT	RA_only/gdT_5pcs_all/gdT.SPP2_1Mwindow.wgt.RDat	SPP2	2	234459346	235485778	0.0672	rs6708323	 3.19	rs17868304	-1.03e-03	 5.04	-0.184	784	  1	top1	-0.001	0.86	-0.184	0.8540
gdT	RA_only/gdT_5pcs_all/gdT.ANKRD44-AS1_1Mwindow.wgt.RDat	ANKRD44-AS1	2	197562715	198563997	0.0162	rs10804081	-2.32	rs10931779	 2.87e-02	 5.28	-0.227	336	  1	top1	0.029	9.6e-08	-0.227	0.8204
gdT	RA_only/gdT_5pcs_all/gdT.C2orf16_1Mwindow.wgt.RDat	C2orf16	2	27260253	28305589	0.1792	NA	   NA	NA	       NA	   NA	    NA	285	  0	top1	-0.0011	0.93	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.GALNT5_1Mwindow.wgt.RDat	GALNT5	2	157614217	158675003	0.0991	rs1481372	-2.74	rs6707470	-7.47e-04	 3.69	-1.235	242	242	blup	0.00022	0.27	-0.485	0.6278
gdT	RA_only/gdT_5pcs_all/gdT.KLHL41_1Mwindow.wgt.RDat	KLHL41	2	169866212	170882768	0.0405	NA	   NA	NA	       NA	   NA	    NA	433	  0	lasso	0.0057	0.012	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.OTX1_1Mwindow.wgt.RDat	OTX1	2	62776870	63784966	0.3176	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	-3.1e-06	0.32	    NA	    NA
