PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.NR2F6_1Mwindow.wgt.RDat	NR2F6	19	16842692	17856728	0.0351	rs7246865	  8.87	rs7259292	 9.43e-04	  4.30	 0.0966	364	364	blup	0.0091	0.0018	 0.6941	0.487649
B_naive	RA_only/B_naive_5pcs_all/B_naive.DIRAS1_1Mwindow.wgt.RDat	DIRAS1	19	2214565	3221370	0.0448	rs3936139	  3.93	rs2110120	 1.48e-02	  5.00	 0.1660	330	  1	top1	0.015	9e-05	 0.1660	0.868157
B_naive	RA_only/B_naive_5pcs_all/B_naive.LRRC25_1Mwindow.wgt.RDat	LRRC25	19	18001947	19008432	0.0350	rs17724992	 -5.56	rs4808801	 2.24e-02	 -4.77	 1.8700	366	  1	top1	0.022	1.8e-06	-1.8700	0.061484
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS9_1Mwindow.wgt.RDat	RPS9	19	54204726	55211515	0.1550	rs912735	 -3.60	rs17305311	 7.54e-02	 -8.64	-2.6015	384	  3	lasso	0.12	4.4e-29	-2.8834	0.003934
B_naive	RA_only/B_naive_5pcs_all/B_naive.NOP53_1Mwindow.wgt.RDat	NOP53	19	47748803	48760315	0.0285	rs2042286	  3.35	rs3815751	 3.18e-03	  4.54	 2.7455	414	414	blup	0.0078	0.0034	 2.0308	0.042279
B_naive	RA_only/B_naive_5pcs_all/B_naive.RINL_1Mwindow.wgt.RDat	RINL	19	38858470	39868915	0.0244	rs7250361	 -3.17	rs7250349	 4.52e-03	  3.86	-1.6343	387	387	blup	0.0085	0.0024	-0.8724	0.383010
B_naive	RA_only/B_naive_5pcs_all/B_naive.OCEL1_1Mwindow.wgt.RDat	OCEL1	19	16837035	17840028	0.0295	rs7246865	  8.87	rs2279002	 1.03e-02	 -4.38	-0.6491	361	361	blup	0.011	0.00073	 2.8140	0.004893
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCNP_1Mwindow.wgt.RDat	CCNP	19	40228115	41232596	0.0344	rs11670988	 -3.10	rs339512	-1.04e-03	  4.20	-0.4638	379	379	blup	0.0067	0.0062	 0.2884	0.773031
B_naive	RA_only/B_naive_5pcs_all/B_naive.ARRDC5_1Mwindow.wgt.RDat	ARRDC5	19	4390449	5402908	0.0433	rs262566	  5.85	rs2656938	 2.25e-02	  5.79	-1.2626	382	  1	top1	0.023	1.7e-06	-1.2626	0.206733
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF208_1Mwindow.wgt.RDat	ZNF208	19	21622617	22693745	0.0274	rs7257584	 -4.28	rs12980897	-2.25e-06	  3.15	-3.4575	307	307	blup	0.0062	0.0084	-2.0221	0.043164
B_naive	RA_only/B_naive_5pcs_all/B_naive.CD37_1Mwindow.wgt.RDat	CD37	19	49338663	50343863	0.0239	rs4802566	  4.43	rs7248378	 2.67e-02	 -5.42	-0.4098	336	  1	top1	0.027	2e-07	 0.4098	0.681953
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS11_1Mwindow.wgt.RDat	RPS11	19	49499691	50502965	0.0246	rs4802566	  4.43	rs739349	 2.18e-02	 -5.71	-0.9156	342	  1	top1	0.022	2.5e-06	 0.9156	0.359877
B_naive	RA_only/B_naive_5pcs_all/B_naive.PGLS-DT_1Mwindow.wgt.RDat	PGLS-DT	19	17099799	18122698	0.0545	rs7246865	  8.87	rs265558	 1.23e-03	 -3.58	 0.5814	388	388	blup	0.013	0.00018	 3.6449	0.000268
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS5_1Mwindow.wgt.RDat	RPS5	19	58398636	59406171	0.1249	rs4801591	  2.50	rs731835	 1.18e-01	-10.67	-1.1797	290	  1	top1	0.12	2.1e-28	 1.1797	0.238120
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF846_1Mwindow.wgt.RDat	ZNF846	19	9359295	10396836	0.0166	rs10409243	  5.49	rs8101075	-1.03e-03	  3.76	-0.5339	270	270	blup	0.0041	0.026	-0.7590	0.447827
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF749_1Mwindow.wgt.RDat	ZNF749	19	57446693	58458469	0.0743	rs9676859	  3.55	rs11665675	 5.75e-02	 -7.93	 1.6275	484	  1	top1	0.057	2.8e-14	-1.6275	0.103631
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF266_1Mwindow.wgt.RDat	ZNF266	19	9023105	10046249	0.0256	rs16979286	  2.89	rs11672602	 1.60e-02	 -4.41	-1.2257	311	311	blup	0.018	1.9e-05	 0.5501	0.582255
B_naive	RA_only/B_naive_5pcs_all/B_naive.NLRP2_1Mwindow.wgt.RDat	NLRP2	19	54976652	56012506	0.0347	rs912735	 -3.60	rs12981732	 3.09e-03	  3.97	 1.5633	452	452	blup	0.0086	0.0023	 1.1056	0.268907
B_naive	RA_only/B_naive_5pcs_all/B_naive.IGFLR1_1Mwindow.wgt.RDat	IGFLR1	19	35729702	36733353	0.0344	rs17882184	  4.22	rs2871921	 2.19e-02	 -5.26	-0.6209	406	  1	top1	0.022	2.4e-06	 0.6209	0.534665
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01480_1Mwindow.wgt.RDat	LINC01480	19	41541860	42543266	0.0475	rs2301236	 -2.45	rs7255742	 3.78e-03	  4.44	 0.1616	289	289	blup	0.021	4.4e-06	 0.0960	0.923559
B_naive	RA_only/B_naive_5pcs_all/B_naive.PTPRH_1Mwindow.wgt.RDat	PTPRH	19	55192615	56220869	0.0637	rs912735	 -3.60	rs10416488	-1.43e-04	  5.89	-1.0567	427	  1	top1	-0.00014	0.35	-1.0567	0.290649
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF667-AS1_1Mwindow.wgt.RDat	ZNF667-AS1	19	56489243	57506806	0.0524	rs11671095	 -3.53	rs960996	 2.62e-02	  6.24	-0.0628	447	  6	enet	0.035	2.9e-09	 0.5181	0.604417
B_naive	RA_only/B_naive_5pcs_all/B_naive.FCHO1_1Mwindow.wgt.RDat	FCHO1	19	17358553	18399370	0.0295	rs273266	  3.28	rs10409801	 4.01e-03	  3.70	 1.1077	406	406	blup	0.0078	0.0035	 0.7235	0.469353
B_naive	RA_only/B_naive_5pcs_all/B_naive.SIGLEC5_1Mwindow.wgt.RDat	SIGLEC5	19	51614213	52633654	0.0651	rs17717333	 -2.78	rs8110247	 1.70e-03	  4.14	-0.8150	558	558	blup	0.0069	0.0056	-0.2221	0.824220
B_naive	RA_only/B_naive_5pcs_all/B_naive.GEMIN7_1Mwindow.wgt.RDat	GEMIN7	19	45078885	46094776	0.0402	rs7412	-16.90	rs3212986	 1.65e-02	  3.03	-2.4555	364	  1	top1	0.017	3.7e-05	-2.4555	0.014069
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS16_1Mwindow.wgt.RDat	RPS16	19	39423777	40426589	0.0283	rs7250361	 -3.17	rs484379	 1.73e-02	  5.95	-1.5219	430	  1	top1	0.017	2.5e-05	-1.5219	0.128034
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPL28_1Mwindow.wgt.RDat	RPL28	19	55397300	56414710	0.1444	rs575274	 -2.86	rs17700376	 1.53e-01	-12.24	 2.8364	504	  2	enet	0.15	5.4e-37	-2.8222	0.004770
B_naive	RA_only/B_naive_5pcs_all/B_naive.SIGLEC10-AS1_1Mwindow.wgt.RDat	SIGLEC10-AS1	19	51418978	52421451	0.0404	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.14	1.6e-34	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.CAPN12_1Mwindow.wgt.RDat	CAPN12	19	38720832	39735114	0.0260	rs7250361	 -3.17	rs35335944	 6.65e-04	 -3.63	 0.2261	401	401	blup	0.0069	0.0058	 0.7590	0.447860
B_naive	RA_only/B_naive_5pcs_all/B_naive.FXYD5_1Mwindow.wgt.RDat	FXYD5	19	35145638	36160784	0.0469	rs2267586	  3.64	rs916694	 1.71e-02	 -4.54	-0.8070	433	  1	lasso	0.024	9.4e-07	 1.5367	0.124367
B_naive	RA_only/B_naive_5pcs_all/B_naive.CLEC4G_1Mwindow.wgt.RDat	CLEC4G	19	7293843	8296996	0.0623	rs11880337	  7.31	rs1010046	 2.77e-02	  6.32	 1.8977	365	  1	top1	0.028	1.2e-07	 1.8977	0.057736
B_naive	RA_only/B_naive_5pcs_all/B_naive.LGALS4_1Mwindow.wgt.RDat	LGALS4	19	38792314	39803585	0.0276	rs7250361	 -3.17	rs10424620	 4.28e-03	  4.32	 0.7599	394	394	blup	0.0058	0.01	 0.5262	0.598769
B_naive	RA_only/B_naive_5pcs_all/B_naive.SAFB_1Mwindow.wgt.RDat	SAFB	19	5123094	6168489	0.0419	rs2620821	  4.09	rs708686	 5.49e-03	  3.42	 0.0662	391	391	blup	0.013	0.00028	-1.7239	0.084730
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF302_1Mwindow.wgt.RDat	ZNF302	19	34668583	35677301	0.0353	rs13344592	 -3.04	rs17718247	-3.87e-05	  3.37	-1.9202	327	  1	enet	0.0081	0.003	 0.6848	0.493470
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF85_1Mwindow.wgt.RDat	ZNF85	19	20606057	21633503	0.0275	rs2968084	 -4.98	rs11085405	 3.57e-02	  6.59	 0.3804	233	  1	top1	0.036	2e-09	 0.3804	0.703649
B_naive	RA_only/B_naive_5pcs_all/B_naive.SERTAD3_1Mwindow.wgt.RDat	SERTAD3	19	40446751	41450242	0.0267	rs10406801	 -3.60	rs4150990	 6.63e-03	 -4.13	 1.8232	370	  4	enet	0.0087	0.0021	-1.1997	0.230240
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF559_1Mwindow.wgt.RDat	ZNF559	19	8934448	9956547	0.0208	rs16979286	  2.89	rs8100230	-4.18e-04	 -3.11	 1.3417	324	324	blup	0.0044	0.022	-1.6262	0.103901
