PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.SPSB1_1Mwindow.wgt.RDat	SPSB1	1	8852953	9929591	0.1219	rs9435168	  4.35	rs4465231	 1.21e-01	  9.402	-2.3840	418	  1	top1	0.12	3.8e-29	-2.3840	1.71e-02
NK	RA_only/NK_5pcs_all/NK.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.1231	rs1957881	  3.22	rs6691485	 6.92e-02	  8.845	-0.1970	459	  3	enet	0.11	3.6e-26	-0.3709	7.11e-01
NK	RA_only/NK_5pcs_all/NK.HMGN2_1Mwindow.wgt.RDat	HMGN2	1	26298931	27303133	0.0327	rs6598860	  4.37	rs11584995	 1.52e-02	  5.292	-2.9820	352	  2	lasso	0.018	1.8e-05	-1.3320	1.83e-01
NK	RA_only/NK_5pcs_all/NK.PYHIN1_1Mwindow.wgt.RDat	PYHIN1	1	158401342	159446849	0.1389	rs12042284	  3.09	rs2325704	 1.16e-01	-10.757	-1.7960	486	  7	enet	0.12	1e-28	 0.9173	3.59e-01
NK	RA_only/NK_5pcs_all/NK.MDM4_1Mwindow.wgt.RDat	MDM4	1	203985534	205027248	0.0383	rs1610399	  3.57	rs12039454	 1.98e-02	  5.161	 1.6970	608	608	blup	0.025	4.5e-07	 0.7905	4.29e-01
NK	RA_only/NK_5pcs_all/NK.NIBAN1_1Mwindow.wgt.RDat	NIBAN1	1	184260166	185443640	0.0348	rs977004	  4.62	rs7524825	 1.00e-02	 -4.751	 0.5220	490	  1	top1	0.01	0.001	-0.5220	6.02e-01
NK	RA_only/NK_5pcs_all/NK.LEPROT_1Mwindow.wgt.RDat	LEPROT	1	65386351	66401690	0.0246	rs17127247	 -3.11	rs10493377	 3.87e-02	  6.320	-0.3230	437	  1	top1	0.039	3.9e-10	-0.3230	7.47e-01
NK	RA_only/NK_5pcs_all/NK.AKR7A2_1Mwindow.wgt.RDat	AKR7A2	1	19129202	20138640	0.0313	rs11801111	  3.08	rs16862370	 2.86e-03	 -3.439	 0.3020	488	  1	top1	0.0029	0.052	-0.3020	7.63e-01
NK	RA_only/NK_5pcs_all/NK.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.3778	rs630505	 -3.29	rs654997	 2.17e-01	 14.520	-0.9810	566	  3	lasso	0.26	1.1e-64	 1.0548	2.92e-01
NK	RA_only/NK_5pcs_all/NK.GAS5_1Mwindow.wgt.RDat	GAS5	1	173333037	174338020	0.1000	rs6678064	 -3.54	rs11576174	 5.57e-02	  5.019	 0.9940	261	  1	top1	0.056	6.1e-14	 0.9940	3.20e-01
NK	RA_only/NK_5pcs_all/NK.CROCC_1Mwindow.wgt.RDat	CROCC	1	16748426	17799459	0.0253	rs1957881	  3.22	rs11585357	 7.99e-03	 -4.311	-1.1320	337	  1	top1	0.008	0.0031	 1.1320	2.58e-01
NK	RA_only/NK_5pcs_all/NK.DISC1_1Mwindow.wgt.RDat	DISC1	1	231262536	232677018	0.0319	rs7556035	 -2.99	rs6656071	 4.28e-03	 -4.653	-0.4060	757	  2	enet	0.0083	0.0026	 0.9788	3.28e-01
NK	RA_only/NK_5pcs_all/NK.FCER1A_1Mwindow.wgt.RDat	FCER1A	1	158753365	159777992	0.0305	rs1130864	  3.81	rs4656837	-9.91e-04	  3.593	 1.1390	438	438	blup	0.0012	0.15	 0.1291	8.97e-01
NK	RA_only/NK_5pcs_all/NK.FCGR2A_1Mwindow.wgt.RDat	FCGR2A	1	160975247	161989619	0.1054	rs10800309	  4.51	rs2099684	 4.69e-02	  7.453	 1.2700	432	  1	lasso	0.062	2.2e-15	 0.0370	9.70e-01
NK	RA_only/NK_5pcs_all/NK.PIK3R3_1Mwindow.wgt.RDat	PIK3R3	1	46005812	47140573	0.0165	rs7532468	  2.30	rs17102080	 6.42e-03	 -3.830	 0.3760	355	355	blup	0.0079	0.0032	-1.1908	2.34e-01
NK	RA_only/NK_5pcs_all/NK.PHLDA3_1Mwindow.wgt.RDat	PHLDA3	1	200933406	201938316	0.1236	rs11584383	 -6.29	rs10920207	 6.88e-02	  8.456	-1.1560	626	  1	lasso	0.073	7.9e-18	-1.1560	2.48e-01
NK	RA_only/NK_5pcs_all/NK.OR2T8_1Mwindow.wgt.RDat	OR2T8	1	247583554	248586454	0.1348	rs1151683	  3.15	rs7514184	 5.73e-02	  8.849	-0.1790	443	  1	top1	0.057	2.6e-14	-0.1790	8.58e-01
NK	RA_only/NK_5pcs_all/NK.LRRIQ3_1Mwindow.wgt.RDat	LRRIQ3	1	73991699	75163860	0.0494	rs41323947	  2.61	rs11806946	 5.42e-02	 -7.411	-0.3180	397	  1	top1	0.054	1.3e-13	 0.3180	7.50e-01
NK	RA_only/NK_5pcs_all/NK.CAP1_1Mwindow.wgt.RDat	CAP1	1	40005912	41038320	0.0345	rs12118846	  3.31	rs12059558	 4.37e-03	  3.968	-0.9210	397	397	blup	0.015	8e-05	-0.6735	5.01e-01
NK	RA_only/NK_5pcs_all/NK.CD164L2_1Mwindow.wgt.RDat	CD164L2	1	27205666	28209823	0.0112	NA	    NA	NA	       NA	     NA	     NA	  0	  0	lasso	-0.00079	0.63	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.TNFRSF4_1Mwindow.wgt.RDat	TNFRSF4	1	646720	1649533	0.0311	rs1240708	  3.69	rs12036216	-9.53e-04	 -4.162	 2.3260	144	  3	enet	0.0082	0.0027	 0.1042	9.17e-01
NK	RA_only/NK_5pcs_all/NK.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.0927	rs13374935	 -3.21	rs11211024	 7.89e-02	 -9.698	 1.5270	328	  4	lasso	0.09	8.7e-22	-1.5009	1.33e-01
NK	RA_only/NK_5pcs_all/NK.CD48_1Mwindow.wgt.RDat	CD48	1	160148536	161181612	0.0641	rs955371	 -5.51	rs1553456	 2.76e-02	  5.683	-0.5960	413	  1	top1	0.028	1.2e-07	-0.5960	5.51e-01
NK	RA_only/NK_5pcs_all/NK.ECE1-AS1_1Mwindow.wgt.RDat	ECE1-AS1	1	21119783	22126362	0.0412	rs829370	  3.67	rs12083062	 4.72e-03	  4.852	-1.7340	351	  1	lasso	0.0072	0.0046	-1.7340	8.29e-02
NK	RA_only/NK_5pcs_all/NK.COLGALT2_1Mwindow.wgt.RDat	COLGALT2	1	183398796	184506862	0.3555	rs10797964	  2.83	rs10797924	 1.78e-01	-13.093	 0.0370	533	  2	lasso	0.19	3.6e-45	-0.8086	4.19e-01
NK	RA_only/NK_5pcs_all/NK.PPIAL4D_1Mwindow.wgt.RDat	PPIAL4D	1	147701752	148702511	0.4766	rs2999617	 -1.32	rs2932505	-1.03e-03	 -0.889	-0.8770	 22	  1	top1	-0.001	0.93	 0.8770	3.80e-01
NK	RA_only/NK_5pcs_all/NK.MGST3_1Mwindow.wgt.RDat	MGST3	1	165100471	166125373	0.0809	rs10800098	  3.02	rs4147596	 7.30e-02	 -8.418	 0.3905	610	  1	top1	0.073	6.9e-18	-0.3905	6.96e-01
NK	RA_only/NK_5pcs_all/NK.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.2059	rs7523070	  3.13	rs2295367	 2.21e-01	-14.864	-2.6430	224	 13	enet	0.24	1.2e-58	 2.5414	1.10e-02
NK	RA_only/NK_5pcs_all/NK.PADI6_1Mwindow.wgt.RDat	PADI6	1	17198691	18228195	0.1349	rs1957881	  3.22	rs6695849	 1.31e-01	 11.370	-0.2700	478	  1	top1	0.13	1.4e-31	-0.2700	7.87e-01
NK	RA_only/NK_5pcs_all/NK.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.1495	rs6598860	  4.37	rs11577318	 1.80e-01	-13.313	 1.0310	391	 10	enet	0.2	5.1e-49	-1.0142	3.10e-01
NK	RA_only/NK_5pcs_all/NK.SLC1A7_1Mwindow.wgt.RDat	SLC1A7	1	53052855	54108310	0.0899	rs11206140	 -2.99	rs12568971	 2.85e-02	 -6.638	 0.4940	497	497	blup	0.056	4.6e-14	-0.8049	4.21e-01
NK	RA_only/NK_5pcs_all/NK.PHGDH_1Mwindow.wgt.RDat	PHGDH	1	119754557	120786838	0.0415	rs2641317	 -4.02	rs942835	 3.90e-02	  5.684	-1.6080	341	  1	top1	0.039	3.4e-10	-1.6080	1.08e-01
NK	RA_only/NK_5pcs_all/NK.MEAF6_1Mwindow.wgt.RDat	MEAF6	1	37455594	38480367	0.0305	rs11589893	 -3.66	rs7544462	 7.46e-03	 -3.508	 1.9840	433	433	blup	0.0085	0.0023	-0.7956	4.26e-01
NK	RA_only/NK_5pcs_all/NK.CCSAP_1Mwindow.wgt.RDat	CCSAP	1	228956762	229978794	0.0573	rs10753458	 -3.46	rs237819	 4.56e-02	  7.116	 0.2600	463	  1	top1	0.046	1.1e-11	 0.2600	7.95e-01
NK	RA_only/NK_5pcs_all/NK.EFCAB14_1Mwindow.wgt.RDat	EFCAB14	1	46640831	47684786	0.0191	rs7532468	  2.30	rs6680773	 5.36e-03	 -4.897	 0.9560	354	  1	top1	0.0054	0.013	-0.9560	3.39e-01
NK	RA_only/NK_5pcs_all/NK.LINC02608_1Mwindow.wgt.RDat	LINC02608	1	211886344	212958363	0.0449	rs6690208	 -4.21	rs11576437	 3.58e-02	  6.391	 0.1870	461	  1	top1	0.036	1.7e-09	 0.1870	8.52e-01
NK	RA_only/NK_5pcs_all/NK.S100A10_1Mwindow.wgt.RDat	S100A10	1	151455391	152466335	0.0608	rs11204894	 -5.06	rs2999526	 1.74e-02	  5.298	-0.7640	342	  1	top1	0.017	2.2e-05	-0.7640	4.45e-01
NK	RA_only/NK_5pcs_all/NK.PM20D1_1Mwindow.wgt.RDat	PM20D1	1	205297153	206319260	0.0531	rs949710	 -2.87	rs960603	 9.77e-03	 -5.258	 1.4820	356	356	blup	0.02	5.4e-06	-0.8822	3.78e-01
NK	RA_only/NK_5pcs_all/NK.GJA4_1Mwindow.wgt.RDat	GJA4	1	34758600	35761348	1.0000	NA	    NA	NA	       NA	     NA	     NA	  0	  0	enet	-0.00096	0.79	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.KIAA0040_1Mwindow.wgt.RDat	KIAA0040	1	174626122	175662123	0.0363	rs10489332	 -2.79	rs4650716	 2.92e-02	 -5.658	 0.2240	486	  2	lasso	0.032	1.1e-08	-0.3033	7.62e-01
