PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0582	rs7713317	  9.60	rs10044354	 0.050159	 7.74	 1.7762	501	  1	top1	0.05	2.9e-12	 1.7762	7.57e-02
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TSLP_1Mwindow.wgt.RDat	TSLP	5	109905760	110913724	0.0857	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.14	3.3e-32	     NA	      NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SGTB_1Mwindow.wgt.RDat	SGTB	5	64461755	65517936	0.0313	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0099	0.0014	     NA	      NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SEMA5A_1Mwindow.wgt.RDat	SEMA5A	5	8535145	10046187	0.0710	rs3798097	  3.49	rs916990	-0.001033	 4.19	 1.3103	866	  2	lasso	-5e-04	0.47	 1.2771	2.02e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0562	rs264758	-10.43	rs166329	 0.078158	 9.08	 0.0999	424	  1	lasso	0.08	7.9e-19	 0.0999	9.20e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.STING1_1Mwindow.wgt.RDat	STING1	5	138355118	139362343	0.0242	rs2336901	 11.01	rs356454	 0.009340	 4.06	 6.5833	249	  2	lasso	0.011	0.00091	 6.8934	5.45e-12
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FST_1Mwindow.wgt.RDat	FST	5	52276459	53282964	0.1445	rs6450136	  7.52	rs16881299	 0.082663	 4.92	 4.8354	448	  1	top1	0.083	2.1e-19	 4.8354	1.33e-06
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SLC34A1_1Mwindow.wgt.RDat	SLC34A1	5	176311435	177325849	0.0287	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0043	0.025	     NA	      NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ITGA2_1Mwindow.wgt.RDat	ITGA2	5	51785182	52890609	0.0333	rs6450136	  7.52	rs16876270	 0.013167	 5.77	-0.2271	611	  1	top1	0.013	0.00026	-0.2271	8.20e-01
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MIR3936HG_1Mwindow.wgt.RDat	MIR3936HG	5	131146969	132205608	0.0242	rs7705189	 22.42	rs253946	 0.001820	 3.61	-4.8389	425	425	blup	0.0066	0.0076	 5.6237	1.87e-08
