PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.FES_1Mwindow.wgt.RDat	FES	15	90927734	91939006	0.1403	rs12593759	 -6.63	rs1894400	 0.102905	-9.99	 3.4456	467	  1	top1	0.1	7.5e-25	-3.4456	5.70e-04
NK	RA_only/NK_5pcs_all/NK.RBPMS2_1Mwindow.wgt.RDat	RBPMS2	15	64532090	65567788	0.0851	rs4777499	  6.19	rs2249914	 0.090988	10.00	 5.8328	267	267	blup	0.095	4.9e-23	 5.8190	5.92e-09
NK	RA_only/NK_5pcs_all/NK.NOP10_1Mwindow.wgt.RDat	NOP10	15	34133920	35135337	0.0636	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.066	2.7e-16	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.SERF2_1Mwindow.wgt.RDat	SERF2	15	43569284	44588287	0.0274	rs481837	 11.09	rs28410121	 0.009259	-3.56	 1.8040	223	  1	top1	0.0093	0.0016	-1.8040	7.12e-02
NK	RA_only/NK_5pcs_all/NK.LINGO1-AS1_1Mwindow.wgt.RDat	LINGO1-AS1	15	77434106	78441582	0.4402	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00011	0.34	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.CEMIP_1Mwindow.wgt.RDat	CEMIP	15	80571711	81744112	0.0356	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.00011	0.29	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.IMP3_1Mwindow.wgt.RDat	IMP3	15	75431434	76432565	0.0213	rs4886670	 -4.69	rs11638974	-0.000875	-3.84	-3.3245	200	200	blup	0.005	0.015	 3.2515	1.15e-03
NK	RA_only/NK_5pcs_all/NK.RPS17_1Mwindow.wgt.RDat	RPS17	15	82705501	83709208	0.0385	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.038	4.7e-10	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.GCHFR_1Mwindow.wgt.RDat	GCHFR	15	40556266	41559906	0.1218	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.1	2.5e-24	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.CIB1_1Mwindow.wgt.RDat	CIB1	15	90273207	91308991	0.0655	rs12593759	 -6.63	rs11547962	 0.046773	-5.92	 1.2392	385	  1	top1	0.047	6.1e-12	-1.2392	2.15e-01
NK	RA_only/NK_5pcs_all/NK.LINC01579_1Mwindow.wgt.RDat	LINC01579	15	93939288	94943828	0.0261	rs8042094	 -3.26	rs4509969	-0.000818	 4.42	-0.6521	609	609	blup	0.0063	0.0077	-0.0866	9.31e-01
NK	RA_only/NK_5pcs_all/NK.ANXA2_1Mwindow.wgt.RDat	ANXA2	15	60139350	61190185	0.0973	rs339969	-10.62	rs12907068	 0.023084	 5.96	-3.2511	543	  3	enet	0.061	3.2e-15	-1.8151	6.95e-02
NK	RA_only/NK_5pcs_all/NK.NEO1_1Mwindow.wgt.RDat	NEO1	15	72844804	74097547	0.0616	rs4777568	  3.89	rs12909626	 0.010460	 4.55	-0.1596	366	366	blup	0.033	8.5e-09	 0.2062	8.37e-01
NK	RA_only/NK_5pcs_all/NK.PSTPIP1_1Mwindow.wgt.RDat	PSTPIP1	15	76787021	77829816	0.0418	rs1374201	 -7.75	rs11856084	 0.002402	 4.48	-7.5398	219	219	blup	0.017	2.8e-05	-2.4366	1.48e-02
NK	RA_only/NK_5pcs_all/NK.MPI_1Mwindow.wgt.RDat	MPI	15	74682383	75694560	0.0146	rs2289583	  5.23	rs11072517	 0.001524	-4.32	 2.9348	258	  1	top1	0.0015	0.12	-2.9348	3.34e-03
NK	RA_only/NK_5pcs_all/NK.RAD51-AS1_1Mwindow.wgt.RDat	RAD51-AS1	15	40485932	41487303	0.0346	rs6582	  4.65	rs957603	 0.029668	-6.37	-1.6257	290	  1	top1	0.03	4.1e-08	 1.6257	1.04e-01
NK	RA_only/NK_5pcs_all/NK.GABPB1-AS1_1Mwindow.wgt.RDat	GABPB1-AS1	15	50146371	51150509	0.1356	rs12593469	 -4.95	rs12903381	 0.137036	11.57	 3.4033	422	  2	lasso	0.15	1.4e-35	 3.5263	4.21e-04
NK	RA_only/NK_5pcs_all/NK.GOLGA6L7_1Mwindow.wgt.RDat	GOLGA6L7	15	28586978	29593790	0.0373	rs547857	 -2.49	rs11637374	-0.000274	 3.12	-0.2629	171	171	blup	0.0035	0.035	-2.8398	4.51e-03
NK	RA_only/NK_5pcs_all/NK.ATP8B4_1Mwindow.wgt.RDat	ATP8B4	15	49650435	50911430	0.0343	rs3098183	 -4.85	rs7342574	 0.003153	 4.11	-1.7778	498	498	blup	0.013	0.00018	-2.3914	1.68e-02
NK	RA_only/NK_5pcs_all/NK.GOLGA8B_1Mwindow.wgt.RDat	GOLGA8B	15	34317296	35375852	0.0703	rs8037200	 -3.52	rs2059590	 0.035733	-5.69	-0.4985	337	  1	top1	0.036	1.8e-09	 0.4985	6.18e-01
NK	RA_only/NK_5pcs_all/NK.LIPC_1Mwindow.wgt.RDat	LIPC	15	58224190	59362043	0.0596	rs8028759	 -4.11	rs7182229	 0.061090	 6.58	-3.5028	561	  1	top1	0.061	3.6e-15	-3.5028	4.60e-04
NK	RA_only/NK_5pcs_all/NK.FAH_1Mwindow.wgt.RDat	FAH	15	79945131	80979291	0.1430	rs1533857	 -4.26	rs1370274	 0.094615	 9.63	-0.0768	525	  7	enet	0.11	1.4e-25	-0.3288	7.42e-01
NK	RA_only/NK_5pcs_all/NK.GOLGA8H_1Mwindow.wgt.RDat	GOLGA8H	15	30396231	31409955	0.0259	rs2860452	  3.27	rs6493220	-0.001031	 3.64	 0.9967	186	  4	enet	4.9e-05	0.31	-0.8013	4.23e-01
NK	RA_only/NK_5pcs_all/NK.GOLGA8R_1Mwindow.wgt.RDat	GOLGA8R	15	30192765	31206463	0.0366	rs2140175	  3.99	rs12906190	 0.034073	 6.21	 0.6815	130	  1	top1	0.034	4.3e-09	 0.6815	4.96e-01
NK	RA_only/NK_5pcs_all/NK.STRC_1Mwindow.wgt.RDat	STRC	15	43391761	44410998	0.0237	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0037	0.032	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.TPM1_1Mwindow.wgt.RDat	TPM1	15	62834946	63864114	0.0354	rs17740623	 -3.77	rs12593315	 0.024163	-5.85	 0.2533	491	  1	top1	0.024	6.9e-07	-0.2533	8.00e-01
NK	RA_only/NK_5pcs_all/NK.RMDN3_1Mwindow.wgt.RDat	RMDN3	15	40528085	41547452	0.0228	rs6582	  4.65	rs1142468	 0.000412	-3.41	-3.5634	309	309	blup	0.0069	0.0056	-0.2343	8.15e-01
NK	RA_only/NK_5pcs_all/NK.MESP1_1Mwindow.wgt.RDat	MESP1	15	89793106	90794480	0.0235	rs150304	  3.56	rs2028297	 0.007028	 4.29	 1.6767	364	  1	top1	0.007	0.0052	 1.6767	9.36e-02
