PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.SNX7_1Mwindow.wgt.RDat	SNX7	1	98627277	99726056	0.083	rs10875131	 4.65	rs9727869	-1.00e-03	  4.43	 1.091	438	438	blup	0.0014	0.13	 1.21316	0.22507
B_naive	RA_only/B_naive_5pcs_all/B_naive.C1orf115_1Mwindow.wgt.RDat	C1orf115	1	220363705	221372495	0.0608	rs2807863	-2.71	rs2172699	 2.37e-02	  5.87	 0.662	393	6	enet	0.035	2.3e-09	 2.73632	0.00621
B_naive	RA_only/B_naive_5pcs_all/B_naive.VAV3_1Mwindow.wgt.RDat	VAV3	1	107613783	109007802	0.0281	rs4915045	-2.48	rs2125749	 1.50e-02	 -4.96	-1.071	606	1	top1	0.015	8e-05	 1.07100	0.28417
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.1193	rs12754891	-4.36	rs11573562	 8.49e-02	-10.65	 0.620	328	328	blup	0.11	1.4e-27	-1.11959	0.26289
B_naive	RA_only/B_naive_5pcs_all/B_naive.MTARC2_1Mwindow.wgt.RDat	MTARC2	1	220421664	221458157	0.0404	rs2807863	-2.71	rs2642424	 4.58e-02	  7.18	 0.162	407	1	top1	0.046	1.1e-11	 0.16200	0.87131
B_naive	RA_only/B_naive_5pcs_all/B_naive.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.0391	rs6681946	-3.78	rs6683201	-6.78e-04	  3.75	 1.253	459	459	blup	0.0052	0.014	 2.14799	0.03171
B_naive	RA_only/B_naive_5pcs_all/B_naive.PDC-AS1_1Mwindow.wgt.RDat	PDC-AS1	1	185904293	186939423	0.02		   NA		       NA	    NA	    NA	0	0	lasso	0.015	7.8e-05	      NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCDC163_1Mwindow.wgt.RDat	CCDC163	1	45459538	46465745	0.0508	rs9429160	 3.54	rs4660862	 6.82e-02	  8.04	-0.091	280	1	top1	0.068	1e-16	-0.09100	0.92749
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01562_1Mwindow.wgt.RDat	LINC01562	1	51160767	52200768	0.0313	rs7533508	 2.66	rs7545860	-8.29e-04	  3.47	 1.171	145	145	blup	-0.00053	0.48	 1.76547	0.07748
B_naive	RA_only/B_naive_5pcs_all/B_naive.CTRC_1Mwindow.wgt.RDat	CTRC	1	15264939	16275737	0.0396	rs2013019	-3.02	rs10927713	-7.56e-04	  3.60	 0.702	499	499	blup	-0.00075	0.6	-1.26981	0.20415
B_naive	RA_only/B_naive_5pcs_all/B_naive.FCRL5_1Mwindow.wgt.RDat	FCRL5	1	156983167	158022305	0.2191	rs16838818	-3.57	rs7531685	 2.33e-01	 15.08	 1.477	493	14	enet	0.23	5.0000000000000005e-58	 1.23258	0.21773
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCDC18-AS1_1Mwindow.wgt.RDat	CCDC18-AS1	1	93275666	94311368	0.054	rs17304770	-3.21	rs1414367	 3.61e-02	 -6.68	-0.038	310	310	blup	0.04	2.2e-10	 0.20410	0.83827
B_naive	RA_only/B_naive_5pcs_all/B_naive.USP24_1Mwindow.wgt.RDat	USP24	1	55032032	56181037	0.0436	rs4142664	 3.62	rs12081312	 1.33e-04	  3.22	 0.139	682	3	enet	0.014	0.00016	-0.68462	0.49358
B_naive	RA_only/B_naive_5pcs_all/B_naive.SMG7-AS1_1Mwindow.wgt.RDat	SMG7-AS1	1	182930009	183941117	0.0824	rs527825	-5.38	rs12139534	 3.16e-02	  5.96	-0.901	511	1	top1	0.032	1.6e-08	-0.90100	0.36759
B_naive	RA_only/B_naive_5pcs_all/B_naive.SELL_1Mwindow.wgt.RDat	SELL	1	169159808	170180761	0.0286	rs723751	-2.78	rs10800476	 8.93e-04	  3.69	-1.202	523	1	top1	0.00089	0.17	-1.20200	0.22936
B_naive	RA_only/B_naive_5pcs_all/B_naive.FCRL3_1Mwindow.wgt.RDat	FCRL3	1	157146271	158170559	0.043	rs16838818	-3.57	rs3761959	 6.31e-02	  8.01	-0.390	522	1	top1	0.063	1.5e-15	-0.39000	0.69654
B_naive	RA_only/B_naive_5pcs_all/B_naive.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.066		   NA		       NA	    NA	    NA	0	0	lasso	0.032	1.6e-08	      NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.EFNA1_1Mwindow.wgt.RDat	EFNA1	1	154600352	155607375	0.0287	rs884618	 3.39	rs6427137	-1.04e-03	  3.85	 0.012	345	345	blup	-0.00019	0.37	 1.13762	0.25528
B_naive	RA_only/B_naive_5pcs_all/B_naive.FOXJ3_1Mwindow.wgt.RDat	FOXJ3	1	42142219	43301551	0.0229	rs746387	 3.19	rs12093775	 9.14e-03	  4.14	-0.593	407	1	top1	0.0091	0.0017	-0.59300	0.55318
B_naive	RA_only/B_naive_5pcs_all/B_naive.HS2ST1_1Mwindow.wgt.RDat	HS2ST1	1	86880318	88075665	0.023	rs196529	 3.68	rs1621247	 1.28e-02	 -4.05	 1.842	482	1	top1	0.013	0.00026	-1.84200	0.06548
B_naive	RA_only/B_naive_5pcs_all/B_naive.TTC24_1Mwindow.wgt.RDat	TTC24	1	156049515	157057511	0.0316	rs2275200	-3.97	rs2365714	 1.51e-02	  5.14	 0.481	409	2	lasso	0.02	6e-06	-0.26777	0.78887
B_naive	RA_only/B_naive_5pcs_all/B_naive.PRRC2C_1Mwindow.wgt.RDat	PRRC2C	1	170954669	172062650	0.0299	rs17657363	 5.29	rs1795242	 2.42e-02	 -5.65	 1.114	619	1	top1	0.024	7.2e-07	-1.11400	0.26528
B_naive	RA_only/B_naive_5pcs_all/B_naive.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0312	rs4654381	-4.13	rs7528486	 1.45e-02	 -4.49	-2.113	310	1	top1	0.015	0.0001	 2.11300	0.03460
B_naive	RA_only/B_naive_5pcs_all/B_naive.GJA8_1Mwindow.wgt.RDat	GJA8	1	146874921	147881396	0.0213	rs17160264	-3.81	rs2999617	-6.87e-04	  3.68	-0.006	269	1	top1	-0.00069	0.56	-0.00600	0.99521
B_naive	RA_only/B_naive_5pcs_all/B_naive.MTRNR2L11_1Mwindow.wgt.RDat	MTRNR2L11	1	237607024	238608513	0.0381	rs9658992	 3.40	rs10495409	 1.68e-02	  5.42	 0.386	572	1	top1	0.017	3.1e-05	 0.38600	0.69950
B_naive	RA_only/B_naive_5pcs_all/B_naive.NSUN4_1Mwindow.wgt.RDat	NSUN4	1	46306479	47350871	0.0323	rs11584024	-3.37	rs6695043	 2.69e-02	  5.42	 1.384	336	1	top1	0.027	1.8e-07	 1.38400	0.16636
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01725_1Mwindow.wgt.RDat	LINC01725	1	83541470	84826679	0.0325	rs6576954	-4.08	rs7547892	-7.58e-04	  3.16	 0.830	496	496	blup	0.011	0.00064	 0.83152	0.40568
B_naive	RA_only/B_naive_5pcs_all/B_naive.VAMP4_1Mwindow.wgt.RDat	VAMP4	1	171169300	172211205	0.0204	rs17657363	 5.29	rs10913511	 6.53e-03	  4.34	-1.670	544	1	top1	0.0065	0.0069	-1.67000	0.09492
B_naive	RA_only/B_naive_5pcs_all/B_naive.ARV1_1Mwindow.wgt.RDat	ARV1	1	230614840	231636479	0.0323	rs3789650	-2.99	rs10864645	 2.76e-02	 -5.01	 0.813	617	1	top1	0.028	1.2e-07	-0.81300	0.41622
B_naive	RA_only/B_naive_5pcs_all/B_naive.RGS1_1Mwindow.wgt.RDat	RGS1	1	192044903	193049154	0.081	rs6697334	 3.10	rs1323292	 3.70e-02	  6.19	 0.493	334	3	enet	0.038	5.4e-10	 0.14985	0.88088
B_naive	RA_only/B_naive_5pcs_all/B_naive.TMIGD3_1Mwindow.wgt.RDat	TMIGD3	1	111525970	112606584	0.0469	rs2274232	-3.37	rs11102305	-1.95e-04	  5.57	 0.415	698	1	top1	-0.00019	0.37	 0.41500	0.67814
B_naive	RA_only/B_naive_5pcs_all/B_naive.TEX35_1Mwindow.wgt.RDat	TEX35	1	177982244	178992645	0.0185	rs7520853	-3.30	rs2862303	 2.19e-03	  3.86	-1.437	332	332	blup	0.0087	0.0022	-1.52182	0.12805
B_naive	RA_only/B_naive_5pcs_all/B_naive.GALNT2_1Mwindow.wgt.RDat	GALNT2	1	229693536	230917868	0.0805	rs6681172	 3.65	rs2273967	 4.96e-02	  6.99	-1.053	707	1	top1	0.05	1.6e-12	-1.05300	0.29234
B_naive	RA_only/B_naive_5pcs_all/B_naive.LRRIQ3_1Mwindow.wgt.RDat	LRRIQ3	1	73991699	75163860	0.0277	rs1341578	-3.74	rs1601153	 1.79e-02	 -4.74	 1.427	397	397	blup	0.02	4.9e-06	-2.27675	0.02280
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPL11_1Mwindow.wgt.RDat	RPL11	1	23518269	24523325	0.0822	rs12043534	-2.93	rs3753270	 2.38e-02	 -6.15	-0.254	334	5	enet	0.047	5.3e-12	 1.51306	0.13026
B_naive	RA_only/B_naive_5pcs_all/B_naive.CNN3_1Mwindow.wgt.RDat	CNN3	1	94862513	95892666	0.0345	rs11807669	-3.05	rs6673947	-1.02e-03	  3.46	-0.168	550	550	blup	0.0036	0.035	 1.48316	0.13803
B_naive	RA_only/B_naive_5pcs_all/B_naive.GPR52_1Mwindow.wgt.RDat	GPR52	1	173917102	174918683	0.135	rs17302033	 3.67	rs17353212	-9.17e-04	  4.37	 2.131	301	1	lasso	0.00092	0.17	 2.13100	0.03309
