PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DIP2A_1Mwindow.wgt.RDat	DIP2A	21	47378804	48491139	0.1699	rs2027729	 2.85	rs2070435	 0.154845	 12.46	-0.6683	339	  1	top1	0.15	2e-37	-0.6683	0.503942
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CCT8_1Mwindow.wgt.RDat	CCT8	21	29928647	30945969	0.0533	rs2832310	 2.08	rs2255564	 0.048403	  7.37	 0.0995	408	  2	enet	0.052	5.4e-13	-0.7264	0.467587
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SAMSN1_1Mwindow.wgt.RDat	SAMSN1	21	15357549	16531738	0.0598	rs960479	-3.68	rs2822723	 0.007284	 -5.34	 1.4593	613	  4	lasso	0.029	4.6e-08	-3.4908	0.000482
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SPATC1L_1Mwindow.wgt.RDat	SPATC1L	21	47081074	48104373	0.1427	rs2027729	 2.85	rs4818826	 0.078539	 -9.02	 1.8037	467	  6	enet	0.11	2.3e-27	 0.0833	0.933639
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.U2AF1_1Mwindow.wgt.RDat	U2AF1	21	44013066	45027688	0.3192	rs128543	-3.90	rs4920040	 0.254337	-15.69	 1.8065	484	  4	lasso	0.26	2.9e-64	-1.6924	0.090567
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01678_1Mwindow.wgt.RDat	LINC01678	21	45078656	46079745	0.0220	rs17264865	 3.91	rs2838441	 0.005119	 -4.24	-1.3522	413	413	blup	0.008	0.0032	 0.5847	0.558764
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.EVA1C_1Mwindow.wgt.RDat	EVA1C	21	33284031	34387697	0.0487	rs2211680	 2.76	rs16989381	 0.023067	 -5.50	 0.8799	540	  1	top1	0.023	1.2e-06	-0.8799	0.378913
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LSS_1Mwindow.wgt.RDat	LSS	21	47108360	48148688	0.0513	rs2027729	 2.85	rs8129460	 0.012443	  4.55	-0.0399	458	458	blup	0.029	6.8e-08	-0.3409	0.733195
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ITGB2_1Mwindow.wgt.RDat	ITGB2	21	45805868	46848730	0.2670	rs1107121	 2.61	rs760462	 0.136834	 12.30	 1.0307	546	  2	enet	0.15	8.5e-37	 0.8373	0.402450
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.YBEY_1Mwindow.wgt.RDat	YBEY	21	47206256	48217665	0.0320	rs2027729	 2.85	rs2839187	 0.011114	  4.55	 0.6571	429	  1	top1	0.011	6e-04	 0.6571	0.511117
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PWP2_1Mwindow.wgt.RDat	PWP2	21	45027280	46051063	0.1517	rs17264865	 3.91	rs1051981	 0.138765	  9.95	 0.5812	408	  1	lasso	0.14	3.1e-34	 0.5812	0.561106
