PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RTBDN_1Mwindow.wgt.RDat	RTBDN	19	12436296	13446242	0.0393	rs2240659	 3.10	rs35866106	 1.42e-03	 6.72	 1.015	292	  1	top1	0.0014	0.13	 1.0150	0.31011
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.EPS8L1_1Mwindow.wgt.RDat	EPS8L1	19	55087237	56099291	0.0395	rs897797	-3.87	rs588373	 5.38e-04	 4.00	 0.789	422	422	blup	0.0076	0.0046	-0.5546	0.57920
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CYP4F3_1Mwindow.wgt.RDat	CYP4F3	19	15251707	16273635	0.0245	rs2018454	 3.31	rs4808350	 8.56e-03	 5.22	-0.050	515	  1	top1	0.0086	0.0028	-0.0500	0.96012
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SPTBN4_1Mwindow.wgt.RDat	SPTBN4	19	40472908	41582370	0.0295	rs2561553	 3.71	rs533318	-1.03e-03	 4.40	-0.025	431	431	blup	0.0026	0.065	 0.2246	0.82226
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RHPN2_1Mwindow.wgt.RDat	RHPN2	19	32969498	34055794	0.0789	rs7255462	-2.79	rs6510379	 1.58e-04	 4.10	-0.050	461	  1	lasso	6e-04	0.21	-0.6130	0.53988
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC39A3_1Mwindow.wgt.RDat	SLC39A3	19	2232522	3240074	0.0370	rs3783501	-2.43	rs759071	-1.02e-03	 3.33	 0.088	332	332	blup	0.0068	0.0067	-1.1832	0.23672
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ICAM4_1Mwindow.wgt.RDat	ICAM4	19	9897631	10899196	0.1260	rs8104651	-2.51	rs281437	 1.22e-01	10.79	 0.412	370	  1	top1	0.12	3.2e-28	 0.4120	0.68034
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.VSTM1_1Mwindow.wgt.RDat	VSTM1	19	54044079	55067151	0.1780	rs641738	 4.55	rs10500316	 9.02e-02	 9.87	 1.126	351	  2	lasso	0.11	2.5e-26	 1.1303	0.25835
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RFPL4AL1_1Mwindow.wgt.RDat	RFPL4AL1	19	55780484	56784786	0.0769	rs897797	-3.87	rs299190	 1.13e-02	 5.41	-1.645	512	  1	lasso	0.021	5.8e-06	-1.6450	0.09997
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.ACER1_1Mwindow.wgt.RDat	ACER1	19	5806153	6833623	0.0480	rs35001260	 2.91	rs17625356	-9.94e-04	 4.70	-1.282	368	368	blup	-5e-04	0.46	 0.7046	0.48103
