PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MMEL1_1Mwindow.wgt.RDat	MMEL1	1	2022078	3064455	0.0384	rs11588312	  7.10	rs3748816	 2.82e-02	 -5.85	 0.6373	364	  1	top1	0.028	2.3e-07	-0.6373	5.24e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ANP32E_1Mwindow.wgt.RDat	ANP32E	1	149690717	150708460	0.0226	rs13294	 -8.60	rs3925724	 1.60e-02	  4.72	 2.1166	197	197	blup	0.022	4.4e-06	 3.5374	4.04e-04
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FLVCR1-DT_1Mwindow.wgt.RDat	FLVCR1-DT	1	212529946	213531480	0.0417	rs1391549	  3.38	rs1047881	 3.21e-02	 -5.88	 0.9830	408	  2	enet	0.043	1.9e-10	-0.0541	9.57e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.S100A10_1Mwindow.wgt.RDat	S100A10	1	151455391	152466335	0.0191	rs6673116	 -2.42	rs2999526	 1.10e-02	  4.19	-0.8627	342	342	blup	0.014	0.00027	-0.3746	7.08e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PSMB2_1Mwindow.wgt.RDat	PSMB2	1	35565142	36607127	0.0171	rs645886	  2.43	rs274732	 8.33e-03	 -2.92	 1.3442	 90	  1	top1	0.0083	0.0035	-1.3442	1.79e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.C1QB_1Mwindow.wgt.RDat	C1QB	1	22479729	23488130	0.0897	rs12568930	  4.48	rs6690827	 4.98e-02	  7.76	 0.5091	478	  1	lasso	0.068	1.2e-15	 0.1293	8.97e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.HMCN1_1Mwindow.wgt.RDat	HMCN1	1	185203523	186660081	0.0572	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.00066	0.52	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.L1TD1_1Mwindow.wgt.RDat	L1TD1	1	62160521	63178000	0.0611	rs10889332	 -4.57	rs17123220	 1.40e-02	  4.43	-2.0775	420	  1	lasso	0.028	2.3e-07	 1.2858	1.99e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LINC00970_1Mwindow.wgt.RDat	LINC00970	1	168373143	169556243	0.8648	rs12120605	  2.73	rs3753299	-1.01e-03	  6.20	-0.8373	653	  4	lasso	-0.00091	0.67	 0.3691	7.12e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RGS1_1Mwindow.wgt.RDat	RGS1	1	192044903	193049154	0.0830	rs12072785	 -2.54	rs2816316	 3.70e-02	  6.74	 1.3315	334	334	blup	0.048	2.1e-11	 1.8494	6.44e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CTNNBIP1_1Mwindow.wgt.RDat	CTNNBIP1	1	9408334	10470327	0.0139	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.011	0.00075	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CCDC163_1Mwindow.wgt.RDat	CCDC163	1	45459538	46465745	0.0158	rs3219484	 -4.00	rs534534	 1.11e-02	  4.42	-2.0347	280	  1	top1	0.011	0.00088	-2.0347	4.19e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.C1QA_1Mwindow.wgt.RDat	C1QA	1	22462956	23466171	0.0615	rs12568930	  4.48	rs17433222	 1.18e-02	  5.07	 0.2691	476	  1	lasso	0.027	4.6e-07	 0.2691	7.88e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SNX7_1Mwindow.wgt.RDat	SNX7	1	98627277	99726056	0.0698	rs17119565	 -2.96	rs9727869	 3.95e-02	  6.12	 2.2887	438	  1	top1	0.04	1e-09	 2.2887	2.21e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ZDHHC18_1Mwindow.wgt.RDat	ZDHHC18	1	26653179	27684095	0.0212	rs12685	  7.38	rs34885854	 1.45e-03	  3.61	 7.2961	261	  6	enet	0.0059	0.012	 7.4150	1.22e-13
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PPT1_1Mwindow.wgt.RDat	PPT1	1	40037133	41062924	0.0752	rs6663003	  4.29	rs11584362	 3.36e-02	  5.68	 0.3644	402	  1	top1	0.034	1.7e-08	 0.3644	7.16e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0455	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0069	0.0073	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CDA_1Mwindow.wgt.RDat	CDA	1	20415590	21445396	0.1648	rs7538084	 -3.57	rs2072671	 1.27e-01	  9.00	-1.9934	482	  4	enet	0.15	1.4e-34	-1.6449	1.00e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ELF3-AS1_1Mwindow.wgt.RDat	ELF3-AS1	1	201469179	202479481	0.0430	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.018	3e-05	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CDC73_1Mwindow.wgt.RDat	CDC73	1	192591161	193723945	0.0229	rs12122868	  3.02	rs12125235	 7.44e-03	 -4.27	 1.9030	350	  5	enet	0.0088	0.0028	-2.3882	1.69e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SLC66A1_1Mwindow.wgt.RDat	SLC66A1	1	19138820	20158922	0.0296	rs1078895	 -3.36	rs2314147	 1.24e-03	 -3.13	 2.2628	498	498	blup	0.013	0.00037	 0.1838	8.54e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SH3BGRL3_1Mwindow.wgt.RDat	SH3BGRL3	1	26106577	27108013	0.0452	rs12735646	  7.33	rs4450008	 4.28e-02	  6.57	 2.2798	402	  1	top1	0.043	2.1e-10	 2.2798	2.26e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.OR2C3_1Mwindow.wgt.RDat	OR2C3	1	247187979	248199742	0.0523	rs10157379	  8.13	rs6587399	-1.02e-03	  6.70	 1.0693	471	471	blup	-0.00082	0.61	-2.8315	4.63e-03
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RNPEP_1Mwindow.wgt.RDat	RNPEP	1	201451776	202475271	0.0389	rs7532633	 -3.41	rs7529387	 3.73e-02	 -6.05	 1.3914	429	  1	top1	0.037	3e-09	-1.3914	1.64e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FHAD1_1Mwindow.wgt.RDat	FHAD1	1	15073719	16224824	0.0261	rs10927863	 -4.92	rs10803378	 3.71e-02	  3.42	 0.1476	568	  1	top1	0.037	3.2e-09	 0.1476	8.83e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CD1A_1Mwindow.wgt.RDat	CD1A	1	157718126	158728059	0.0293	rs6696582	  2.96	rs41494845	 1.30e-03	  4.54	-2.0886	465	  1	top1	0.0013	0.14	-2.0886	3.67e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FHL3_1Mwindow.wgt.RDat	FHL3	1	37962442	38971186	0.1098	rs913863	 -3.20	rs28545785	 3.07e-02	  6.15	-0.0614	419	  2	lasso	0.032	3.8e-08	-0.0637	9.49e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PDC-AS1_1Mwindow.wgt.RDat	PDC-AS1	1	185904293	186939423	0.0200	rs6664763	 -3.35	rs677672	-9.09e-05	  3.11	-1.9235	350	350	blup	0.0028	0.062	-1.6162	1.06e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MRPL24_1Mwindow.wgt.RDat	MRPL24	1	156207095	157210880	0.0362	rs1050316	 -6.85	rs2031626	-7.54e-04	  3.63	 2.5606	422	422	blup	0.013	4e-04	-0.7200	4.71e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DNAI3_1Mwindow.wgt.RDat	DNAI3	1	85028010	86098821	0.2311	rs10493762	  4.23	rs17122989	 4.61e-04	  4.74	-2.0317	607	  1	top1	0.00046	0.23	-2.0317	4.22e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DNALI1_1Mwindow.wgt.RDat	DNALI1	1	37522541	38532458	0.0355	rs12049327	  3.01	rs16823983	-6.85e-04	  5.15	-1.4985	434	434	blup	0.00068	0.2	-0.6006	5.48e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MGST3_1Mwindow.wgt.RDat	MGST3	1	165100471	166125373	0.0267	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.035	8e-09	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TAL1_1Mwindow.wgt.RDat	TAL1	1	47181962	48198007	0.0233	rs720413	 -2.73	rs17103227	 4.98e-03	  5.44	 0.2381	399	  1	top1	0.005	0.019	 0.2381	8.12e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CD55_1Mwindow.wgt.RDat	CD55	1	206995023	208034311	0.0936	rs901107	 -3.51	rs891378	 8.94e-02	 -9.55	-0.1338	374	  2	lasso	0.097	4.9e-22	-1.0484	2.94e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FAM177B_1Mwindow.wgt.RDat	FAM177B	1	222410544	223424346	0.0494	rs3748662	  3.27	rs2430408	-1.09e-03	  4.75	 2.1227	304	  1	top1	-0.0011	0.89	 2.1227	3.38e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CENPS_1Mwindow.wgt.RDat	CENPS	1	9990490	11002865	0.0313	rs880315	 -4.50	rs4846198	 3.28e-03	  3.67	 2.6715	362	362	blup	0.0081	0.004	 0.6211	5.35e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ARPC5_1Mwindow.wgt.RDat	ARPC5	1	183089981	184104918	0.0418	rs1409813	 -3.74	rs16860401	-6.85e-04	 -4.27	 0.1873	518	518	blup	0.0048	0.021	-0.4564	6.48e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FCER1G_1Mwindow.wgt.RDat	FCER1G	1	160685085	161689035	0.1167	rs11799952	 -6.09	rs4489574	 2.34e-02	  6.25	-1.3337	399	  3	lasso	0.05	7.4e-12	-0.9959	3.19e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LHX4_1Mwindow.wgt.RDat	LHX4	1	179699399	180748119	0.0291	rs3843275	  3.12	rs16855099	-1.06e-03	  4.53	 1.5912	451	  1	top1	-0.0011	0.83	 1.5912	1.12e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CRYZ_1Mwindow.wgt.RDat	CRYZ	1	74671170	75698734	0.0589	rs3925749	 -3.04	rs927904	 5.39e-02	  6.14	-0.2065	369	  1	top1	0.054	9.9e-13	-0.2065	8.36e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TMEM51_1Mwindow.wgt.RDat	TMEM51	1	14979062	16046974	0.0722	rs742668	 -3.39	rs4661590	 4.45e-02	  6.45	 0.3425	539	  1	top1	0.044	9.4e-11	 0.3425	7.32e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NDUFS5_1Mwindow.wgt.RDat	NDUFS5	1	38992022	40000287	0.0634	rs6600289	  2.98	rs12739450	 4.23e-03	 -4.27	 0.6653	367	367	blup	0.037	3.1e-09	 1.3879	1.65e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RIIAD1_1Mwindow.wgt.RDat	RIIAD1	1	151193998	152202281	0.0369	NA	    NA	NA	       NA	    NA	     NA	  0	  0	enet	-0.00015	0.35	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.BGLAP_1Mwindow.wgt.RDat	BGLAP	1	155711975	156713108	0.0296	rs1050316	 -6.85	rs11264477	 3.36e-03	  4.46	 0.9247	363	363	blup	0.013	0.00031	-0.4517	6.51e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.COA7_1Mwindow.wgt.RDat	COA7	1	52650121	53664019	0.0181	rs835344	  3.38	rs581118	 7.71e-03	 -4.37	-1.4786	346	  1	top1	0.0077	0.0048	 1.4786	1.39e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CNIH4_1Mwindow.wgt.RDat	CNIH4	1	224044581	225067154	0.0339	rs10915892	 -4.39	rs6691779	 1.06e-03	 -4.63	-1.1762	354	  4	enet	0.016	1e-04	 0.5504	5.82e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SHISA4_1Mwindow.wgt.RDat	SHISA4	1	201357805	202361715	0.0600	rs7532633	 -3.41	rs10737576	-6.65e-04	 -3.53	 2.4522	478	  1	enet	0.0056	0.014	-0.9575	3.38e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ECE1-AS1_1Mwindow.wgt.RDat	ECE1-AS1	1	21119783	22126362	0.0567	NA	    NA	NA	       NA	    NA	     NA	  0	  0	enet	0.046	5.1e-11	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.0374	rs11538306	  5.21	rs6679432	 1.33e-02	 -5.24	-0.9804	224	224	blup	0.016	9.2e-05	 0.8654	3.87e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RIT1_1Mwindow.wgt.RDat	RIT1	1	155367599	156381140	0.0259	rs6691151	 -4.72	rs12401573	-6.41e-04	 -3.67	-3.7803	271	271	blup	0.013	0.00028	 1.2699	2.04e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FUCA1_1Mwindow.wgt.RDat	FUCA1	1	23671567	24694780	0.0262	rs12405071	 -2.69	rs9424398	 2.06e-02	 -4.51	 0.3479	365	  1	top1	0.021	9e-06	-0.3479	7.28e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ZNF593_1Mwindow.wgt.RDat	ZNF593	1	25996399	26997364	0.0282	rs1335759	 -3.64	rs12145714	 3.87e-02	  5.72	 1.0558	429	  1	top1	0.039	1.5e-09	 1.0558	2.91e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LINC02608_1Mwindow.wgt.RDat	LINC02608	1	211886344	212958363	0.0633	rs4951583	 -3.05	rs11590242	 2.80e-02	  5.83	-1.2888	461	  1	top1	0.028	2.5e-07	-1.2888	1.97e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.2424	rs12685	  7.38	rs4471263	 3.81e-01	-18.52	 2.3736	391	 23	enet	0.41	4.3e-104	-2.6182	8.84e-03
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CLCNKA_1Mwindow.wgt.RDat	CLCNKA	1	15848531	16860545	0.0331	rs7538216	-15.86	rs3754329	 1.40e-03	  4.46	 1.3781	375	  1	top1	0.0014	0.13	 1.3781	1.68e-01
