PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FADS2_1Mwindow.wgt.RDat	FADS2	11	61083675	62134826	0.1733	rs12794220	  4.97	rs968567	 1.18e-01	 11.34	-0.0774	411	  1	top1	0.12	2.2e-28	-0.0774	9.38e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EI24_1Mwindow.wgt.RDat	EI24	11	124939373	125954579	0.0337	rs2282539	 -4.02	rs479932	 1.14e-02	 -4.13	 2.9481	552	  1	top1	0.011	0.00051	-2.9481	3.20e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NCAPD3_1Mwindow.wgt.RDat	NCAPD3	11	133520008	134595355	0.0572	rs11223794	  4.85	rs11606866	 1.74e-02	  4.61	 0.0788	595	595	blup	0.018	1.7e-05	-0.8002	4.24e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.OR51B4_1Mwindow.wgt.RDat	OR51B4	11	4822244	5823176	0.0708	NA	    NA	NA	       NA	    NA	     NA	  0	  0	enet	0.014	0.00013	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTSW_1Mwindow.wgt.RDat	CTSW	11	65147308	66151212	0.2019	rs613924	 -5.46	rs601863	 1.94e-01	-13.81	-0.4525	349	 13	enet	0.2	1.1e-47	 0.6493	5.16e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FXYD2_1Mwindow.wgt.RDat	FXYD2	11	117190772	118198804	0.0800	rs11216667	 -4.42	rs7117314	 4.43e-02	 -6.66	-0.3992	663	  2	lasso	0.048	3e-12	 0.3263	7.44e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KAT5_1Mwindow.wgt.RDat	KAT5	11	64979723	65987075	0.0276	rs613924	 -5.46	rs2306365	 1.94e-03	 -3.69	-3.8615	334	334	blup	0.0049	0.016	 0.8685	3.85e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.P4HA3_1Mwindow.wgt.RDat	P4HA3	11	73477702	74522685	0.0439	rs1941817	  5.46	rs6592545	 1.32e-02	  5.86	-4.7148	433	433	blup	0.031	2.3e-08	-4.5474	5.43e-06
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TIRAP_1Mwindow.wgt.RDat	TIRAP	11	125652988	126664828	0.0304	rs4937122	 -4.71	rs240542	-8.94e-04	 -3.62	-3.7548	643	643	blup	0.0071	0.0049	 1.4234	1.55e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SF1_1Mwindow.wgt.RDat	SF1	11	64032078	65046014	0.0338	rs17146121	  3.73	rs7939965	 8.77e-03	  5.11	 3.7076	348	348	blup	0.023	1.6e-06	 1.5294	1.26e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM9B_1Mwindow.wgt.RDat	TMEM9B	11	8468749	9486494	0.0361	rs2742540	 -5.47	rs3942866	 1.68e-03	 -4.52	-0.1180	366	366	blup	0.022	2.6e-06	-3.3661	7.62e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACAT1_1Mwindow.wgt.RDat	ACAT1	11	107487432	108518330	0.0475	rs4754317	 -6.44	rs4988023	 2.63e-02	  5.77	-6.2563	374	  1	top1	0.026	2.4e-07	-6.2563	3.94e-10
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM41B_1Mwindow.wgt.RDat	TMEM41B	11	8802201	9836140	0.0221	rs2742540	 -5.47	rs7929621	 2.64e-03	 -3.76	 0.0198	390	  1	top1	0.0026	0.059	-0.0198	9.84e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACER3_1Mwindow.wgt.RDat	ACER3	11	76071962	77237841	0.0577	rs10793194	 -4.49	rs7942574	 1.66e-02	  4.76	 0.7987	457	  1	top1	0.017	3.5e-05	 0.7987	4.24e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.P2RX3_1Mwindow.wgt.RDat	P2RX3	11	56605826	57639869	0.4738	NA	    NA	NA	       NA	    NA	     NA	  0	  0	enet	-0.00082	0.65	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ROBO3_1Mwindow.wgt.RDat	ROBO3	11	124235328	125251367	0.0575	rs5017048	  3.01	rs11219821	 2.61e-02	  6.07	-0.6461	487	  1	lasso	0.035	3.1e-09	-0.6461	5.18e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ARL14EP_1Mwindow.wgt.RDat	ARL14EP	11	29844651	30859770	0.0333	rs11031093	  3.61	rs1856142	 1.43e-02	 -5.26	-0.6053	398	398	blup	0.018	1.4e-05	-0.9033	3.66e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.VWCE_1Mwindow.wgt.RDat	VWCE	11	60525758	61562788	0.0373	rs999297	  6.10	rs2240287	 5.49e-03	  4.39	-2.5014	360	360	blup	0.0059	0.0095	-2.1654	3.04e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.IFITM2_1Mwindow.wgt.RDat	IFITM2	11	0	809395	0.0973	rs4758633	 -8.54	rs10398	 2.26e-02	  6.18	 1.4946	302	  1	enet	0.046	7.6e-12	 1.4946	1.35e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TIMM10_1Mwindow.wgt.RDat	TIMM10	11	56795937	57798227	0.1064	rs3851117	  4.99	rs2729371	 6.90e-02	  8.63	 3.8561	380	  1	top1	0.069	5.7e-17	 3.8561	1.15e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPFIBP2_1Mwindow.wgt.RDat	PPFIBP2	11	7035230	8179372	0.2240	rs11041474	 -2.92	rs4322372	 2.02e-01	  9.55	 0.0014	716	  1	lasso	0.2	1.4e-49	-1.2915	1.97e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KCTD21-AS1_1Mwindow.wgt.RDat	KCTD21-AS1	11	77350839	78385023	0.0708	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.082	6.4e-20	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RCOR2_1Mwindow.wgt.RDat	RCOR2	11	63178702	64184636	0.0468	rs2845887	 -4.02	rs11231699	-1.03e-03	  5.86	 1.5723	291	  4	lasso	0.048	3.6e-12	 1.9419	5.21e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MPZL3_1Mwindow.wgt.RDat	MPZL3	11	117597405	118623080	0.0454	rs2155433	 -5.23	rs1056562	 4.68e-02	  7.05	-2.9668	541	  1	top1	0.047	6.1e-12	-2.9668	3.01e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CD151_1Mwindow.wgt.RDat	CD151	11	332952	1338831	0.0937	rs1134578	 -6.83	rs5030779	 7.82e-02	 -8.73	-0.0368	402	  1	top1	0.078	4.6e-19	 0.0368	9.71e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAR1_1Mwindow.wgt.RDat	FAR1	11	13190215	14253893	0.0436	rs12421920	 -3.21	rs7944127	 4.42e-02	  6.86	 1.9318	514	  1	top1	0.044	2.4e-11	 1.9318	5.34e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUCB2_1Mwindow.wgt.RDat	NUCB2	11	16798286	17853758	0.0233	rs2299636	  4.85	rs16933823	-2.38e-04	 -3.95	 0.8679	560	560	blup	0.0025	0.064	 0.2842	7.76e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC43A3_1Mwindow.wgt.RDat	SLC43A3	11	56674427	57695053	0.0277	rs3851117	  4.99	rs4570598	-2.53e-06	  3.79	 2.0420	377	377	blup	0.009	0.0018	-0.4215	6.73e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DEAF1_1Mwindow.wgt.RDat	DEAF1	11	144220	1207083	0.0423	rs4758633	 -8.54	rs11246265	 2.32e-02	  5.61	-1.3146	454	  1	top1	0.023	1.1e-06	-1.3146	1.89e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM123_1Mwindow.wgt.RDat	TMEM123	11	101767063	102823496	0.0423	rs2282652	 -4.15	rs549513	 1.89e-02	 -4.85	 0.3827	520	  1	top1	0.019	1e-05	-0.3827	7.02e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATM_1Mwindow.wgt.RDat	ATM	11	107593794	108739829	0.0350	rs4754317	 -6.44	rs3781868	 3.09e-02	 -6.73	 2.0189	363	363	blup	0.04	2.1e-10	-1.9234	5.44e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LDHC_1Mwindow.wgt.RDat	LDHC	11	17933865	18973610	0.2710	rs7939791	  5.17	rs2643856	 3.50e-01	 18.64	 0.2379	447	  3	enet	0.36	5e-95	 0.1377	8.90e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.UCP2_1Mwindow.wgt.RDat	UCP2	11	73185717	74194247	0.1015	rs1941817	  5.46	rs15763	 2.03e-02	  5.47	-2.3775	362	  1	top1	0.02	5e-06	-2.3775	1.74e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KMT2A_1Mwindow.wgt.RDat	KMT2A	11	117807207	118897547	0.0235	rs12365699	 -5.73	rs11217033	-1.03e-03	 -3.99	-4.8416	484	484	blup	0.0059	0.0098	 3.7521	1.75e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC22A18_1Mwindow.wgt.RDat	SLC22A18	11	2420921	3446476	0.0947	rs895563	  4.85	rs16928809	 5.33e-02	  7.68	 4.4527	468	  1	top1	0.053	2.1e-13	 4.4527	8.48e-06
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.WNT11_1Mwindow.wgt.RDat	WNT11	11	75397369	76417546	0.9831	rs7940138	 -3.80	rs11601862	-9.81e-04	  5.79	 0.5449	440	  1	lasso	-0.00072	0.58	 0.5449	5.86e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTSF_1Mwindow.wgt.RDat	CTSF	11	65830935	66836077	0.0139	rs7947391	 -5.05	rs1815739	 9.31e-04	 -4.10	-0.8199	256	256	blup	0.0064	0.0073	-0.9024	3.67e-01
