PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FOXRED2_1Mwindow.wgt.RDat	FOXRED2	22	36383237	37403087	0.0397	rs760517	 11.20	rs2281086	 7.79e-03	  4.73	 2.7041	511	511	blup	0.017	2.7e-05	-0.906	3.65e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.THAP7-AS1_1Mwindow.wgt.RDat	THAP7-AS1	22	20856211	21864663	0.1063	rs178252	  3.84	rs2239961	 6.01e-02	 -7.96	-1.3082	295	  1	top1	0.06	6.1e-15	 1.308	1.91e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GTSE1-DT_1Mwindow.wgt.RDat	GTSE1-DT	22	46191040	47192557	0.0505	rs4253755	 -8.29	rs3788706	 1.08e-03	  3.17	 2.2433	413	413	blup	0.011	8e-04	 0.536	5.92e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CRYBB2_1Mwindow.wgt.RDat	CRYBB2	22	25115606	26127836	0.3827	rs8139277	  3.90	rs6004675	 4.32e-01	 20.49	 3.0682	375	  1	top1	0.43	5.4e-121	 3.068	2.15e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DDTL_1Mwindow.wgt.RDat	DDTL	22	23809076	24814745	0.0685	rs7288670	-11.84	rs5742303	 8.49e-02	  8.94	-4.0482	368	  1	top1	0.085	1.3e-20	-4.048	5.16e-05
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.H1-0_1Mwindow.wgt.RDat	H1-0	22	37701236	38703439	0.0241	rs4821702	  3.74	rs2413485	 2.71e-03	  3.70	 2.1738	338	338	blup	0.0084	0.0025	 2.398	1.65e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.XBP1_1Mwindow.wgt.RDat	XBP1	22	28690548	29696557	0.0300	rs17508019	  5.33	rs7287806	 7.92e-03	  4.96	 2.5315	313	313	blup	0.012	0.00048	 3.147	1.65e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.IGLL1_1Mwindow.wgt.RDat	IGLL1	22	23415312	24422477	0.0822	rs6003959	 -4.83	rs6003826	 6.60e-02	  7.90	 0.6774	430	  1	top1	0.066	2.9e-16	 0.677	4.98e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01644_1Mwindow.wgt.RDat	LINC01644	22	47357048	48382860	0.0412	rs5768135	  3.83	rs5768156	 1.15e-02	  4.28	 2.6715	578	  1	top1	0.012	0.00048	 2.672	7.55e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MICAL3_1Mwindow.wgt.RDat	MICAL3	22	17770415	19007327	0.0576	rs8919	  8.09	rs424765	 1.73e-02	 -4.22	-1.3739	494	  1	top1	0.017	2.4e-05	 1.374	1.69e-01
