PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.HELLS_1Mwindow.wgt.RDat	HELLS	10	95805545	96861856	0.0424	rs4918082	 2.69	rs7921420	 3.89e-03	 4.41	-0.1788	 372	   2	enet	0.016	5.5e-05	-0.0875	0.9303
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0443	rs2673417	-3.24	rs2493568	 1.98e-03	-4.04	 0.5342	 496	 496	blup	0.0099	0.0012	-0.4432	0.6576
B_naive	RA_only/B_naive_5pcs_all/B_naive.ACTA2-AS1_1Mwindow.wgt.RDat	ACTA2-AS1	10	90192441	91199731	0.0534	rs2234978	-3.46	rs7904718	 1.29e-02	 6.72	-0.8526	 536	   1	lasso	0.036	2.2e-09	-0.8526	0.3939
B_naive	RA_only/B_naive_5pcs_all/B_naive.SKIDA1_1Mwindow.wgt.RDat	SKIDA1	10	21302404	22314611	0.0265	rs3951780	 2.59	rs7903144	 5.14e-04	 5.08	 0.2638	 270	   1	top1	0.00051	0.22	 0.2638	0.7919
B_naive	RA_only/B_naive_5pcs_all/B_naive.PAOX_1Mwindow.wgt.RDat	PAOX	10	134692766	135705198	0.0361	rs3008360	 3.12	rs11146076	 4.12e-04	-3.56	-0.0115	 329	 329	blup	0.0053	0.013	 0.1133	0.9098
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC00856_1Mwindow.wgt.RDat	LINC00856	10	79508382	80512402	0.0359	NA	   NA	NA	       NA	   NA	     NA	   0	   0	lasso	0.12	4.9e-29	     NA	    NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0481	rs10509304	 2.25	rs12268631	 1.70e-02	 5.62	 2.2118	 432	 432	blup	0.025	5.4e-07	 1.2761	0.2019
B_naive	RA_only/B_naive_5pcs_all/B_naive.STK32C_1Mwindow.wgt.RDat	STK32C	10	133520986	134645384	0.0399	rs2172130	 3.52	rs10870290	 1.01e-02	 5.03	-1.1302	 482	 482	blup	0.018	2e-05	-1.6948	0.0901
B_naive	RA_only/B_naive_5pcs_all/B_naive.VCL_1Mwindow.wgt.RDat	VCL	10	75257874	76381121	0.0380	rs10824139	 2.47	rs4745740	 9.16e-06	-4.16	 2.1713	 243	 243	blup	0.015	9.1e-05	-2.0690	0.0386
B_naive	RA_only/B_naive_5pcs_all/B_naive.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0257	rs10786770	-2.80	rs4917404	 5.01e-03	 4.21	-1.5840	 417	 417	blup	0.012	0.00033	-0.5816	0.5608
B_naive	RA_only/B_naive_5pcs_all/B_naive.MCMBP_1Mwindow.wgt.RDat	MCMBP	10	121088952	122133093	0.0289	rs1334439	-4.40	rs10749330	 1.50e-02	 4.78	 0.4590	 501	   1	top1	0.015	8.1e-05	 0.4590	0.6462
